domain,workflow,candidate_universe,proposal_source,verification_source,followup_validation_source,risk_level_alpha,requested_K,PARC_decision,released_candidates_mean,realized_FTR_mean,raw_topK_FTR_mean,unstable_followups_prevented_mean,DFT_efficiency_per100_mean,scope_limitations
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,100,GO_certified_computational_followup_queue,100.0,0.08549999999999999,0.08549999999999999,0.0,91.45,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,300,GO_certified_computational_followup_queue,115.1,0.08700249484918587,0.25316666666666665,64.25,91.29975051508143,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,500,GO_certified_computational_followup_queue,90.75,0.04822076682610132,0.3269,158.3,95.17792331738988,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,1000,boundary_or_partial_release,60.8,0.005972493447761961,0.39099999999999996,390.5,74.4027506552238,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,alignn_ff_modern_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,5000,certified_refusal_or_low_power,0.0,0.0,0.51548,2577.4,0.0,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,cgcnn_ensemble_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,100,GO_certified_computational_followup_queue,100.0,0.03,0.03,0.0,97.0,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,cgcnn_ensemble_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,300,GO_certified_computational_followup_queue,163.8,0.09155623868979505,0.23499999999999996,52.55,90.8443761310205,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,cgcnn_ensemble_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,500,GO_certified_computational_followup_queue,118.8,0.03189720598428158,0.32589999999999997,158.25,96.81027940157186,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,cgcnn_ensemble_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,1000,boundary_or_partial_release,83.05,0.0135530164863021,0.4096,407.95,78.64469835136978,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,cgcnn_ensemble_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,5000,certified_refusal_or_low_power,0.0,0.0,0.40651000000000004,2032.55,0.0,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,megnet_weak_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,100,GO_certified_computational_followup_queue,100.0,0.0465,0.0465,0.0,95.35,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,megnet_weak_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,300,boundary_or_partial_release,197.0,0.11342244253168243,0.184,30.7,88.65775574683174,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,megnet_weak_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,500,GO_certified_computational_followup_queue,102.75,0.041313956033397145,0.2209,105.4,95.86860439666029,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,megnet_weak_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,1000,boundary_or_partial_release,68.7,0.008809616477836528,0.2916,290.7,79.11903835221634,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
materials_discovery,computational_DFT_followup_queue,Matbench Discovery WBM unique prototypes,megnet_weak_learned_materials_model,pre-release observed public DFT-stable positives in calibration blocks,held-out follow-up partition public DFT stability labels,0.1,5000,certified_refusal_or_low_power,0.0,0.0,0.5366899999999999,2683.45,0.0,quasi-prospective replay using public DFT labels; not new DFT; not experimental synthesis
