method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,10.0,True,9.313968005098578,8.320387558019052,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,150.0,10.0,-4.622578065032774,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.1709599035136983,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,29.493601004141784,21.82374391726804,10.0,True,21.82374391726804,18.464486362252853,150,150.0,0.0,126,116,10,9.0,0.0,1.0,0.0,9.0,9.0,0.0,1.0,0.0793650793650793,0.0,0.0,0.0079365079365079,0.84,0.0,1216.0,11.904761904761903,0.3799031636804688,106.0,14.150943396226412,7.672800521041623,12.284665068442372,20.30960441745444,21.82374391726804,,,0,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,498.0,333.0,165.0,333.0,333.0,333.0,165.0,0.0,0.1720832451335447,0.1720832451335447,0.002004008016032,0.0029940119760479,0.0029940119760479,29.48093378850489,21.14416661026871,10.0,True,21.14416661026871,17.892430596632725,150,150.0,0.0,126,116,10,9.0,0.0,1.0,0.0,9.0,9.0,0.0,1.0,0.0793650793650793,0.0,0.0,0.0079365079365079,0.84,55.0,1161.0,11.904761904761903,0.006637713462112,106.0,14.150943396226412,6.993223214042295,11.911399618224015,19.678648040102885,21.14416661026871,,,0,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,140,10,,,,,,,,,0.0666666666666666,0.0,,0.9266666666666666,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0002340200589969,score_threshold_from_calibration_null_quantile,fixed_M_protocol_not_tune_selected
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,140,10,,,,,,,,,0.0666666666666666,0.0,,0.9266666666666666,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001301340525969,tracklet_level_p_bh,fixed_M_protocol_not_tune_selected
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,126,116,10,,,,,,,,,0.0793650793650793,0.0,,0.9285714285714286,0.84,,,11.904761904761903,0.1472088884320452,,,,,,,,,0,diagnostic_baseline,0.0003634939203038,tracklet_level_e_self_consistency,fixed_M_protocol_not_tune_selected
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,126,116,10,,,,,,,,,0.0793650793650793,0.0,,0.9285714285714286,0.84,,,11.904761904761903,0.006637713462112,,,,,,,,,0,diagnostic_baseline,0.0003566610394045,block_evalue_post_filter,fixed_M_protocol_not_tune_selected
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,140,10,,,,,,,,,0.0666666666666666,0.0,,0.9266666666666666,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.000130611937493,top_m_by_score_no_risk_control,fixed_M_protocol_not_tune_selected
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,498.0,332.0,166.0,332.0,332.0,332.0,166.0,0.0,0.5,0.1721720845735255,0.002004008016032,0.003003003003003,0.003003003003003,11.169153951844516,9.12414379544733,10.0,True,9.12414379544733,5.915756454388951,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1090.0,,,150.0,10.0,-5.919558847379367,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,1,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,498.0,332.0,166.0,332.0,332.0,332.0,166.0,0.0,0.1721720845735255,0.1721720845735255,0.002004008016032,0.003003003003003,0.003003003003003,29.47987841501076,21.09174389599088,10.0,True,21.09174389599088,10.916368504854846,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1090.0,,,150.0,10.0,-4.434738090613315,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,fixed_M_protocol_not_tune_selected
