method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,best_M_on_test_grid,diagnostic_only
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.956,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001494709867984,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.956,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001190319890156,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.1709599035136983,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,29.493601004141784,21.82374391726804,20.0,True,21.82374391726804,21.82374391726804,100,100.0,0.0,100,92,8,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.08,0.0,0.0,0.0,1.0,0.0,1216.0,20.0,1.823743917268036,100.0,20.0,1.823743917268036,21.82374391726804,21.82374391726804,21.82374391726804,,,0,certified_or_core_baseline,,,100,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,498.0,333.0,165.0,333.0,333.0,333.0,165.0,0.0,0.1720832451335447,0.1720832451335447,0.002004008016032,0.0029940119760479,0.0029940119760479,29.48093378850489,21.14416661026871,20.0,True,21.14416661026871,21.14416661026871,100,100.0,0.0,100,92,8,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.08,0.0,0.0,0.0,1.0,55.0,1161.0,20.0,1.1441666102687087,100.0,20.0,1.1441666102687087,21.14416661026871,21.14416661026871,21.14416661026871,,,0,certified_or_core_baseline,,,100,True
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,100,,,100,92,8,,,,,,,,,0.08,0.0,,0.92,1.0,,,20.0,1.1441666102687087,,,,,,,,,0,diagnostic_baseline,0.0001064820680767,block_evalue_post_filter,100,True
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0002783950185403,tracklet_level_e_self_consistency,75,True
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,236,14,,,,,,,,,0.056,0.0,,0.956,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001478740014135,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,9.313968005098578,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,75.0,20.0,-10.686031994901422,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,238,12,,,,,,,,,0.048,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.00017306196969,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,238,12,,,,,,,,,0.048,0.0,,0.968,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001173509517684,top_m_by_score_no_risk_control,250,True
