review_sample_id,dataset,video_id,path_id,pending_montage_path,human_review_round,human_second_label,human_second_verified_positive_for_calibration,human_second_reason,human_second_confidence,human_second_review_status,annotation_integrity_note
review1000_0000,OVT-B,130,ovtb_v130_p003147,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0001,OVT-B,130,ovtb_v130_p003148,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0002,OVT-B,155,ovtb_v155_p003300,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0003,OVT-B,159,ovtb_v159_p003318,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0004,OVT-B,169,ovtb_v169_p003369,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0005,OVT-B,173,ovtb_v173_p003385,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0006,OVT-B,189,ovtb_v189_p003459,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0007,OVT-B,190,ovtb_v190_p003462,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0008,OVT-B,206,ovtb_v206_p003543,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0009,OVT-B,216,ovtb_v216_p003611,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0010,OVT-B,216,ovtb_v216_p003614,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0011,OVT-B,219,ovtb_v219_p003672,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0012,OVT-B,241,ovtb_v241_p003843,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0013,OVT-B,247,ovtb_v247_p003883,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0014,OVT-B,61,ovtb_v61_p002740,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0015,OVT-B,81,ovtb_v81_p002855,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0016,OVT-B,95,ovtb_v95_p002939,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0017,OVT-B,95,ovtb_v95_p002940,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0018,TAO,2516,ovtb_v2516_p001225,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0019,TAO,2795,ovtb_v2795_p001469,,2,actually_false,no,blind_review_false_tracklet_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0020,TAO,3165,ovtb_v3165_p001627,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0021,TAO,3326,ovtb_v3326_p001814,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0022,TAO,3382,ovtb_v3382_p002049,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0023,TAO,3399,ovtb_v3399_p001945,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0024,TAO,3472,ovtb_v3472_p002083,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0025,TAO,3538,ovtb_v3538_p002140,,2,actually_false,no,blind_review_false_tracklet_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0026,TAO,3542,ovtb_v3542_p002032,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0027,TAO,4172,ovtb_v4172_p002683,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0028,TAO,4411,ovtb_v4411_p002619,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0029,TAO,4885,ovtb_v4885_p003294,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0030,TAO,4977,ovtb_v4977_p003442,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0031,TAO,5092,ovtb_v5092_p003497,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0032,TAO,5781,ovtb_v5781_p004235,,2,actually_false,no,blind_review_false_tracklet_candidate,high,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0033,BURST,1000,ovtb_v1000_p001325,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1000_p001325.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0034,BURST,111,ovtb_v111_p000114,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v111_p000114.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0035,BURST,1376,ovtb_v1376_p001863,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1376_p001863.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0036,BURST,1376,ovtb_v1376_p001865,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1376_p001865.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0037,BURST,1557,ovtb_v1557_p002033,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1557_p002033.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0038,BURST,174,ovtb_v174_p000342,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v174_p000342.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0039,BURST,2210,ovtb_v2210_p002621,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2210_p002621.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0040,BURST,2445,ovtb_v2445_p003197,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2445_p003197.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0041,BURST,2749,ovtb_v2749_p003246,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2749_p003246.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0042,BURST,2780,ovtb_v2780_p003546,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2780_p003546.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0043,BURST,422,ovtb_v422_p000754,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v422_p000754.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0044,BURST,492,ovtb_v492_p001132,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v492_p001132.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0045,BURST,624,ovtb_v624_p000997,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v624_p000997.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0046,OVT-B,188,ovtb_v188_p003451,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v188_p003451.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0047,OVT-B,189,ovtb_v189_p003461,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v189_p003461.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0048,OVT-B,206,ovtb_v206_p003537,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v206_p003537.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0049,OVT-B,253,ovtb_v253_p003945,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v253_p003945.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0050,OVT-B,274,ovtb_v274_p004091,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v274_p004091.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0051,OVT-B,280,ovtb_v280_p004138,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v280_p004138.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0052,OVT-B,317,ovtb_v317_p004436,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v317_p004436.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0053,OVT-B,317,ovtb_v317_p004443,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v317_p004443.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0054,OVT-B,37,ovtb_v37_p002265,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v37_p002265.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0055,OVT-B,38,ovtb_v38_p002285,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002285.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0056,OVT-B,38,ovtb_v38_p002304,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002304.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0057,OVT-B,38,ovtb_v38_p002305,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002305.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0058,OVT-B,38,ovtb_v38_p002317,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002317.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0059,OVT-B,38,ovtb_v38_p002328,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002328.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0060,OVT-B,39,ovtb_v39_p002365,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v39_p002365.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0061,OVT-B,41,ovtb_v41_p002446,,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0062,OVT-B,444,ovtb_v444_p005256,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v444_p005256.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0063,OVT-B,590,ovtb_v590_p006311,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v590_p006311.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0064,OVT-B,600,ovtb_v600_p006379,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v600_p006379.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0065,OVT-B,627,ovtb_v627_p006581,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v627_p006581.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0066,OVT-B,656,ovtb_v656_p006793,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v656_p006793.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0067,OVT-B,682,ovtb_v682_p007019,,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0068,OVT-B,704,ovtb_v704_p007172,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v704_p007172.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0069,OVT-B,876,ovtb_v876_p008448,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v876_p008448.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0070,OVT-B,885,ovtb_v885_p008538,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v885_p008538.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0071,OVT-B,955,ovtb_v955_p009048,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v955_p009048.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0072,OVT-B,980,ovtb_v980_p009221,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v980_p009221.jpg,2,uncertain,no,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0073,BURST,1016,ovtb_v1016_p001337,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1016_p001337.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0074,BURST,1018,ovtb_v1018_p001218,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1018_p001218.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0075,BURST,1018,ovtb_v1018_p001229,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1018_p001229.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0076,BURST,1019,ovtb_v1019_p001412,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1019_p001412.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0077,BURST,1047,ovtb_v1047_p001559,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1047_p001559.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0078,BURST,1056,ovtb_v1056_p001576,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1056_p001576.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0079,BURST,1067,ovtb_v1067_p001268,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1067_p001268.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0080,BURST,1078,ovtb_v1078_p001295,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1078_p001295.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0081,BURST,108,ovtb_v108_p000162,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v108_p000162.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0082,BURST,108,ovtb_v108_p000164,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v108_p000164.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0083,BURST,1093,ovtb_v1093_p001315,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1093_p001315.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0084,BURST,1100,ovtb_v1100_p001629,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1100_p001629.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0085,BURST,112,ovtb_v112_p000255,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v112_p000255.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0086,BURST,112,ovtb_v112_p000268,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v112_p000268.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0087,BURST,1137,ovtb_v1137_p001384,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1137_p001384.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0088,BURST,1138,ovtb_v1138_p001534,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1138_p001534.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0089,BURST,1141,ovtb_v1141_p001472,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1141_p001472.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
review1000_0090,BURST,1155,ovtb_v1155_p001558,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1155_p001558.jpg,2,actually_true,no,blind_review_real_object_candidate,medium,blind_review_confirmed,Independent blind human review confirmed after adjudication.
