review_sample_id,dataset,video_id,path_id,human_second_label_round1,human_second_verified_positive_for_calibration_round1,human_second_label_round2,human_second_verified_positive_for_calibration_round2,rounds_match_label,rounds_match_verified_positive
review1000_0000,OVT-B,130,ovtb_v130_p003147,actually_false,no,actually_false,no,True,True
review1000_0001,OVT-B,130,ovtb_v130_p003148,actually_false,no,actually_false,no,True,True
review1000_0002,OVT-B,155,ovtb_v155_p003300,actually_false,no,actually_false,no,True,True
review1000_0003,OVT-B,159,ovtb_v159_p003318,actually_false,no,actually_false,no,True,True
review1000_0004,OVT-B,169,ovtb_v169_p003369,actually_false,no,actually_false,no,True,True
review1000_0005,OVT-B,173,ovtb_v173_p003385,actually_false,no,actually_false,no,True,True
review1000_0006,OVT-B,189,ovtb_v189_p003459,actually_false,no,actually_false,no,True,True
review1000_0007,OVT-B,190,ovtb_v190_p003462,actually_false,no,actually_false,no,True,True
review1000_0008,OVT-B,206,ovtb_v206_p003543,actually_false,no,actually_false,no,True,True
review1000_0009,OVT-B,216,ovtb_v216_p003611,actually_false,no,actually_false,no,True,True
review1000_0010,OVT-B,216,ovtb_v216_p003614,actually_false,no,actually_false,no,True,True
review1000_0011,OVT-B,219,ovtb_v219_p003672,actually_false,no,actually_false,no,True,True
review1000_0012,OVT-B,241,ovtb_v241_p003843,actually_false,no,actually_false,no,True,True
review1000_0013,OVT-B,247,ovtb_v247_p003883,actually_false,no,actually_false,no,True,True
review1000_0014,OVT-B,61,ovtb_v61_p002740,actually_false,no,actually_false,no,True,True
review1000_0015,OVT-B,81,ovtb_v81_p002855,actually_false,no,actually_false,no,True,True
review1000_0016,OVT-B,95,ovtb_v95_p002939,actually_false,no,actually_false,no,True,True
review1000_0017,OVT-B,95,ovtb_v95_p002940,actually_false,no,actually_false,no,True,True
review1000_0018,TAO,2516,ovtb_v2516_p001225,actually_false,no,actually_false,no,True,True
review1000_0019,TAO,2795,ovtb_v2795_p001469,actually_false,no,actually_false,no,True,True
review1000_0020,TAO,3165,ovtb_v3165_p001627,actually_false,no,actually_false,no,True,True
review1000_0021,TAO,3326,ovtb_v3326_p001814,actually_false,no,actually_false,no,True,True
review1000_0022,TAO,3382,ovtb_v3382_p002049,actually_false,no,actually_false,no,True,True
review1000_0023,TAO,3399,ovtb_v3399_p001945,actually_false,no,actually_false,no,True,True
review1000_0024,TAO,3472,ovtb_v3472_p002083,actually_false,no,actually_false,no,True,True
review1000_0025,TAO,3538,ovtb_v3538_p002140,actually_false,no,actually_false,no,True,True
review1000_0026,TAO,3542,ovtb_v3542_p002032,actually_false,no,actually_false,no,True,True
review1000_0027,TAO,4172,ovtb_v4172_p002683,actually_false,no,actually_false,no,True,True
review1000_0028,TAO,4411,ovtb_v4411_p002619,actually_false,no,actually_false,no,True,True
