challenge_sample_id,dataset,video_id,path_id,pending_montage_path,second_reviewer_label,second_reviewer_verified_positive_for_calibration,second_reviewer_reason,second_reviewer_confidence,review_status
sr_challenge_0077,TAO,1632,ovtb_v1632_p000669,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1632_p000669.jpg,,,,,requires_independent_blind_review
sr_challenge_0079,TAO,3554,ovtb_v3554_p002187,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3554_p002187.jpg,,,,,requires_independent_blind_review
sr_challenge_0081,TAO,4022,ovtb_v4022_p002487,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4022_p002487.jpg,,,,,requires_independent_blind_review
sr_challenge_0082,TAO,2072,ovtb_v2072_p000898,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2072_p000898.jpg,,,,,requires_independent_blind_review
sr_challenge_0086,OVT-B,724,ovtb_v724_p007283,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v724_p007283.jpg,,,,,requires_independent_blind_review
sr_challenge_0087,TAO,3418,ovtb_v3418_p001946,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3418_p001946.jpg,,,,,requires_independent_blind_review
sr_challenge_0088,TAO,4807,ovtb_v4807_p003151,,,,,,requires_independent_blind_review
sr_challenge_0090,TAO,3119,ovtb_v3119_p001774,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3119_p001774.jpg,,,,,requires_independent_blind_review
sr_challenge_0091,TAO,5694,ovtb_v5694_p004137,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5694_p004137.jpg,,,,,requires_independent_blind_review
sr_challenge_0092,TAO,3195,ovtb_v3195_p001712,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3195_p001712.jpg,,,,,requires_independent_blind_review
sr_challenge_0093,TAO,4537,ovtb_v4537_p002983,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4537_p002983.jpg,,,,,requires_independent_blind_review
sr_challenge_0094,TAO,635,ovtb_v635_p000387,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v635_p000387.jpg,,,,,requires_independent_blind_review
sr_challenge_0095,TAO,4953,ovtb_v4953_p003468,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4953_p003468.jpg,,,,,requires_independent_blind_review
sr_challenge_0098,TAO,3392,ovtb_v3392_p001897,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3392_p001897.jpg,,,,,requires_independent_blind_review
sr_challenge_0102,OVT-B,538,ovtb_v538_p005900,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v538_p005900.jpg,,,,,requires_independent_blind_review
sr_challenge_0105,OVT-B,873,ovtb_v873_p008400,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v873_p008400.jpg,,,,,requires_independent_blind_review
sr_challenge_0106,OVT-B,788,ovtb_v788_p007786,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v788_p007786.jpg,,,,,requires_independent_blind_review
sr_challenge_0107,TAO,2112,ovtb_v2112_p001116,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2112_p001116.jpg,,,,,requires_independent_blind_review
sr_challenge_0109,TAO,5210,ovtb_v5210_p003667,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5210_p003667.jpg,,,,,requires_independent_blind_review
sr_challenge_0116,TAO,1982,ovtb_v1982_p000862,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1982_p000862.jpg,,,,,requires_independent_blind_review
sr_challenge_0117,OVT-B,6,ovtb_v6_p000300,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v6_p000300.jpg,,,,,requires_independent_blind_review
sr_challenge_0118,TAO,4896,ovtb_v4896_p003375,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4896_p003375.jpg,,,,,requires_independent_blind_review
sr_challenge_0119,TAO,3493,ovtb_v3493_p002208,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3493_p002208.jpg,,,,,requires_independent_blind_review
sr_challenge_0120,OVT-B,854,ovtb_v854_p008262,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v854_p008262.jpg,,,,,requires_independent_blind_review
sr_challenge_0124,TAO,79,ovtb_v79_p000050,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v79_p000050.jpg,,,,,requires_independent_blind_review
sr_challenge_0125,TAO,4712,ovtb_v4712_p003189,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4712_p003189.jpg,,,,,requires_independent_blind_review
sr_challenge_0126,OVT-B,616,ovtb_v616_p006491,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v616_p006491.jpg,,,,,requires_independent_blind_review
sr_challenge_0127,OVT-B,989,ovtb_v989_p009271,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v989_p009271.jpg,,,,,requires_independent_blind_review
sr_challenge_0131,TAO,5554,ovtb_v5554_p004068,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5554_p004068.jpg,,,,,requires_independent_blind_review
sr_challenge_0134,OVT-B,849,ovtb_v849_p008230,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v849_p008230.jpg,,,,,requires_independent_blind_review
sr_challenge_0136,TAO,1058,ovtb_v1058_p000570,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1058_p000570.jpg,,,,,requires_independent_blind_review
sr_challenge_0140,OVT-B,628,ovtb_v628_p006586,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v628_p006586.jpg,,,,,requires_independent_blind_review
sr_challenge_0143,TAO,3330,ovtb_v3330_p001880,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3330_p001880.jpg,,,,,requires_independent_blind_review
sr_challenge_0144,TAO,2386,ovtb_v2386_p001177,,,,,,requires_independent_blind_review
sr_challenge_0145,TAO,4332,ovtb_v4332_p002785,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4332_p002785.jpg,,,,,requires_independent_blind_review
sr_challenge_0147,OVT-B,566,ovtb_v566_p006113,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v566_p006113.jpg,,,,,requires_independent_blind_review
sr_challenge_0148,TAO,4493,ovtb_v4493_p002930,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4493_p002930.jpg,,,,,requires_independent_blind_review
sr_challenge_0149,TAO,3331,ovtb_v3331_p001821,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3331_p001821.jpg,,,,,requires_independent_blind_review
sr_challenge_0150,OVT-B,788,ovtb_v788_p007778,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v788_p007778.jpg,,,,,requires_independent_blind_review
sr_challenge_0154,TAO,1747,ovtb_v1747_p000715,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1747_p000715.jpg,,,,,requires_independent_blind_review
sr_challenge_0155,TAO,5631,ovtb_v5631_p004090,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5631_p004090.jpg,,,,,requires_independent_blind_review
sr_challenge_0157,TAO,3317,ovtb_v3317_p001864,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3317_p001864.jpg,,,,,requires_independent_blind_review
sr_challenge_0158,TAO,3136,ovtb_v3136_p001782,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v3136_p001782.jpg,,,,,requires_independent_blind_review
sr_challenge_0159,OVT-B,79,ovtb_v79_p002840,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v79_p002840.jpg,,,,,requires_independent_blind_review
sr_challenge_0161,TAO,1453,ovtb_v1453_p000601,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1453_p000601.jpg,,,,,requires_independent_blind_review
sr_challenge_0162,TAO,5050,ovtb_v5050_p003517,,,,,,requires_independent_blind_review
sr_challenge_0164,TAO,1614,ovtb_v1614_p000791,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1614_p000791.jpg,,,,,requires_independent_blind_review
sr_challenge_0166,OVT-B,52,ovtb_v52_p002670,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v52_p002670.jpg,,,,,requires_independent_blind_review
sr_challenge_0167,TAO,5098,ovtb_v5098_p003578,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5098_p003578.jpg,,,,,requires_independent_blind_review
sr_challenge_0168,OVT-B,926,ovtb_v926_p008805,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v926_p008805.jpg,,,,,requires_independent_blind_review
sr_challenge_0169,TAO,5101,ovtb_v5101_p003572,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5101_p003572.jpg,,,,,requires_independent_blind_review
sr_challenge_0170,OVT-B,926,ovtb_v926_p008796,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v926_p008796.jpg,,,,,requires_independent_blind_review
sr_challenge_0173,TAO,5881,ovtb_v5881_p004395,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5881_p004395.jpg,,,,,requires_independent_blind_review
sr_challenge_0174,TAO,2519,ovtb_v2519_p001180,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2519_p001180.jpg,,,,,requires_independent_blind_review
sr_challenge_0177,TAO,4896,ovtb_v4896_p003371,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4896_p003371.jpg,,,,,requires_independent_blind_review
sr_challenge_0178,TAO,4191,ovtb_v4191_p002438,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4191_p002438.jpg,,,,,requires_independent_blind_review
sr_challenge_0180,TAO,5409,ovtb_v5409_p003896,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5409_p003896.jpg,,,,,requires_independent_blind_review
sr_challenge_0181,OVT-B,92,ovtb_v92_p002927,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v92_p002927.jpg,,,,,requires_independent_blind_review
sr_challenge_0183,TAO,4952,ovtb_v4952_p003336,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v4952_p003336.jpg,,,,,requires_independent_blind_review
sr_challenge_0186,TAO,5519,ovtb_v5519_p004025,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v5519_p004025.jpg,,,,,requires_independent_blind_review
sr_challenge_0188,TAO,1658,ovtb_v1658_p000609,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1658_p000609.jpg,,,,,requires_independent_blind_review
sr_challenge_0189,TAO,2112,ovtb_v2112_p001111,,,,,,requires_independent_blind_review
sr_challenge_0193,TAO,2699,ovtb_v2699_p001432,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v2699_p001432.jpg,,,,,requires_independent_blind_review
sr_challenge_0195,OVT-B,857,ovtb_v857_p008285,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v857_p008285.jpg,,,,,requires_independent_blind_review
sr_challenge_0197,TAO,1,ovtb_v1_p000007,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/tao_ovtb_v1_p000007.jpg,,,,,requires_independent_blind_review
sr_challenge_0199,TAO,3480,ovtb_v3480_p002006,,,,,,requires_independent_blind_review
