dataset,video_id,path_id,pending_montage_path,human_second_label,human_second_verified_positive_for_calibration,human_second_reason,human_second_confidence,human_second_review_status
OVT-B,130,ovtb_v130_p003147,,,,,,requires_independent_blind_review
OVT-B,130,ovtb_v130_p003148,,,,,,requires_independent_blind_review
OVT-B,155,ovtb_v155_p003300,,,,,,requires_independent_blind_review
OVT-B,159,ovtb_v159_p003318,,,,,,requires_independent_blind_review
OVT-B,169,ovtb_v169_p003369,,,,,,requires_independent_blind_review
OVT-B,173,ovtb_v173_p003385,,,,,,requires_independent_blind_review
OVT-B,189,ovtb_v189_p003459,,,,,,requires_independent_blind_review
OVT-B,190,ovtb_v190_p003462,,,,,,requires_independent_blind_review
OVT-B,206,ovtb_v206_p003543,,,,,,requires_independent_blind_review
OVT-B,216,ovtb_v216_p003611,,,,,,requires_independent_blind_review
OVT-B,216,ovtb_v216_p003614,,,,,,requires_independent_blind_review
OVT-B,219,ovtb_v219_p003672,,,,,,requires_independent_blind_review
OVT-B,241,ovtb_v241_p003843,,,,,,requires_independent_blind_review
OVT-B,247,ovtb_v247_p003883,,,,,,requires_independent_blind_review
OVT-B,61,ovtb_v61_p002740,,,,,,requires_independent_blind_review
OVT-B,81,ovtb_v81_p002855,,,,,,requires_independent_blind_review
OVT-B,95,ovtb_v95_p002939,,,,,,requires_independent_blind_review
OVT-B,95,ovtb_v95_p002940,,,,,,requires_independent_blind_review
TAO,2516,ovtb_v2516_p001225,,,,,,requires_independent_blind_review
TAO,2795,ovtb_v2795_p001469,,,,,,requires_independent_blind_review
TAO,3165,ovtb_v3165_p001627,,,,,,requires_independent_blind_review
TAO,3326,ovtb_v3326_p001814,,,,,,requires_independent_blind_review
TAO,3382,ovtb_v3382_p002049,,,,,,requires_independent_blind_review
TAO,3399,ovtb_v3399_p001945,,,,,,requires_independent_blind_review
TAO,3472,ovtb_v3472_p002083,,,,,,requires_independent_blind_review
TAO,3538,ovtb_v3538_p002140,,,,,,requires_independent_blind_review
TAO,3542,ovtb_v3542_p002032,,,,,,requires_independent_blind_review
TAO,4172,ovtb_v4172_p002683,,,,,,requires_independent_blind_review
TAO,4411,ovtb_v4411_p002619,,,,,,requires_independent_blind_review
TAO,4885,ovtb_v4885_p003294,,,,,,requires_independent_blind_review
TAO,4977,ovtb_v4977_p003442,,,,,,requires_independent_blind_review
TAO,5092,ovtb_v5092_p003497,,,,,,requires_independent_blind_review
