challenge_sample_id,dataset,video_id,path_id,pending_montage_path,primary_label,human_second_label,label_match,primary_verified_positive_for_calibration,human_second_verified_positive_for_calibration,verified_positive_match,human_second_reason,human_second_confidence,human_second_review_status
sr_challenge_0000,OVT-B,317,ovtb_v317_p004443,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v317_p004443.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0001,BURST,2210,ovtb_v2210_p002621,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2210_p002621.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0002,OVT-B,39,ovtb_v39_p002365,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v39_p002365.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0003,OVT-B,216,ovtb_v216_p003611,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0004,TAO,4977,ovtb_v4977_p003442,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0005,OVT-B,444,ovtb_v444_p005256,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v444_p005256.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0006,OVT-B,280,ovtb_v280_p004138,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v280_p004138.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0007,OVT-B,155,ovtb_v155_p003300,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0008,TAO,3538,ovtb_v3538_p002140,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0009,BURST,624,ovtb_v624_p000997,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v624_p000997.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0010,OVT-B,38,ovtb_v38_p002317,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002317.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0011,BURST,111,ovtb_v111_p000114,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v111_p000114.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0012,BURST,1376,ovtb_v1376_p001865,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1376_p001865.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0013,BURST,422,ovtb_v422_p000754,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v422_p000754.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0014,TAO,3542,ovtb_v3542_p002032,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0015,OVT-B,173,ovtb_v173_p003385,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0016,TAO,2516,ovtb_v2516_p001225,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0017,OVT-B,38,ovtb_v38_p002304,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002304.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0018,OVT-B,81,ovtb_v81_p002855,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0019,OVT-B,955,ovtb_v955_p009048,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v955_p009048.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0020,OVT-B,169,ovtb_v169_p003369,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0021,OVT-B,682,ovtb_v682_p007019,,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0022,OVT-B,980,ovtb_v980_p009221,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v980_p009221.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0023,TAO,3165,ovtb_v3165_p001627,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0024,BURST,1000,ovtb_v1000_p001325,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1000_p001325.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0025,TAO,5781,ovtb_v5781_p004235,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0026,OVT-B,188,ovtb_v188_p003451,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v188_p003451.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0027,BURST,2749,ovtb_v2749_p003246,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2749_p003246.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0028,OVT-B,216,ovtb_v216_p003614,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0029,BURST,2445,ovtb_v2445_p003197,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2445_p003197.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0030,OVT-B,274,ovtb_v274_p004091,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v274_p004091.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0031,OVT-B,38,ovtb_v38_p002305,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002305.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0032,OVT-B,704,ovtb_v704_p007172,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v704_p007172.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0033,OVT-B,38,ovtb_v38_p002285,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v38_p002285.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0034,OVT-B,600,ovtb_v600_p006379,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v600_p006379.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0035,TAO,5092,ovtb_v5092_p003497,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0036,OVT-B,190,ovtb_v190_p003462,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0037,OVT-B,876,ovtb_v876_p008448,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v876_p008448.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0038,TAO,3382,ovtb_v3382_p002049,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0039,OVT-B,95,ovtb_v95_p002939,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0040,OVT-B,130,ovtb_v130_p003148,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0041,OVT-B,885,ovtb_v885_p008538,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v885_p008538.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0042,TAO,4172,ovtb_v4172_p002683,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0043,OVT-B,241,ovtb_v241_p003843,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0044,OVT-B,590,ovtb_v590_p006311,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v590_p006311.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0045,OVT-B,627,ovtb_v627_p006581,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v627_p006581.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0046,BURST,492,ovtb_v492_p001132,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v492_p001132.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0047,BURST,2780,ovtb_v2780_p003546,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2780_p003546.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0048,BURST,1557,ovtb_v1557_p002033,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1557_p002033.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0049,OVT-B,95,ovtb_v95_p002940,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0050,TAO,2795,ovtb_v2795_p001469,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,medium,human_confirmed_after_challenge_review
sr_challenge_0051,TAO,3472,ovtb_v3472_p002083,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
sr_challenge_0052,OVT-B,37,ovtb_v37_p002265,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v37_p002265.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0053,OVT-B,253,ovtb_v253_p003945,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v253_p003945.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0054,BURST,174,ovtb_v174_p000342,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v174_p000342.jpg,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,human_confirmed_after_challenge_review
sr_challenge_0055,OVT-B,61,ovtb_v61_p002740,,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,human_confirmed_after_challenge_review
