challenge_sample_id,dataset,video_id,path_id,primary_label,human_second_label,label_match,primary_verified_positive_for_calibration,human_second_verified_positive_for_calibration,verified_positive_match,human_second_reason,human_second_confidence,human_second_review_status
sr_challenge_0000,OVT-B,317,ovtb_v317_p004443,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0001,BURST,2210,ovtb_v2210_p002621,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0002,OVT-B,39,ovtb_v39_p002365,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0003,OVT-B,216,ovtb_v216_p003611,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0004,TAO,4977,ovtb_v4977_p003442,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0005,OVT-B,444,ovtb_v444_p005256,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0006,OVT-B,280,ovtb_v280_p004138,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0007,OVT-B,155,ovtb_v155_p003300,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
sr_challenge_0008,TAO,3538,ovtb_v3538_p002140,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,medium,blind_review_confirmed
sr_challenge_0009,BURST,624,ovtb_v624_p000997,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0010,OVT-B,38,ovtb_v38_p002317,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0011,BURST,111,ovtb_v111_p000114,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0012,BURST,1376,ovtb_v1376_p001865,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0013,BURST,422,ovtb_v422_p000754,uncertain,uncertain,True,no,no,True,blind_review_boundary_case_remains_uncertain,low,blind_review_confirmed
sr_challenge_0014,TAO,3542,ovtb_v3542_p002032,actually_false,actually_false,True,no,no,True,blind_review_false_tracklet_candidate,high,blind_review_confirmed
