seed,rho,alpha,K,raw_topK_n,released_n,raw_only_rejected_tail_n,raw_topK_WBM_FTR,PARC_release_WBM_FTR,raw_topR_WBM_FTR,required_e,best_mass_ratio,self_consistency_margin,block_coverage,n_nonempty_null_cal_blocks,PARC_mean_exact_match_coverage
0,0.1,0.1,300,300,57,243,0.2866666666666667,0.07017543859649122,0.07017543859649122,10.0,2.965053684829303,10.139041049228304,0.9970157352143245,3675,0.24523387701160465
0,0.1,0.1,500,500,56,444,0.354,0.05357142857142857,0.05357142857142857,10.0,1.779032210897582,0.3328937406812571,0.9970157352143245,3675,0.23199553162601375
1,0.1,0.1,300,300,166,134,0.21,0.10240963855421686,0.10240963855421686,10.0,5.273725046222098,0.5156582457404362,0.99755832881172,3677,0.24523387701160465
1,0.1,0.1,500,500,136,364,0.304,0.058823529411764705,0.058823529411764705,10.0,3.164235027733259,3.3342099178097513,0.99755832881172,3677,0.23199553162601375
2,0.1,0.1,300,300,163,137,0.19,0.09202453987730061,0.09202453987730061,10.0,5.651511869009259,0.16177778003658005,0.9962018448182312,3672,0.24523387701160465
2,0.1,0.1,500,500,115,385,0.28,0.017391304347826087,0.017391304347826087,10.0,3.3909071214055557,5.244539795811761,0.9962018448182312,3672,0.23199553162601375
3,0.1,0.1,300,300,41,259,0.25,0.0,0.0,10.0,2.0296693516491473,16.36323504953147,0.9959305480195334,3671,0.24523387701160465
3,0.1,0.1,500,500,37,463,0.296,0.0,0.0,10.0,1.2178016109894885,29.432650133714645,0.9959305480195334,3671,0.23199553162601375
4,0.1,0.1,300,300,103,197,0.26666666666666666,0.07766990291262135,0.07766990291262135,10.0,3.6762261672196157,10.926127664038063,0.9962018448182312,3672,0.24523387701160465
4,0.1,0.1,500,500,88,412,0.342,0.07954545454545454,0.07954545454545454,10.0,2.2057357003317692,5.908283686012545,0.9962018448182312,3672,0.23199553162601375
5,0.1,0.1,300,300,151,149,0.21,0.08609271523178808,0.08609271523178808,10.0,4.993083301746044,0.17345581445576386,0.9962018448182312,3672,0.24523387701160465
5,0.1,0.1,500,500,100,400,0.29,0.0,0.0,10.0,2.9958499810476265,12.726465504194358,0.9962018448182312,3672,0.23199553162601375
6,0.1,0.1,300,300,39,261,0.35,0.05128205128205128,0.05128205128205128,10.0,2.086020786140143,12.674371754430823,0.9967444384156267,3674,0.24523387701160465
6,0.1,0.1,500,500,38,462,0.41,0.02631578947368421,0.02631578947368421,10.0,1.251612471684086,33.106904168958664,0.9967444384156267,3674,0.23199553162601375
7,0.1,0.1,300,300,101,199,0.32666666666666666,0.1485148514851485,0.1485148514851485,10.0,3.516656160032386,0.1442152925019684,0.9978296256104178,3678,0.24523387701160465
7,0.1,0.1,500,500,66,434,0.364,0.015151515151515152,0.015151515151515152,10.0,2.109993696019431,13.924506444478084,0.9978296256104178,3678,0.23199553162601375
8,0.1,0.1,300,300,64,236,0.29333333333333333,0.015625,0.015625,10.0,3.1260401243485885,1.8250474299543313,0.9956592512208355,3670,0.24523387701160465
8,0.1,0.1,500,500,61,439,0.346,0.01639344262295082,0.01639344262295082,10.0,1.875624074609153,7.545591709829708,0.9956592512208355,3670,0.23199553162601375
9,0.1,0.1,300,300,109,191,0.21666666666666667,0.06422018348623854,0.06422018348623854,10.0,3.7850590611835453,2.2760102691312873,0.9959305480195334,3671,0.24523387701160465
9,0.1,0.1,500,500,84,416,0.31,0.047619047619047616,0.047619047619047616,10.0,2.271035436710127,3.187936884378537,0.9959305480195334,3671,0.23199553162601375
10,0.1,0.1,300,300,126,174,0.24333333333333335,0.12698412698412698,0.12698412698412698,10.0,4.4443928290266985,0.0935063460677199,0.9962018448182312,3672,0.24523387701160465
10,0.1,0.1,500,500,91,409,0.306,0.03296703296703297,0.03296703296703297,10.0,2.666635697416019,7.78141055913941,0.9962018448182312,3672,0.23199553162601375
11,0.1,0.1,300,300,82,218,0.30333333333333334,0.10975609756097561,0.10975609756097561,10.0,3.349412495825695,12.171561895162213,0.9970157352143245,3675,0.24523387701160465
11,0.1,0.1,500,500,64,436,0.386,0.046875,0.046875,10.0,2.009647497495417,11.493608026395535,0.9970157352143245,3675,0.23199553162601375
12,0.1,0.1,300,300,93,207,0.25666666666666665,0.11827956989247312,0.11827956989247312,10.0,3.4584028822849744,1.884326483994812,0.9967444384156267,3674,0.24523387701160465
12,0.1,0.1,500,500,90,410,0.332,0.12222222222222222,0.12222222222222222,10.0,2.0750417293709846,7.200346742687962,0.9967444384156267,3674,0.23199553162601375
13,0.1,0.1,300,300,126,174,0.19333333333333333,0.047619047619047616,0.047619047619047616,10.0,4.112226720019183,0.07699714047396711,0.9953879544221378,3669,0.24523387701160465
13,0.1,0.1,500,500,86,414,0.282,0.011627906976744186,0.011627906976744186,10.0,2.46733603201151,4.542771933714832,0.9953879544221378,3669,0.23199553162601375
14,0.1,0.1,300,300,129,171,0.23,0.07751937984496124,0.07751937984496124,10.0,4.831939338240346,0.6637236887825715,0.9970157352143245,3675,0.24523387701160465
14,0.1,0.1,500,500,119,381,0.296,0.07563025210084033,0.07563025210084033,10.0,2.899163602944208,6.740121026131668,0.9970157352143245,3675,0.23199553162601375
15,0.1,0.1,300,300,176,124,0.24,0.13636363636363635,0.13636363636363635,10.0,4.883345207202175,0.26095735496366146,0.9962018448182312,3672,0.24523387701160465
15,0.1,0.1,500,500,151,349,0.328,0.11258278145695365,0.11258278145695365,10.0,2.930007124321305,1.0139841945718686,0.9962018448182312,3672,0.23199553162601375
16,0.1,0.1,300,300,43,257,0.33,0.0,0.0,10.0,2.195811353831729,19.83000681704263,0.9967444384156267,3674,0.24523387701160465
