domain,dataset,unit,proposal_source,verification_mode,alpha,K,release_status,non_empty_seeds,total_seeds,PARC_release_size,PARC_FTR,raw_topK_FTR,false_releases_prevented_est,coverage,evidence_mass_phi,max_observed_e,required_e,empty_block_policy,block_stress_pass,practical_interpretation,paper_status,conservative_PARC_FTR
biomedical_cell_tracking,Cell Tracking Challenge,adjacent_frame_cell_link,sequence_disjoint_learned_hybrid_appearance_linker,controlled_partial_verification_masked_GT,0.1,100,strict_success,20,20,100.0,0.0,0.0,0.0,held_out_sequence_partial_verification,1.337801129860021,13.378011298600208,10.0,coverage_conditional,reverse_split_and_negative_control_available,strict alpha=0.10 learned-source cell-link release,main_flagship,
biomedical_cell_tracking,Cell Tracking Challenge,adjacent_frame_cell_link,sequence_disjoint_learned_hybrid_appearance_linker,controlled_partial_verification_masked_GT,0.1,300,strict_success,20,20,300.0,0.0,0.0,0.0,held_out_sequence_partial_verification,1.3378011298600212,13.378011298600208,10.0,coverage_conditional,reverse_split_and_negative_control_available,strict alpha=0.10 learned-source cell-link release,main_flagship,
biomedical_cell_tracking,Cell Tracking Challenge,adjacent_frame_cell_link,random_score_negative_control,controlled_partial_verification_masked_GT,0.1,100,certified_refusal,0,20,0.0,0.0,0.8074999999999999,80.74999999999999,held_out_sequence_partial_verification,0.0562513371052834,9.804598402757112,10.0,coverage_conditional,negative_control_refused,PARC refuses uninformative learned ranking,control,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,controlled_partial_DFT_positive_masking,0.1,100,strict_success,20,20,100.0,0.03,0.0,0.0,0.9957677699403146,13.443074227562992,164.5441668977051,10.0,coverage_conditional,composition_family_sensitivity_available,strict stable-material candidate release,main_flagship,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,controlled_partial_DFT_positive_masking,0.1,300,strict_success,20,20,115.1,0.0870024948491858,0.2531666666666666,65.93601284285869,0.9964731416169288,3.956974570111012,164.64649454156125,10.0,coverage_conditional,modern_model_sensitivity,modern learned materials source sensitivity,co_primary_practical_benefit,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,controlled_partial_DFT_positive_masking,0.1,500,strict_success,20,20,90.75,0.0482207668261013,0.3269,159.07396541053132,0.9964731416169288,2.3741847420666065,164.64649454156125,10.0,coverage_conditional,modern_model_sensitivity,modern learned materials source sensitivity,co_primary_practical_benefit,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,controlled_partial_DFT_positive_masking,0.1,5000,certified_refusal,0,20,0.0,0.0,0.40651,2032.55,0.9957677699403146,0.2848228670465493,164.5441668977051,10.0,coverage_conditional,unsafe_high_volume_refused,high-volume raw materials release guarded by certified refusal,safety_guardrail,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,materials_boundary_threshold_rerun,0.1,100,strict_alpha010_pass,20,20,100.0,0.0854999999999999,0.0854999999999999,0.0,0.9974905046120458,11.856871677644266,164.79406777368217,10.0,coverage_conditional,conservative_clear_stable_observed_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,alignn_ff_modern_learned_materials_model,materials_boundary_threshold_rerun,0.1,300,strict_alpha010_pass,20,20,109.15,0.0777423456232636,0.2531666666666666,67.46442297522076,0.9974905046120458,3.9605287870530033,164.79406777368217,10.0,coverage_conditional,conservative_clear_stable_observed_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
materials_discovery,Matbench Discovery WBM,crystal_stability_candidate,cgcnn_ensemble_learned_materials_model,materials_boundary_threshold_rerun,0.1,100,strict_alpha010_pass,20,20,100.0,0.03,0.03,0.0,0.9967715680954964,13.454839682450729,164.68978331639784,10.0,coverage_conditional,conservative_clear_stable_observed_25meV,materials stability-threshold and boundary-label robustness,materials_threshold_robustness,
