domain,dataset,unit,target_row,proposal_source,block_definition,rho,alpha,K,removal_mode,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,observed_positive_total_mean,observed_positive_in_calibration_mean,removed_from_calibration_null_mean,dominant_empty_reason,evidence_status,full_parc_mean_release,full_parc_actual_FTR_mean,full_parc_best_mass_ratio_mean,full_parc_non_empty_seeds,release_delta_vs_full,ftr_delta_vs_full,mass_ratio_delta_vs_full,load_bearing_interpretation
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,full_parc,20,20,100.0,100,100,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,2931.0,1463.4,1463.4,,completed_candidate_level_rerun,100.0,0.0,1.3321283238137231,20,0.0,0.0,0.0,reference_full_parc
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,no_verified_positive_removal,20,0,0.0,0,0,0.0,0.0,0.0,0.045884009524522,3.6049306125076703,10.0,1.0,2931.0,1463.4,0.0,observed_e_below_required_emax,completed_candidate_level_rerun,100.0,0.0,1.3321283238137231,20,-100.0,0.0,-1.286244314289201,verified_positive_removal_load_bearing
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,random_positive_removal,20,0,0.0,0,0,0.0,0.0,0.0,0.0464383975823342,3.648090649970733,10.0,1.0,2931.0,1463.4,1463.4,observed_e_below_required_emax,completed_candidate_level_rerun,100.0,0.0,1.3321283238137231,20,-100.0,0.0,-1.285689926231389,verified_positive_removal_load_bearing
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K300,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,300,full_parc,20,20,300.0,300,300,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,2931.0,1463.4,1463.4,,completed_candidate_level_rerun,300.0,0.0,1.3321283238137231,20,0.0,0.0,0.0,reference_full_parc
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K300,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,300,no_verified_positive_removal,20,0,0.0,0,0,0.0,0.0,0.0,0.0363812566741232,3.6049306125076703,10.0,1.0,2931.0,1463.4,0.0,observed_e_below_required_emax,completed_candidate_level_rerun,300.0,0.0,1.3321283238137231,20,-300.0,0.0,-1.2957470671396,verified_positive_removal_load_bearing
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K300,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,300,random_positive_removal,20,0,0.0,0,0,0.0,0.0,0.0,0.0366435365191692,3.648090649970733,10.0,1.0,2931.0,1463.4,1463.4,observed_e_below_required_emax,completed_candidate_level_rerun,300.0,0.0,1.3321283238137231,20,-300.0,0.0,-1.295484787294554,verified_positive_removal_load_bearing
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,materials_alignn_exact_stable_alpha010_K300,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,full_parc,20,20,115.1,39,211,0.0870024948491858,0.1753554502369668,0.2531666666666666,3.956974570111012,164.64649454156125,10.0,0.9964731416169288,3294.0,1631.75,1631.75,,completed_candidate_level_rerun,115.1,0.0870024948491858,3.956974570111012,20,0.0,0.0,0.0,reference_full_parc
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,materials_alignn_exact_stable_alpha010_K300,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,no_verified_positive_removal,20,0,0.0,0,0,0.0,0.0,0.2531666666666666,0.3423840018437473,121.62683153977714,10.0,1.0,3294.0,1631.75,0.0,insufficient_high_e_mass_for_uniform_scs,completed_candidate_level_rerun,115.1,0.0870024948491858,3.956974570111012,20,-115.1,-0.0870024948491858,-3.614590568267264,verified_positive_removal_load_bearing
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,materials_alignn_exact_stable_alpha010_K300,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,random_positive_removal,20,0,0.0,0,0,0.0,0.0,0.2531666666666666,0.3428623608853777,125.21747159577058,10.0,0.9982365708084644,3294.0,1631.75,1631.75,insufficient_high_e_mass_for_uniform_scs,completed_candidate_level_rerun,115.1,0.0870024948491858,3.956974570111012,20,-115.1,-0.0870024948491858,-3.6141122092256337,verified_positive_removal_load_bearing
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,materials_alignn_exact_stable_alpha010_K500,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,500,full_parc,20,20,90.75,37,151,0.0482207668261013,0.1222222222222222,0.3269,2.3741847420666065,164.64649454156125,10.0,0.9964731416169288,3294.0,1631.75,1631.75,,completed_candidate_level_rerun,90.75,0.0482207668261013,2.3741847420666065,20,0.0,0.0,0.0,reference_full_parc
