comparison_id,seed,raw_false_count,PARC_false_count,delta_false_count,raw_FTR,PARC_FTR
materials_alignn_ff_modern_learned_materials_model_K300,0,86.0,4.0,82.0,0.2866666666666667,0.0701754385964912
materials_alignn_ff_modern_learned_materials_model_K300,1,63.0,17.0,46.0,0.21,0.1024096385542168
materials_alignn_ff_modern_learned_materials_model_K300,2,57.0,15.0,42.0,0.19,0.0920245398773006
materials_alignn_ff_modern_learned_materials_model_K300,3,75.0,0.0,75.0,0.25,0.0
materials_alignn_ff_modern_learned_materials_model_K300,4,80.0,8.0,72.0,0.2666666666666666,0.0776699029126213
materials_alignn_ff_modern_learned_materials_model_K300,5,63.0,13.0,50.0,0.21,0.086092715231788
materials_alignn_ff_modern_learned_materials_model_K300,6,105.0,2.0,103.0,0.35,0.0512820512820512
materials_alignn_ff_modern_learned_materials_model_K300,7,98.0,15.0,83.0,0.3266666666666666,0.1485148514851485
materials_alignn_ff_modern_learned_materials_model_K300,8,88.0,1.0,87.0,0.2933333333333333,0.015625
materials_alignn_ff_modern_learned_materials_model_K300,9,65.0,7.0,58.0,0.2166666666666666,0.0642201834862385
materials_alignn_ff_modern_learned_materials_model_K300,10,73.0,16.0,57.0,0.2433333333333333,0.1269841269841269
materials_alignn_ff_modern_learned_materials_model_K300,11,91.0,9.0,82.0,0.3033333333333333,0.1097560975609756
materials_alignn_ff_modern_learned_materials_model_K300,12,77.0,11.0,66.0,0.2566666666666666,0.1182795698924731
materials_alignn_ff_modern_learned_materials_model_K300,13,58.0,6.0,52.0,0.1933333333333333,0.0476190476190476
materials_alignn_ff_modern_learned_materials_model_K300,14,69.0,10.0,59.0,0.23,0.0775193798449612
materials_alignn_ff_modern_learned_materials_model_K300,15,72.0,24.0,48.0,0.24,0.1363636363636363
materials_alignn_ff_modern_learned_materials_model_K300,16,99.0,0.0,99.0,0.33,0.0
materials_alignn_ff_modern_learned_materials_model_K300,17,55.0,24.0,31.0,0.1833333333333333,0.1256544502617801
materials_alignn_ff_modern_learned_materials_model_K300,18,72.0,37.0,35.0,0.24,0.1753554502369668
materials_alignn_ff_modern_learned_materials_model_K300,19,73.0,15.0,58.0,0.2433333333333333,0.1145038167938931
materials_alignn_ff_modern_learned_materials_model_K500,0,177.0,3.0,174.0,0.354,0.0535714285714285
materials_alignn_ff_modern_learned_materials_model_K500,1,152.0,8.0,144.0,0.304,0.0588235294117647
materials_alignn_ff_modern_learned_materials_model_K500,2,140.0,2.0,138.0,0.28,0.017391304347826
materials_alignn_ff_modern_learned_materials_model_K500,3,148.0,0.0,148.0,0.296,0.0
materials_alignn_ff_modern_learned_materials_model_K500,4,171.0,7.0,164.0,0.342,0.0795454545454545
materials_alignn_ff_modern_learned_materials_model_K500,5,145.0,0.0,145.0,0.29,0.0
materials_alignn_ff_modern_learned_materials_model_K500,6,205.0,1.0,204.0,0.41,0.0263157894736842
materials_alignn_ff_modern_learned_materials_model_K500,7,182.0,1.0,181.0,0.364,0.0151515151515151
materials_alignn_ff_modern_learned_materials_model_K500,8,173.0,1.0,172.0,0.346,0.0163934426229508
materials_alignn_ff_modern_learned_materials_model_K500,9,155.0,4.0,151.0,0.31,0.0476190476190476
materials_alignn_ff_modern_learned_materials_model_K500,10,153.0,3.0,150.0,0.306,0.0329670329670329
materials_alignn_ff_modern_learned_materials_model_K500,11,193.0,3.0,190.0,0.386,0.046875
materials_alignn_ff_modern_learned_materials_model_K500,12,166.0,11.0,155.0,0.332,0.1222222222222222
materials_alignn_ff_modern_learned_materials_model_K500,13,141.0,1.0,140.0,0.282,0.0116279069767441
materials_alignn_ff_modern_learned_materials_model_K500,14,148.0,9.0,139.0,0.296,0.0756302521008403
materials_alignn_ff_modern_learned_materials_model_K500,15,164.0,17.0,147.0,0.328,0.1125827814569536
materials_alignn_ff_modern_learned_materials_model_K500,16,188.0,0.0,188.0,0.376,0.0
materials_alignn_ff_modern_learned_materials_model_K500,17,135.0,11.0,124.0,0.27,0.0769230769230769
materials_alignn_ff_modern_learned_materials_model_K500,18,168.0,8.0,160.0,0.336,0.0606060606060606
materials_alignn_ff_modern_learned_materials_model_K500,19,165.0,13.0,152.0,0.33,0.1101694915254237
materials_alignn_ff_modern_learned_materials_model_K5000,0,2587.0,0.0,2587.0,0.5174,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,1,2587.0,0.0,2587.0,0.5174,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,2,2551.0,0.0,2551.0,0.5102,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,3,2497.0,0.0,2497.0,0.4994,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,4,2576.0,0.0,2576.0,0.5152,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,5,2510.0,0.0,2510.0,0.502,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,6,2680.0,0.0,2680.0,0.536,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,7,2544.0,0.0,2544.0,0.5088,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,8,2551.0,0.0,2551.0,0.5102,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,9,2636.0,0.0,2636.0,0.5272,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,10,2443.0,0.0,2443.0,0.4886,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,11,2600.0,0.0,2600.0,0.52,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,12,2670.0,0.0,2670.0,0.534,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,13,2543.0,0.0,2543.0,0.5086,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,14,2526.0,0.0,2526.0,0.5052,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,15,2593.0,0.0,2593.0,0.5186,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,16,2623.0,0.0,2623.0,0.5246,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,17,2589.0,0.0,2589.0,0.5178,0.0
materials_alignn_ff_modern_learned_materials_model_K5000,18,2647.0,0.0,2647.0,0.5294,0.0
