tracker,method,status,HOTA,HOTA_0,DetA,AssA,LocA,MOTA,MOTP,CLR_TP,CLR_FP,CLR_FN,IDSW,IDF1,IDP,IDR,dataset,generator,alpha1,seed,candidate_budget_M,benchmark,num_sequences,gt_rows,tracker_rows,selected_count
PARC_a0p1_s0_m150,PARC,success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43020.0,0.0,0.0,0.0,0.0,TAO,GroundingDINO,0.1,0,150,PARC_TAO_GroundingDINO_a0p1_s0_m150,567,43020,0,0
confidence_top_m_a0p1_s0_m150,confidence_top_m,success,0.0369186856931237,0.0377654043822507,0.0096364689456454,0.1415312281309867,0.9499980025047554,0.008135750813575,0.9467666384462612,427.0,14.0,42593.0,63.0,0.0165665769310416,0.8163265306122449,0.00836820083682,TAO,GroundingDINO,0.1,0,150,PARC_TAO_GroundingDINO_a0p1_s0_m150,567,43020,441,150
PARC_a0p1_s1_m150,PARC,success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43088.0,0.0,0.0,0.0,0.0,TAO,GroundingDINO,0.1,1,150,PARC_TAO_GroundingDINO_a0p1_s1_m150,567,43088,0,0
confidence_top_m_a0p1_s1_m150,confidence_top_m,success,0.0341732119823793,0.0348613324443127,0.0087714346649994,0.1333949637185557,0.9499814219389872,0.0068464537690308,0.9485736722290729,389.0,10.0,42699.0,84.0,0.0138892082691379,0.7568922305764411,0.0070089119940586,TAO,GroundingDINO,0.1,1,150,PARC_TAO_GroundingDINO_a0p1_s1_m150,567,43088,399,150
PARC_a0p1_s2_m150,PARC,success,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42962.0,0.0,0.0,0.0,0.0,TAO,GroundingDINO,0.1,2,150,PARC_TAO_GroundingDINO_a0p1_s2_m150,567,42962,0,0
confidence_top_m_a0p1_s2_m150,confidence_top_m,success,0.0382759884092474,0.0392240629123777,0.0101656945781855,0.1442872492112794,0.9498954207130016,0.0085424328476327,0.9488158645140564,448.0,12.0,42514.0,69.0,0.0170881120169499,0.8065217391304348,0.0086355383827568,TAO,GroundingDINO,0.1,2,150,PARC_TAO_GroundingDINO_a0p1_s2_m150,567,42962,460,150
PARC_a0p2_s0_m150,PARC,success,0.0369186856931237,0.0377654043822507,0.0096364689456454,0.1415312281309867,0.9499980025047554,0.008135750813575,0.9467666384462612,427.0,14.0,42593.0,63.0,0.0165665769310416,0.8163265306122449,0.00836820083682,TAO,GroundingDINO,0.2,0,150,PARC_TAO_GroundingDINO_a0p2_s0_m150,567,43020,441,150
confidence_top_m_a0p2_s0_m150,confidence_top_m,success,0.0369186856931237,0.0377654043822507,0.0096364689456454,0.1415312281309867,0.9499980025047554,0.008135750813575,0.9467666384462612,427.0,14.0,42593.0,63.0,0.0165665769310416,0.8163265306122449,0.00836820083682,TAO,GroundingDINO,0.2,0,150,PARC_TAO_GroundingDINO_a0p2_s0_m150,567,43020,441,150
PARC_a0p2_s1_m150,PARC,success,0.0341732119823793,0.0348613324443127,0.0087714346649994,0.1333949637185557,0.9499814219389872,0.0068464537690308,0.9485736722290729,389.0,10.0,42699.0,84.0,0.0138892082691379,0.7568922305764411,0.0070089119940586,TAO,GroundingDINO,0.2,1,150,PARC_TAO_GroundingDINO_a0p2_s1_m150,567,43088,399,150
confidence_top_m_a0p2_s1_m150,confidence_top_m,success,0.0341732119823793,0.0348613324443127,0.0087714346649994,0.1333949637185557,0.9499814219389872,0.0068464537690308,0.9485736722290729,389.0,10.0,42699.0,84.0,0.0138892082691379,0.7568922305764411,0.0070089119940586,TAO,GroundingDINO,0.2,1,150,PARC_TAO_GroundingDINO_a0p2_s1_m150,567,43088,399,150
PARC_a0p2_s2_m150,PARC,success,0.0378493249458068,0.0388032457937856,0.0099443912286792,0.1442195863474674,0.9501012937929548,0.0084726036962897,0.9492726744672773,438.0,11.0,42524.0,63.0,0.0169081569187533,0.8173719376391982,0.0085424328476327,TAO,GroundingDINO,0.2,2,150,PARC_TAO_GroundingDINO_a0p2_s2_m150,567,42962,449,142
confidence_top_m_a0p2_s2_m150,confidence_top_m,success,0.0382759884092474,0.0392240629123777,0.0101656945781855,0.1442872492112794,0.9498954207130016,0.0085424328476327,0.9488158645140564,448.0,12.0,42514.0,69.0,0.0170881120169499,0.8065217391304348,0.0086355383827568,TAO,GroundingDINO,0.2,2,150,PARC_TAO_GroundingDINO_a0p2_s2_m150,567,42962,460,150
