method,alpha1,candidate_budget_M,seeds,nonempty_rate,released_mean,released_std,utr_mean,utr_std,conservative_ftr_mean,conservative_ftr_std,audited_ftr_mean,margin_mean,margin_std
confidence_threshold,0.05,75,3,1.0,75.0,0.0,0.0,0.0,0.9555555555555556,0.007698003589194924,,,
confidence_threshold,0.05,100,3,1.0,100.0,0.0,0.01,0.01,0.9566666666666667,0.0057735026918962545,,,
confidence_threshold,0.05,125,3,1.0,125.0,0.0,0.016,0.013856406460551019,0.9626666666666667,0.009237604307034013,,,
confidence_threshold,0.05,150,3,1.0,150.0,0.0,0.02666666666666663,0.011547005383792514,0.9666666666666668,0.00666666666666671,,,
confidence_threshold,0.05,175,3,1.0,175.0,0.0,0.03428571428571423,0.005714285714285752,0.9676190476190477,0.008728715609439781,,,
confidence_threshold,0.05,200,3,1.0,200.0,0.0,0.035,0.008660254037844387,0.9716666666666667,0.007637626158259704,,,
confidence_threshold,0.05,250,3,1.0,250.0,0.0,0.044000000000000004,0.012000000000000002,0.9746666666666667,0.008326663997864543,,,
confidence_threshold,0.1,75,3,1.0,75.0,0.0,0.0,0.0,0.9555555555555556,0.007698003589194924,,,
confidence_threshold,0.1,100,3,1.0,100.0,0.0,0.01,0.01,0.9566666666666667,0.0057735026918962545,,,
confidence_threshold,0.1,125,3,1.0,125.0,0.0,0.016,0.013856406460551019,0.9626666666666667,0.009237604307034013,,,
confidence_threshold,0.1,150,3,1.0,150.0,0.0,0.02666666666666663,0.011547005383792514,0.9666666666666668,0.00666666666666671,,,
confidence_threshold,0.1,175,3,1.0,175.0,0.0,0.03428571428571423,0.005714285714285752,0.9676190476190477,0.008728715609439781,,,
confidence_threshold,0.1,200,3,1.0,200.0,0.0,0.035,0.008660254037844387,0.9716666666666667,0.007637626158259704,,,
confidence_threshold,0.1,250,3,1.0,250.0,0.0,0.044000000000000004,0.012000000000000002,0.9746666666666667,0.008326663997864543,,,
confidence_threshold,0.2,75,3,1.0,75.0,0.0,0.0,0.0,0.9555555555555556,0.007698003589194924,,,
confidence_threshold,0.2,100,3,1.0,100.0,0.0,0.01,0.01,0.9566666666666667,0.0057735026918962545,,,
confidence_threshold,0.2,125,3,1.0,125.0,0.0,0.016,0.013856406460551019,0.9626666666666667,0.009237604307034013,,,
confidence_threshold,0.2,150,3,1.0,150.0,0.0,0.02666666666666663,0.011547005383792514,0.9666666666666668,0.00666666666666671,,,
confidence_threshold,0.2,175,3,1.0,175.0,0.0,0.03428571428571423,0.005714285714285752,0.9676190476190477,0.008728715609439781,,,
confidence_threshold,0.2,200,3,1.0,200.0,0.0,0.035,0.008660254037844387,0.9716666666666667,0.007637626158259704,,,
confidence_threshold,0.2,250,3,1.0,250.0,0.0,0.044000000000000004,0.012000000000000002,0.9746666666666667,0.008326663997864543,,,
greedy_score_no_risk,0.05,75,3,1.0,75.0,0.0,0.0,0.0,0.9555555555555556,0.007698003589194924,,,
greedy_score_no_risk,0.05,100,3,1.0,100.0,0.0,0.01,0.01,0.9566666666666667,0.0057735026918962545,,,
greedy_score_no_risk,0.05,125,3,1.0,125.0,0.0,0.016,0.013856406460551019,0.9626666666666667,0.009237604307034013,,,
greedy_score_no_risk,0.05,150,3,1.0,150.0,0.0,0.02666666666666663,0.011547005383792514,0.9666666666666668,0.00666666666666671,,,
greedy_score_no_risk,0.05,175,3,1.0,175.0,0.0,0.03428571428571423,0.005714285714285752,0.9676190476190477,0.008728715609439781,,,
greedy_score_no_risk,0.05,200,3,1.0,200.0,0.0,0.035,0.008660254037844387,0.9716666666666667,0.007637626158259704,,,
greedy_score_no_risk,0.05,250,3,1.0,250.0,0.0,0.044000000000000004,0.012000000000000002,0.9746666666666667,0.008326663997864543,,,
greedy_score_no_risk,0.1,75,3,1.0,75.0,0.0,0.0,0.0,0.9555555555555556,0.007698003589194924,,,
greedy_score_no_risk,0.1,100,3,1.0,100.0,0.0,0.01,0.01,0.9566666666666667,0.0057735026918962545,,,
greedy_score_no_risk,0.1,125,3,1.0,125.0,0.0,0.016,0.013856406460551019,0.9626666666666667,0.009237604307034013,,,
greedy_score_no_risk,0.1,150,3,1.0,150.0,0.0,0.02666666666666663,0.011547005383792514,0.9666666666666668,0.00666666666666671,,,
greedy_score_no_risk,0.1,175,3,1.0,175.0,0.0,0.03428571428571423,0.005714285714285752,0.9676190476190477,0.008728715609439781,,,
greedy_score_no_risk,0.1,200,3,1.0,200.0,0.0,0.035,0.008660254037844387,0.9716666666666667,0.007637626158259704,,,
greedy_score_no_risk,0.1,250,3,1.0,250.0,0.0,0.044000000000000004,0.012000000000000002,0.9746666666666667,0.008326663997864543,,,
greedy_score_no_risk,0.2,75,3,1.0,75.0,0.0,0.0,0.0,0.9555555555555556,0.007698003589194924,,,
greedy_score_no_risk,0.2,100,3,1.0,100.0,0.0,0.01,0.01,0.9566666666666667,0.0057735026918962545,,,
greedy_score_no_risk,0.2,125,3,1.0,125.0,0.0,0.016,0.013856406460551019,0.9626666666666667,0.009237604307034013,,,
greedy_score_no_risk,0.2,150,3,1.0,150.0,0.0,0.02666666666666663,0.011547005383792514,0.9666666666666668,0.00666666666666671,,,
greedy_score_no_risk,0.2,175,3,1.0,175.0,0.0,0.03428571428571423,0.005714285714285752,0.9676190476190477,0.008728715609439781,,,
greedy_score_no_risk,0.2,200,3,1.0,200.0,0.0,0.035,0.008660254037844387,0.9716666666666667,0.007637626158259704,,,
greedy_score_no_risk,0.2,250,3,1.0,250.0,0.0,0.044000000000000004,0.012000000000000002,0.9746666666666667,0.008326663997864543,,,
null_superset_no_audit,0.05,75,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.05,100,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.05,125,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.05,150,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.05,175,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.05,200,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.05,250,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.1,75,3,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593119874381354,0.06534203371541997
null_superset_no_audit,0.1,100,3,0.6666666666666666,21.666666666666668,18.823743871327334,0.0,0.0,0.0,0.0,0.0,3.379017408333249,2.150045406382035
null_superset_no_audit,0.1,125,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.1,150,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.1,175,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.1,200,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.1,250,3,0.0,0.0,0.0,0.0,0.0,,,,,
null_superset_no_audit,0.2,75,3,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,5.593119874381354,0.06534203371541984
