method,alpha1,candidate_budget_M,released_mean,utr_mean,conservative_ftr_uncertain_and_unlabeled_false_mean,self_consistency_margin_mean,release_feasible_rate,nonempty_rate
confidence_threshold,0.1,150,150.0,0.042222222222222196,0.042222222222222196,,1.0,1.0
confidence_threshold,0.2,150,150.0,0.042222222222222196,0.042222222222222196,,1.0,1.0
greedy_score_no_risk,0.1,150,150.0,0.042222222222222196,0.042222222222222196,,1.0,1.0
greedy_score_no_risk,0.2,150,150.0,0.042222222222222196,0.042222222222222196,,1.0,1.0
null_superset_no_audit,0.1,150,100.0,0.02666666666666667,0.04,3.940333430298435,1.0,0.6666666666666666
null_superset_no_audit,0.2,150,150.0,0.042222222222222196,0.042222222222222196,6.934408113548997,1.0,1.0
parc_track_gamma_tuned_uniform_scs,0.1,150,100.0,0.02666666666666667,0.04,3.940333430298435,1.0,0.6666666666666666
parc_track_gamma_tuned_uniform_scs,0.2,150,150.0,0.042222222222222196,0.042222222222222196,6.934408113548997,1.0,1.0
post_filter_e_bh,0.1,150,100.0,0.02666666666666667,0.04,3.940333430298436,1.0,0.6666666666666666
post_filter_e_bh,0.2,150,150.0,0.042222222222222196,0.042222222222222196,6.934408113548998,1.0,1.0
tracklet_e_bh,0.1,150,150.0,0.042222222222222196,0.042222222222222196,7.838589424362813,1.0,1.0
tracklet_e_bh,0.2,150,150.0,0.042222222222222196,0.042222222222222196,12.838589424362814,1.0,1.0
tracklet_p_bh,0.1,150,150.0,0.042222222222222196,0.042222222222222196,,1.0,1.0
tracklet_p_bh,0.2,150,150.0,0.042222222222222196,0.042222222222222196,,1.0,1.0
unmatched_as_false_block,0.1,150,0.0,0.0,,,1.0,0.0
unmatched_as_false_block,0.2,150,150.0,0.042222222222222196,0.042222222222222196,1.4378174310552032,1.0,1.0
