cv_id,dataset,video_id,path_id,query,category_id,query_segment,audit_source,first_rater_label,first_rater_reason,first_rater,first_rater_confidence,first_review_status,first_verified_positive_for_calibration,score,cv_montage_path
burst_cv60_001,BURST,2915,ovtb_v2915_p003406,book,126,head,high_score_unmatched,actually_false,wrong_category,codex_visual_audit_v1,high,model_assisted_visual_audit,no,0.5190004222095013,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_001_067_ovtb_v2915_p003406.jpg
burst_cv60_002,BURST,2952,ovtb_v2952_p003436,camera,191,head,high_score_unmatched,actually_false,wrong_category,codex_visual_audit_v1,high,model_assisted_visual_audit,no,0.3521339148283005,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_002_197_ovtb_v2952_p003436.jpg
burst_cv60_003,BURST,2738,ovtb_v2738_p003416,vacuum cleaner,1160,mid,high_score_unmatched,actually_false,wrong_category,codex_visual_audit_v1,high,model_assisted_visual_audit,no,0.5319700390100479,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_003_055_ovtb_v2738_p003416.jpg
burst_cv60_004,BURST,2953,ovtb_v2953_p003731,vacuum cleaner,1160,mid,high_score_unmatched,actually_false,wrong_category,codex_visual_audit_v1,high,model_assisted_visual_audit,no,0.4955558627843857,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_004_083_ovtb_v2953_p003731.jpg
burst_cv60_005,BURST,2335,ovtb_v2335_p002971,calf,188,mid,high_score_unmatched,actually_false,wrong_category,codex_visual_audit_v1,high,model_assisted_visual_audit,no,0.4009360671043396,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_005_145_ovtb_v2335_p002971.jpg
burst_cv60_006,BURST,1496,ovtb_v1496_p002020,telephone,1092,tail,high_score_unmatched,actually_false,wrong_category,codex_visual_audit_v1,high,model_assisted_visual_audit,no,0.5436848700046539,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_006_049_ovtb_v1496_p002020.jpg
burst_cv60_007,BURST,2019,ovtb_v2019_p002754,bottle,133,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.6777148991823196,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_007_018_ovtb_v2019_p002754.jpg
burst_cv60_008,BURST,1873,ovtb_v1873_p002238,zebra,1229,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.639043428003788,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_008_027_ovtb_v1873_p002238.jpg
burst_cv60_009,BURST,2331,ovtb_v2331_p002749,turtle,1152,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.5204981416463852,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_009_064_ovtb_v2331_p002749.jpg
burst_cv60_010,BURST,823,ovtb_v823_p001124,truck,1144,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4995153099298477,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_010_080_ovtb_v823_p001124.jpg
burst_cv60_011,BURST,1141,ovtb_v1141_p001466,toy,1130,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4881759285926819,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_011_087_ovtb_v1141_p001466.jpg
burst_cv60_012,BURST,45,ovtb_v45_p000091,toy,1130,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.450623407959938,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_012_109_ovtb_v45_p000091.jpg
burst_cv60_013,BURST,2933,ovtb_v2933_p003698,blanket,110,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4372798353433609,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_013_117_ovtb_v2933_p003698.jpg
burst_cv60_014,BURST,1141,ovtb_v1141_p001474,toy,1130,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4067495167255401,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_014_139_ovtb_v1141_p001474.jpg
burst_cv60_015,BURST,2952,ovtb_v2952_p003438,camera,191,head,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3506360054016113,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_015_198_ovtb_v2952_p003438.jpg
burst_cv60_016,BURST,277,ovtb_v277_p000487,water scooter,1191,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.595512330532074,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_016_035_ovtb_v277_p000487.jpg
burst_cv60_017,BURST,2893,ovtb_v2893_p003561,chair,237,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4937017932534218,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_017_084_ovtb_v2893_p003561.jpg
burst_cv60_018,BURST,2311,ovtb_v2311_p002930,canoe,204,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4392708837985992,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_018_115_ovtb_v2311_p002930.jpg
burst_cv60_019,BURST,337,ovtb_v337_p000584,sweater,1062,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3995127294744764,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_019_147_ovtb_v337_p000584.jpg
burst_cv60_020,BURST,1210,ovtb_v1210_p001564,chair,237,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3793749064207077,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_020_174_ovtb_v1210_p001564.jpg
burst_cv60_021,BURST,2317,ovtb_v2317_p002998,squirrel,1021,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3788248797257741,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_021_175_ovtb_v2317_p002998.jpg
burst_cv60_022,BURST,2793,ovtb_v2793_p003454,chair,237,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3624988297621409,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_022_188_ovtb_v2793_p003454.jpg
burst_cv60_023,BURST,54,ovtb_v54_p000076,spoon,1018,mid,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3611983805894851,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_023_189_ovtb_v54_p000076.jpg
burst_cv60_024,BURST,1605,ovtb_v1605_p001994,sugar bowl,1050,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.5262871235609055,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_024_060_ovtb_v1605_p001994.jpg
burst_cv60_025,BURST,1067,ovtb_v1067_p001280,walking stick,1175,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4547874629497528,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_025_105_ovtb_v1067_p001280.jpg
burst_cv60_026,BURST,1067,ovtb_v1067_p001279,walking stick,1175,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4535814374685287,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_026_106_ovtb_v1067_p001279.jpg
burst_cv60_027,BURST,2337,ovtb_v2337_p003021,toothpaste,1123,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4532018701235453,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_027_107_ovtb_v2337_p003021.jpg
burst_cv60_028,BURST,1605,ovtb_v1605_p001998,sugar bowl,1050,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4442058602968852,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_028_112_ovtb_v1605_p001998.jpg
burst_cv60_029,BURST,2337,ovtb_v2337_p003020,toothpaste,1123,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.4147460162639618,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_029_131_ovtb_v2337_p003020.jpg
burst_cv60_030,BURST,202,ovtb_v202_p000363,sword,1066,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3912662640213966,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_030_160_ovtb_v202_p000363.jpg
burst_cv60_031,BURST,422,ovtb_v422_p000750,bottle cap,208,tail,high_score_unmatched,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes,0.3642435610294342,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_031_185_ovtb_v422_p000750.jpg
burst_cv60_032,BURST,1443,ovtb_v1443_p001783,cellular telephone,235,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.6364340782165527,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_032_028_ovtb_v1443_p001783.jpg
burst_cv60_033,BURST,1007,ovtb_v1007_p001390,cellular telephone,235,head,high_score_unmatched,uncertain,too_small_or_blurry,codex_visual_audit_v1,medium,model_assisted_visual_audit,no,0.5287090092897415,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_033_058_ovtb_v1007_p001390.jpg
