dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source
OVIS,1897,ovtb_v1897_p000105,test,person,669,0.907977283000946,0.907977283000946,0.907977283000946,1,0.0,380,380,1,1,False,13051.0,0.955037799621761,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1897,ovtb_v1897_p000108,test,person,669,0.8987218737602234,0.8987218737602234,0.8987218737602234,1,0.0,443,443,1,2,False,13051.0,0.9860488319270636,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1897,ovtb_v1897_p000106,test,person,669,0.885025680065155,0.885025680065155,0.885025680065155,1,0.0,380,380,1,3,False,13048.0,0.9945013151318852,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1896,ovtb_v1896_p000089,cal,person,669,0.8791868686676025,0.8791868686676025,0.8791868686676025,2,0.5,0,44,2,4,False,13045.0,0.946296081565123,1.0,2,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1897,ovtb_v1897_p000098,test,person,669,0.8707273602485657,0.8707273602485657,0.8707273602485657,1,0.0,0,0,1,5,False,13049.0,0.92728935326165,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1905,ovtb_v1905_p000225,cal,poultry,716,0.8424594402313232,0.8424594402313232,0.8424594402313232,1,0.0,28,28,1,6,False,13111.0,0.9397533657535936,1.0,1,True,False,,no,cat:716,unknown,poultry,unknown,global,0,final_score_proxy
OVIS,1905,ovtb_v1905_p000222,cal,poultry,716,0.8400874137878418,0.8400874137878418,0.8400874137878418,1,0.0,22,22,1,7,False,13111.0,0.9294500456732246,1.0,1,True,False,,no,cat:716,unknown,poultry,unknown,global,0,final_score_proxy
OVIS,1909,ovtb_v1909_p000261,cal,person,669,0.8321701288223267,0.8321701288223267,0.8321701288223267,1,0.0,103,103,1,8,False,13125.0,0.8975190304539684,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1897,ovtb_v1897_p000100,test,person,669,0.8216454982757568,0.8216454982757568,0.8216454982757568,1,0.0,63,63,1,9,False,13049.0,0.9517130737614304,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1905,ovtb_v1905_p000219,cal,poultry,716,0.8184713323911031,0.8184713323911031,0.8184713323911031,3,0.6666666666666666,6,17,3,10,False,13111.0,0.9533816593323344,1.0,3,True,False,,no,cat:716,unknown,poultry,unknown,global,0,final_score_proxy
OVIS,1897,ovtb_v1897_p000103,test,person,669,0.8174057006835938,0.8174057006835938,0.8174057006835938,1,0.0,253,253,1,11,False,13048.0,0.9712229321781388,1.0,1,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1911,ovtb_v1911_p000269,cal,cow,251,0.8134701997041702,0.8134701997041702,0.8134701997041702,8,0.875,0,33,8,12,False,13130.0,0.993590138522674,1.0,8,True,False,,no,cat:251,unknown,cow,unknown,global,0,final_score_proxy
OVIS,1910,ovtb_v1910_p000268,test,person,669,0.8103326857089996,0.8103326857089996,0.8103326857089996,2,0.5,33,77,2,13,False,13128.0,0.9871664750291704,1.0,2,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVIS,1901,ovtb_v1901_p000153,cal,poultry,716,0.8027355472246805,0.8027355472246805,0.8027355472246805,3,0.6666666666666666,0,22,3,14,False,13080.0,0.9906443465828751,1.0,3,True,False,,no,cat:716,unknown,poultry,unknown,global,0,final_score_proxy
OVIS,1905,ovtb_v1905_p000227,cal,poultry,716,0.8026454448699951,0.8026454448699951,0.8026454448699951,1,0.0,33,33,1,15,False,13111.0,0.9219295547091284,1.0,1,True,False,,no,cat:716,unknown,poultry,unknown,global,0,final_score_proxy
OVIS,1903,ovtb_v1903_p000190,test,poultry,716,0.7961781620979309,0.7961781620979309,0.7961781620979309,2,0.5,12,23,2,16,False,13096.0,0.9876108725355068,1.0,2,True,False,,no,cat:716,unknown,poultry,unknown,global,0,final_score_proxy
OVIS,1905,ovtb_v1905_p000213,cal,poultry,716,0.7851558526357015,0.7851558526357015,0.7851558526357015,6,0.8333333333333334,0,28,6,17,False,13106.0,0.9602275835814508,1.0,6,True,False,,no,cat:716,unknown,poultry,unknown,global,0,final_score_proxy
