method,alpha1,candidate_budget_M,released,utr,conservative_ftr,margin,nonempty_rate
confidence_threshold,0.05,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
confidence_threshold,0.05,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
confidence_threshold,0.05,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
confidence_threshold,0.05,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
confidence_threshold,0.05,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
confidence_threshold,0.05,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
confidence_threshold,0.05,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
confidence_threshold,0.1,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
confidence_threshold,0.1,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
confidence_threshold,0.1,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
confidence_threshold,0.1,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
confidence_threshold,0.1,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
confidence_threshold,0.1,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
confidence_threshold,0.1,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
confidence_threshold,0.2,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
confidence_threshold,0.2,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
confidence_threshold,0.2,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
confidence_threshold,0.2,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
confidence_threshold,0.2,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
confidence_threshold,0.2,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
confidence_threshold,0.2,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
greedy_score_no_risk,0.05,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
greedy_score_no_risk,0.05,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
greedy_score_no_risk,0.05,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
greedy_score_no_risk,0.05,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
greedy_score_no_risk,0.05,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
greedy_score_no_risk,0.05,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
greedy_score_no_risk,0.05,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
greedy_score_no_risk,0.1,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
greedy_score_no_risk,0.1,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
greedy_score_no_risk,0.1,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
greedy_score_no_risk,0.1,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
greedy_score_no_risk,0.1,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
greedy_score_no_risk,0.1,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
greedy_score_no_risk,0.1,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
greedy_score_no_risk,0.2,75,75 ± 0,0.02667 ± 0.02667,0.9733 ± 0.02667,,1.000
greedy_score_no_risk,0.2,100,100 ± 0,0.04333 ± 0.04041,0.9567 ± 0.04041,,1.000
greedy_score_no_risk,0.2,125,125 ± 0,0.05067 ± 0.03781,0.96 ± 0.03666,,1.000
greedy_score_no_risk,0.2,150,150 ± 0,0.04444 ± 0.03289,0.9578 ± 0.03791,,1.000
greedy_score_no_risk,0.2,175,175 ± 0,0.04381 ± 0.02819,0.9638 ± 0.03249,,1.000
greedy_score_no_risk,0.2,200,200 ± 0,0.04 ± 0.02598,0.9667 ± 0.02566,,1.000
greedy_score_no_risk,0.2,250,250 ± 0,0.04667 ± 0.01007,0.9733 ± 0.02053,,1.000
null_superset_no_audit,0.05,75,25 ± 43.3,0.01778 ± 0.03079,0 ± 0,1.824 ± 0,0.333
null_superset_no_audit,0.05,100,33.33 ± 57.74,0.02667 ± 0.04619,0 ± 0,1.824 ± 0,0.333
null_superset_no_audit,0.05,125,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,150,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,175,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,200,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.05,250,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.1,75,38 ± 37.51,0.02632 ± 0.02667,0 ± 0,6.842 ± 7.045,0.667
null_superset_no_audit,0.1,100,33.33 ± 57.74,0.02667 ± 0.04619,0 ± 0,11.82 ± 0,0.333
null_superset_no_audit,0.1,125,41.67 ± 72.17,0.02667 ± 0.04619,0.008 ± 0,2.285 ± 0,0.333
null_superset_no_audit,0.1,150,42 ± 72.75,0.02646 ± 0.04582,0.007937 ± 0,0.3799 ± 0,0.333
null_superset_no_audit,0.1,175,35.33 ± 61.2,0.02516 ± 0.04357,0 ± 0,5.314 ± 0,0.333
null_superset_no_audit,0.1,200,35.33 ± 61.2,0.02516 ± 0.04357,0 ± 0,2.956 ± 0,0.333
null_superset_no_audit,0.1,250,0 ± 0,0 ± 0,,,0.000
null_superset_no_audit,0.2,75,75 ± 0,0.02667 ± 0.02667,0 ± 0,7.359 ± 8.243,1.000
null_superset_no_audit,0.2,100,100 ± 0,0.04333 ± 0.04041,0 ± 0,6.759 ± 8.717,1.000
null_superset_no_audit,0.2,125,116.7 ± 14.43,0.048 ± 0.04233,0.008 ± 0.008,2.786 ± 3.896,1.000
null_superset_no_audit,0.2,150,100 ± 86.6,0.04222 ± 0.03672,0.01333 ± 0.009428,2.171 ± 2.271,0.667
null_superset_no_audit,0.2,175,111 ± 96.5,0.03994 ± 0.03471,0.01521 ± 0.005345,0.9712 ± 1.335,0.667
null_superset_no_audit,0.2,200,66.67 ± 115.5,0.01833 ± 0.03175,0.01 ± 0,1.915 ± 0,0.333
null_superset_no_audit,0.2,250,83.33 ± 144.3,0.01867 ± 0.03233,0.02 ± 0,0.7472 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.05,75,25 ± 43.3,0.01778 ± 0.03079,0 ± 0,1.144 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.05,100,33.33 ± 57.74,0.02667 ± 0.04619,0 ± 0,1.144 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.05,125,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,150,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,175,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,200,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.05,250,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.1,75,38 ± 37.51,0.02632 ± 0.02667,0 ± 0,6.161 ± 7.048,0.667
parc_track_gamma_tuned_uniform_scs,0.1,100,33.33 ± 57.74,0.02667 ± 0.04619,0 ± 0,11.14 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.1,125,41.67 ± 72.17,0.02667 ± 0.04619,0.008 ± 0,1.911 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.1,150,42 ± 72.75,0.02646 ± 0.04582,0.007937 ± 0,0.006638 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.1,175,35.33 ± 61.2,0.02516 ± 0.04357,0 ± 0,4.635 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.1,200,35.33 ± 61.2,0.02516 ± 0.04357,0 ± 0,2.276 ± 0,0.333
parc_track_gamma_tuned_uniform_scs,0.1,250,0 ± 0,0 ± 0,,,0.000
parc_track_gamma_tuned_uniform_scs,0.2,75,75 ± 0,0.02667 ± 0.02667,0 ± 0,6.986 ± 7.974,1.000
parc_track_gamma_tuned_uniform_scs,0.2,100,100 ± 0,0.04333 ± 0.04041,0 ± 0,6.405 ± 8.434,1.000
parc_track_gamma_tuned_uniform_scs,0.2,125,116.7 ± 14.43,0.048 ± 0.04233,0.008 ± 0.008,2.547 ± 3.78,1.000
