alpha1,seed,method,candidate_budget_M,n_cal_total,n_covered,n_rank_denominator,p_min_effective,gamma,gamma_star_eff,emax_effective,max_observed_e,best_margin,empty_diagnostic
0.05,0,unmatched_as_false_block,75,498.0,346.0,346.0,0.0028818443804034,0.5,0.1709599035136983,9.313968005098578,9.313968005098578,-10.686031994901422,resolution_below_required_emax
0.05,0,unmatched_as_false_block,100,498.0,346.0,346.0,0.0028818443804034,0.5,0.1709599035136983,9.313968005098578,9.313968005098578,-10.686031994901422,resolution_below_required_emax
0.05,0,unmatched_as_false_block,125,498.0,346.0,346.0,0.0028818443804034,0.5,0.1709599035136983,9.313968005098578,9.313968005098578,-13.414030063840254,resolution_below_required_emax
0.05,0,unmatched_as_false_block,150,498.0,346.0,346.0,0.0028818443804034,0.5,0.1709599035136983,9.313968005098578,9.313968005098578,-14.622578065032773,resolution_below_required_emax
0.05,0,unmatched_as_false_block,175,498.0,346.0,346.0,0.0028818443804034,0.5,0.1709599035136983,9.313968005098578,9.313968005098578,-15.34301599745071,resolution_below_required_emax
0.05,0,unmatched_as_false_block,200,498.0,346.0,346.0,0.0028818443804034,0.5,0.1709599035136983,9.313968005098578,9.313968005098578,-15.34301599745071,resolution_below_required_emax
0.05,0,unmatched_as_false_block,250,498.0,346.0,346.0,0.0028818443804034,0.5,0.1709599035136983,9.313968005098578,9.313968005098578,-15.42333728259127,resolution_below_required_emax
0.05,0,null_superset_no_audit,125,498.0,346.0,346.0,0.0028818443804034,0.1709599035136983,0.1709599035136983,21.82374391726804,21.82374391726804,-1.7611617431093194,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,150,498.0,346.0,346.0,0.0028818443804034,0.1709599035136983,0.1709599035136983,21.82374391726804,21.82374391726804,-6.478142875184791,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,175,498.0,346.0,346.0,0.0028818443804034,0.1709599035136983,0.1709599035136983,21.82374391726804,21.82374391726804,-11.195124007260258,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,200,498.0,346.0,346.0,0.0028818443804034,0.1709599035136983,0.1709599035136983,21.82374391726804,21.82374391726804,-13.084917216042005,insufficient_high_e_mass_for_uniform_scs
0.05,0,null_superset_no_audit,250,498.0,346.0,346.0,0.0028818443804034,0.1709599035136983,0.1709599035136983,21.82374391726804,21.82374391726804,-13.165238501182564,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,125,498.0,333.0,333.0,0.0029940119760479,0.1720832451335447,0.1720832451335447,21.14416661026871,21.14416661026871,-2.440739050108647,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,150,498.0,333.0,333.0,0.0029940119760479,0.1720832451335447,0.1720832451335447,21.14416661026871,21.14416661026871,-7.157720182184118,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,175,498.0,333.0,333.0,0.0029940119760479,0.1720832451335447,0.1720832451335447,21.14416661026871,21.14416661026871,-11.874701314259584,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,200,498.0,333.0,333.0,0.0029940119760479,0.1720832451335447,0.1720832451335447,21.14416661026871,21.14416661026871,-13.28980690134544,insufficient_high_e_mass_for_uniform_scs
0.05,0,parc_track_gamma_tuned_uniform_scs,250,498.0,333.0,333.0,0.0029940119760479,0.1720832451335447,0.1720832451335447,21.14416661026871,21.14416661026871,-13.370128186486,insufficient_high_e_mass_for_uniform_scs
0.05,0,tracklet_e_bh,75,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,100,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,125,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,125,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,150,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,150,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,175,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,175,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,200,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,200,,,,,,,,,,baseline_selected_empty
0.05,0,tracklet_e_bh,250,,,,,,,,,,baseline_selected_empty
0.05,0,post_filter_e_bh,250,,,,,,,,,,baseline_selected_empty
0.05,1,unmatched_as_false_block,75,498.0,332.0,332.0,0.003003003003003,0.5,0.1721720845735255,9.12414379544733,9.12414379544733,-14.73217312357363,resolution_below_required_emax
0.05,1,unmatched_as_false_block,100,498.0,332.0,332.0,0.003003003003003,0.5,0.1721720845735255,9.12414379544733,9.12414379544733,-15.437928102276334,resolution_below_required_emax
0.05,1,unmatched_as_false_block,125,498.0,332.0,332.0,0.003003003003003,0.5,0.1721720845735255,9.12414379544733,9.12414379544733,-15.919558847379369,resolution_below_required_emax
0.05,1,unmatched_as_false_block,150,498.0,332.0,332.0,0.003003003003003,0.5,0.1721720845735255,9.12414379544733,9.12414379544733,-15.919558847379369,resolution_below_required_emax
0.05,1,unmatched_as_false_block,175,498.0,332.0,332.0,0.003003003003003,0.5,0.1721720845735255,9.12414379544733,9.12414379544733,-16.275083893562165,resolution_below_required_emax
