method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,9.313968005098578,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,75.0,20.0,-10.686031994901422,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,9.313968005098578,100,100.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,100.0,20.0,-10.686031994901422,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,8.899312298619876,125,125.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,125.0,20.0,-13.414030063840254,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,8.320387558019052,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,150.0,20.0,-14.622578065032773,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,7.809394557507678,175,175.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,175.0,20.0,-15.34301599745071,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,7.41534323813788,200,200.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,200.0,20.0,-15.34301599745071,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,6.861704787489692,250,250.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,249.0,20.08032128514056,-15.42333728259127,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.1709599035136983,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,29.493601004141784,21.82374391726804,20.0,True,21.82374391726804,21.82374391726804,75,75.0,0.0,75,71,4,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0533333333333333,0.0,0.0,0.0,1.0,0.0,1216.0,20.0,1.823743917268036,75.0,20.0,1.823743917268036,21.82374391726804,21.82374391726804,21.82374391726804,,,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.1709599035136983,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,29.493601004141784,21.82374391726804,20.0,True,21.82374391726804,21.823743917268036,100,100.0,0.0,100,92,8,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.08,0.0,0.0,0.0,1.0,0.0,1216.0,20.0,1.823743917268036,100.0,20.0,1.823743917268036,21.82374391726804,21.823743917268036,21.82374391726804,,,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.1709599035136983,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,29.493601004141784,21.82374391726804,20.0,True,21.82374391726804,20.37380393224653,125,125.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,106.0,23.584905660377355,-1.7611617431093194,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,
