method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,selection_protocol,selected_M,selected_M_by_tune,selection_metric,selection_status,tune_released,tune_margin,tune_tau,tune_max_e,tune_video_count,tune_internal_cal_videos,tune_internal_val_videos
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.5,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,11.169153951844516,9.313968005098578,20.0,True,9.313968005098578,8.320387558019052,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,150.0,20.0,-14.622578065032773,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,2.958039891549808,100.0,50.0,50.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,498.0,346.0,152.0,346.0,346.0,346.0,152.0,0.0,0.1709599035136983,0.1709599035136983,0.002004008016032,0.0028818443804034,0.0028818443804034,29.493601004141784,21.82374391726804,20.0,True,21.82374391726804,18.464486362252853,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1216.0,,,106.0,28.301886792452827,-6.478142875184791,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,3.621524592899221,100.0,50.0,50.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,498.0,333.0,165.0,333.0,333.0,333.0,165.0,0.0,0.1720832451335447,0.1720832451335447,0.002004008016032,0.0029940119760479,0.0029940119760479,29.48093378850489,21.14416661026871,20.0,True,21.14416661026871,17.892430596632725,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,55.0,1161.0,,,106.0,28.301886792452827,-7.157720182184118,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,3.472042129251371,100.0,50.0,50.0
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,140,10,,,,,,,,,0.0666666666666666,0.0,,0.9266666666666666,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001425450900569,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,140,10,,,,,,,,,0.0666666666666666,0.0,,0.9266666666666666,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001348499208688,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0002758610062301,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0002417690120637,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,140,10,,,,,,,,,0.0666666666666666,0.0,,0.9266666666666666,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001101099187508,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,498.0,332.0,166.0,332.0,332.0,332.0,166.0,0.0,0.5,0.1721720845735255,0.002004008016032,0.003003003003003,0.003003003003003,11.169153951844516,9.12414379544733,20.0,True,9.12414379544733,5.915756454388951,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1090.0,,,150.0,20.0,-15.919558847379369,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,2.958039891549808,100.0,50.0,50.0
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,498.0,332.0,166.0,332.0,332.0,332.0,166.0,0.0,0.1721720845735255,0.1721720845735255,0.002004008016032,0.003003003003003,0.003003003003003,29.47987841501076,21.09174389599088,20.0,True,21.09174389599088,10.916368504854846,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1090.0,,,150.0,20.0,-14.434738090613315,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,3.621524592899221,100.0,50.0,50.0
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,498.0,319.0,179.0,319.0,319.0,319.0,179.0,0.0,0.1733606712818504,0.1733606712818504,0.002004008016032,0.003125,0.003125,29.465010746333103,20.408264599127435,20.0,True,20.408264599127435,10.570359459477736,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,71.0,1019.0,,,150.0,20.0,-14.604769779873228,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,,tune_fallback_M,150,150,feasible_first_release_max,no_feasible_M_on_tune_fallback,0,-inf,inf,3.546971704258885,100.0,50.0,50.0
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,141,9,,,,,,,,,0.06,0.0,,0.9466666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001309629296883,score_threshold_from_calibration_null_quantile,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,141,9,,,,,,,,,0.06,0.0,,0.9466666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001295710681006,tracklet_level_p_bh,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0002708920510485,tracklet_level_e_self_consistency,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0002370529109612,block_evalue_post_filter,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,141,9,,,,,,,,,0.06,0.0,,0.9466666666666668,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001101039815694,top_m_by_score_no_risk_control,tune_fallback_M,150,150,shared_parc_feasible_first_release_max,shared_from_parc_full:no_feasible_M_on_tune_fallback,0,-inf,,,,,
