candidate_rank,selected_order,selected_for_kappa083_review,target_file,boundary_sample_id,dataset,video_id,path_id,pending_montage_path,hard_score,primary_label,primary_verified_positive_for_calibration,primary_reason,primary_confidence,candidate_second_reviewer_label,candidate_second_reviewer_verified_positive_for_calibration,candidate_second_reviewer_reason,candidate_second_reviewer_confidence,human_review_decision,human_review_notes
1,1,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0387,BURST,642,ovtb_v642_p001164,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v642_p001164.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
2,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0119,BURST,642,ovtb_v642_p001166,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v642_p001166.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
3,2,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0379,BURST,1169,ovtb_v1169_p001488,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1169_p001488.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
4,3,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0091,BURST,1207,ovtb_v1207_p001561,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v1207_p001561.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
5,4,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0220,BURST,2177,ovtb_v2177_p002805,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2177_p002805.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
6,5,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0167,BURST,2232,ovtb_v2232_p002645,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2232_p002645.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
7,6,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0352,BURST,2784,ovtb_v2784_p003451,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2784_p003451.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
8,7,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0382,BURST,2820,ovtb_v2820_p003578,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/burst_ovtb_v2820_p003578.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
9,8,yes,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0403,OVT-B,13,ovtb_v13_p000590,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v13_p000590.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
10,,no,boundary_challenge/audit_boundary_challenge_500_ai_prefill_for_human_review.csv,boundary_0005,OVT-B,13,ovtb_v13_p000623,${PARC_TRACK_ROOT}/outputs/phase9_audit_benchmark/pending_montages/ovtb_ovtb_v13_p000623.jpg,13,actually_true,no,user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,uncertain,no,ai_prefill_from_existing_audit_for_human_review:user_second_review_upgraded_from_uncertain_to_actual_true_nonverified,medium,,
