case_type,dataset,video_id,path_id,query,score,label,verified_positive_for_calibration,rationale,visual_asset_ref,visual_asset_status,paper_use,gallery,asset_policy
official_matched_positive,OVT-B,800,ovtb_v800_p007871,woodpecker,0.9352359622716904,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v800_p007871.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
PARC_certified_release,OVT-B,800,ovtb_v800_p007871,woodpecker,0.9352359622716904,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v800_p007871.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
PARC_certified_release,OVT-B,342,ovtb_v342_p004580,sunglasses,0.9201071858406068,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004580.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
official_matched_positive,OVT-B,342,ovtb_v342_p004580,sunglasses,0.9201071858406068,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004580.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
official_matched_positive,OVT-B,179,ovtb_v179_p003418,person,0.9143435582518578,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v179_p003418.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
PARC_certified_release,OVT-B,179,ovtb_v179_p003418,person,0.9143435582518578,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v179_p003418.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
PARC_certified_release,OVT-B,342,ovtb_v342_p004579,sunglasses,0.9125274845532008,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004579.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
official_matched_positive,OVT-B,342,ovtb_v342_p004579,sunglasses,0.9125274845532008,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004579.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
PARC_certified_release,OVT-B,678,ovtb_v678_p006989,person,0.9092995268957956,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v678_p006989.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
official_matched_positive,OVT-B,678,ovtb_v678_p006989,person,0.9092995268957956,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v678_p006989.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
official_matched_positive,OVT-B,827,ovtb_v827_p008082,coffee maker,0.9070333689451218,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v827_p008082.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
PARC_certified_release,OVT-B,827,ovtb_v827_p008082,coffee maker,0.9070333689451218,certified_release,,candidate selected by self-consistent certified release,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v827_p008082.jpg,public_manifest_reference,qualitative_candidate_pool,released_examples,public_manifest_reference_only_no_raw_image_packaging
