source_pair,match_basis,model,score_direction,bin_family,score_bin,rank_start_inclusive,rank_stop_inclusive,n,discordant_n,discordance_rate,wilson95_low,wilson95_high,baseline_discordance,enrichment_vs_baseline,paper_role
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_1,1,28,28,5,0.17857142857142858,0.07878501945604277,0.35591424789342946,0.10801393728222997,1.653225806451613,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_2,29,57,29,1,0.034482758620689655,0.006113214292762667,0.17175521879320288,0.10801393728222997,0.3192436040044494,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_3,58,86,29,3,0.10344827586206896,0.03581489135067707,0.26385081090773804,0.10801393728222997,0.9577308120133482,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_4,87,114,28,2,0.07142857142857142,0.01981206411530574,0.22645362568399052,0.10801393728222997,0.6612903225806451,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_5,115,143,29,6,0.20689655172413793,0.09846070197841039,0.38390090403867905,0.10801393728222997,1.9154616240266964,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_6,144,172,29,2,0.06896551724137931,0.019121266169433354,0.21964580150275695,0.10801393728222997,0.6384872080088988,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_7,173,200,28,3,0.10714285714285714,0.03711836682929999,0.27195851548672156,0.10801393728222997,0.9919354838709676,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_8,201,229,29,1,0.034482758620689655,0.006113214292762667,0.17175521879320288,0.10801393728222997,0.3192436040044494,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_9,230,258,29,4,0.13793103448275862,0.05497439964111964,0.30558993720352023,0.10801393728222997,1.2769744160177976,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,decile,decile_10,259,287,29,4,0.13793103448275862,0.05497439964111964,0.30558993720352023,0.10801393728222997,1.2769744160177976,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_1,1,28,28,3,0.10714285714285714,0.03711836682929999,0.27195851548672156,0.10801393728222997,0.9919354838709676,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_2,29,57,29,4,0.13793103448275862,0.05497439964111964,0.30558993720352023,0.10801393728222997,1.2769744160177976,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_3,58,86,29,2,0.06896551724137931,0.019121266169433354,0.21964580150275695,0.10801393728222997,0.6384872080088988,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_4,87,114,28,2,0.07142857142857142,0.01981206411530574,0.22645362568399052,0.10801393728222997,0.6612903225806451,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_5,115,143,29,5,0.1724137931034483,0.0759785725289123,0.34548439890195237,0.10801393728222997,1.596218020022247,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,decile,decile_6,144,172,29,2,0.06896551724137931,0.019121266169433354,0.21964580150275695,0.10801393728222997,0.6384872080088988,selection_conditional_go_no_go_diagnostic
