source_pair,match_basis,model,score_direction,bin_family,score_bin,rank_start_inclusive,rank_stop_inclusive,n,discordant_n,discordance_rate,wilson95_low,wilson95_high,baseline_discordance,enrichment_vs_baseline,paper_role
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,coarse,top_10pct,1,29,29,5,0.1724137931034483,0.0759785725289123,0.34548439890195237,0.10801393728222997,1.596218020022247,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,coarse,top_10_to_25pct,30,72,43,2,0.046511627906976744,0.012849260094380227,0.15455498004063967,0.10801393728222997,0.43060765191297823,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,coarse,top_25_to_50pct,73,144,72,10,0.1388888888888889,0.0772273077029898,0.23713187250556306,0.10801393728222997,1.2858422939068102,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,ALIGNN-FF,lower_score_more_stable,coarse,bottom_50pct,145,287,143,14,0.0979020979020979,0.059216706501884465,0.15762572394260768,0.10801393728222997,0.9063839386420032,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,coarse,top_10pct,1,29,29,3,0.10344827586206896,0.03581489135067707,0.26385081090773804,0.10801393728222997,0.9577308120133482,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,coarse,top_10_to_25pct,30,72,43,4,0.09302325581395349,0.036771640631712774,0.21602703641253584,0.10801393728222997,0.8612153038259565,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,coarse,top_25_to_50pct,73,144,72,9,0.125,0.06717784220573504,0.22081053724160832,0.10801393728222997,1.157258064516129,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,CHGNet,lower_score_more_stable,coarse,bottom_50pct,145,287,143,15,0.1048951048951049,0.06460411837776037,0.16585844371117542,0.10801393728222997,0.9711256485450034,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,coarse,top_10pct,1,29,29,3,0.10344827586206896,0.03581489135067707,0.26385081090773804,0.10801393728222997,0.9577308120133482,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,coarse,top_10_to_25pct,30,72,43,5,0.11627906976744186,0.05070427739804166,0.24479161810082128,0.10801393728222997,1.0765191297824457,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,coarse,top_25_to_50pct,73,144,72,6,0.08333333333333333,0.038752424956949666,0.17012355220676517,0.10801393728222997,0.771505376344086,selection_conditional_go_no_go_diagnostic
Materials_Project_vs_alex_mp_v20,strict_structure_match,MACE-MP,lower_score_more_stable,coarse,bottom_50pct,145,287,143,17,0.11888111888111888,0.07556270475062815,0.18214012062719487,0.10801393728222997,1.100609068351004,selection_conditional_go_no_go_diagnostic
