material_id,formula,mp_e_above_hull,alex_e_above_hull,mp_stable_exact,alex_stable_exact,discordant,score_alignn_ff,score_chgnet,score_mace_mp
mp-1000,BaTe,0.0,0.0,True,True,False,-2.4772047996521,-4.4852375984191895,-4.294638633728027
mp-10000,Hf2S,0.0,0.0,True,True,False,-6.981053670247396,-9.166236877441406,-9.038832346598308
mp-10003,Nb4CoSi,0.012775998749997,0.0286554658333351,False,False,False,-6.583488464355469,-9.149551391601562,-9.159513473510742
mp-10004,Mo3P,0.0,0.0,True,True,False,-7.278918743133545,-9.819979667663574,-9.844766616821287
mp-10009,GaTe,0.004359849583334,0.006258415,False,False,False,-0.5958585739135742,-3.632289409637451,-3.444752216339112
mp-1001,BaN2,0.0,0.0,True,True,False,-5.29530398050944,-6.904505252838135,-6.710889180501302
mp-10010,Al(CoSi)2,0.015228510000012,0.0,False,True,True,-4.351367568969726,-6.307064533233643,-6.296092224121094
mp-1001012,Sc2ZnS4,0.009632063214286,0.0092860403571419,False,False,False,-3.9274019513811385,-6.231085300445557,-5.9358335222516745
mp-1001015,Y2ZnS4,0.047406897244899,0.0457952016666665,False,False,False,-4.094565255301339,-6.359629154205322,-6.063562665666852
mp-1001016,Sc2ZnSe4,0.019004453928572,0.0193959778571422,False,False,False,-3.255429131644113,-5.662124156951904,-5.3931715829031805
mp-1001017,Zn(InSe2)2,0.059226812857142,0.0592268128571427,False,False,False,-1.1725002016339985,-3.754234313964844,-3.4862308502197266
mp-1001019,Mg(ScSe2)2,0.003288914642856,0.0036804385714273,False,False,False,-3.4258005959647044,-5.83704137802124,-5.608010973249163
mp-1001021,Y2ZnSe4,0.048733503571428,0.0487335035714284,False,False,False,-3.1910176958356584,-5.821760177612305,-5.542519705636161
mp-1001022,Cu2PPd2,0.004432295818181,0.0044318350000001,False,False,False,-1.6449058532714844,-5.074968338012695,-5.07695198059082
mp-1001024,Y2MgS4,0.003039925714293,0.0014960495238049,False,False,False,-4.353079659598214,-6.591545104980469,-6.320903233119419
