dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path
LVVIS,1146,ovtb_v1146_p002078,accordion,1,0.5841242245265416,0.5841242245265416,0.5841242245265416,7,0.8571428571428571,,0.0,0.0,True,cat:1,unknown,accordion,unknown,global,2,12,,
LVVIS,1146,ovtb_v1146_p002077,accordion,1,0.461418201526006,0.461418201526006,0.461418201526006,3,0.6666666666666666,,0.0,0.0,True,cat:1,unknown,accordion,unknown,global,0,7,,
LVVIS,791,ovtb_v791_p001062,wall socket,1005,0.6011183485388756,0.6011183485388756,0.6011183485388756,8,0.875,,0.0,0.0,True,cat:1005,unknown,wall socket,unknown,global,0,29,,
LVVIS,1867,ovtb_v1867_p002685,wall socket,1005,0.3573047092982701,0.3573047092982701,0.3573047092982701,7,0.8571428571428571,12853.0,0.0087768787236845,0.0,True,cat:1005,unknown,wall socket,unknown,global,3,24,,
LVVIS,791,ovtb_v791_p001063,wall socket,1005,0.3569842092692852,0.3569842092692852,0.3569842092692852,8,0.875,,0.0,0.0,True,cat:1005,unknown,wall socket,unknown,global,0,29,,
LVVIS,1867,ovtb_v1867_p002686,wall socket,1005,0.3156546205282211,0.3156546205282211,0.3156546205282211,2,0.5,12853.0,0.0013786435747058,0.0,True,cat:1005,unknown,wall socket,unknown,global,21,24,,
LVVIS,264,ovtb_v264_p000229,water bottle,1013,0.5635469002383096,0.5635469002383096,0.5635469002383096,7,0.8571428571428571,,0.0,0.0,True,cat:1013,unknown,water bottle,unknown,global,3,23,,
LVVIS,264,ovtb_v264_p000228,water bottle,1013,0.4663623124361038,0.4663623124361038,0.4663623124361038,4,0.75,,0.0,0.0,True,cat:1013,unknown,water bottle,unknown,global,0,16,,
LVVIS,1796,ovtb_v1796_p003116,water bottle,1013,0.3731508404016495,0.3731508404016495,0.3731508404016495,2,0.5,,0.0,0.0,True,cat:1013,unknown,water bottle,unknown,global,12,14,,
LVVIS,1796,ovtb_v1796_p003117,water bottle,1013,0.3454081267118454,0.3454081267118454,0.3454081267118454,2,0.5,,0.0,0.0,True,cat:1013,unknown,water bottle,unknown,global,12,14,,
