method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,884.0,604.0,280.0,604.0,604.0,604.0,280.0,0.0,0.5,0.1561224562952481,0.0011299435028248,0.0016528925619834,0.0016528925619834,14.874474780643904,12.298373876248844,10.0,True,12.298373876248844,12.298373876248844,150,150.0,0.0,150,147,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.02,,0.0,0.02,1.0,0.0,2008.0,10.0,2.298373876248844,150.0,10.0,2.298373876248844,12.298373876248844,12.298373876248844,12.298373876248844,,,0,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,884.0,604.0,280.0,604.0,604.0,604.0,280.0,0.0,0.1561224562952481,0.1561224562952481,0.0011299435028248,0.0016528925619834,0.0016528925619834,47.89879900073166,34.74771639560635,10.0,True,34.74771639560635,34.74771639560635,150,150.0,0.0,150,147,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.02,,0.0,0.02,1.0,0.0,2008.0,10.0,24.747716395606357,150.0,10.0,24.747716395606357,34.74771639560635,34.74771639560635,34.74771639560635,,,0,certified_or_core_baseline,,
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,884.0,604.0,280.0,604.0,604.0,604.0,280.0,0.0,0.1561224562952481,0.1561224562952481,0.0011299435028248,0.0016528925619834,0.0016528925619834,47.89879900073166,34.74771639560635,10.0,True,34.74771639560635,34.74771639560635,150,150.0,0.0,150,147,3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.02,,0.0,0.02,1.0,0.0,2008.0,10.0,24.747716395606357,150.0,10.0,24.747716395606357,34.74771639560635,34.74771639560635,34.74771639560635,,,0,certified_or_core_baseline,,
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,,,0.02,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001403119822498411,score_threshold_from_calibration_null_quantile
tracklet_p_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,,,0.02,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00014310600818134844,tracklet_level_p_bh
tracklet_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,,,0.02,1.0,,,10.0,12.41093483101497,,,,,,,,,0,diagnostic_baseline,0.00014066099538467824,tracklet_level_e_self_consistency
post_filter_e_bh,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,,,0.02,1.0,,,10.0,24.747716395606354,,,,,,,,,0,diagnostic_baseline,0.00013744900934398174,block_evalue_post_filter
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,,,0.02,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.00014387400005944073,top_m_by_score_no_risk_control
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,884.0,594.0,290.0,594.0,594.0,594.0,290.0,0.0,0.5,0.1565297625740818,0.0011299435028248,0.0016806722689075,0.0016806722689075,14.874474780643904,12.196310917650468,10.0,True,12.196310917650468,9.796752568642573,150,150.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1891.0,,,137.0,10.94890510948905,-2.324810954158881,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,1,certified_or_core_baseline,,
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,884.0,594.0,290.0,594.0,594.0,594.0,290.0,0.0,0.1565297625740818,0.1565297625740818,0.0011299435028248,0.0016806722689075,0.0016806722689075,47.89121626646431,34.26252854155881,10.0,True,34.26252854155881,24.176815075189005,150,150.0,0.0,150,149,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0066666666666666,,0.0,0.0066666666666666,1.0,0.0,1891.0,10.0,3.5638142074248838,137.0,10.94890510948905,8.145651070951104,13.563814207424883,24.176815075189005,34.26252854155881,,,1,certified_or_core_baseline,,
