dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source
LVVIS,800,ovtb_v800_p001193,test,woodpecker,1043,0.9352782368659972,0.9352782368659972,0.9352782368659972,8,0.875,0,13,8,1,False,6330.0,0.9497667832900932,1.0,8,True,False,,no,cat:1043,unknown,woodpecker,unknown,global,0,final_score_proxy
LVVIS,1704,ovtb_v1704_p002949,cal,golf ball,418,0.9329040795564651,0.9329040795564651,0.9329040795564651,8,0.875,0,11,8,2,False,11868.0,0.9906738916220212,1.0,8,True,False,,no,cat:418,unknown,golf ball,unknown,global,0,final_score_proxy
LVVIS,684,ovtb_v684_p000971,cal,minivan,590,0.9299232438206672,0.9299232438206672,0.9299232438206672,8,0.875,0,14,8,3,False,5611.0,0.9417780568635544,1.0,8,True,False,,no,cat:590,unknown,minivan,unknown,global,0,final_score_proxy
LVVIS,1087,ovtb_v1087_p001517,test,person,669,0.9226596727967262,0.9226596727967262,0.9226596727967262,8,0.875,0,11,8,4,False,8173.0,0.9950942172255064,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
LVVIS,342,ovtb_v342_p000428,test,sunglasses,900,0.9200983047485352,0.9200983047485352,0.9200983047485352,1,0.0,2,2,1,5,False,3408.0,0.5745470419227178,1.0,1,True,False,,no,cat:900,unknown,sunglasses,unknown,global,0,final_score_proxy
LVVIS,353,ovtb_v353_p000458,test,person,669,0.9158297255635262,0.9158297255635262,0.9158297255635262,8,0.875,0,24,8,6,False,3494.0,0.989400088399213,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
LVVIS,179,ovtb_v179_p000080,test,person,669,0.9143369123339652,0.9143369123339652,0.9143369123339652,8,0.875,0,24,8,7,False,2326.0,0.9827792377087988,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
LVVIS,1157,ovtb_v1157_p001912,cal,spectacles,862,0.9139373004436492,0.9139373004436492,0.9139373004436492,8,0.875,0,14,8,8,False,8632.0,0.9161647735692496,1.0,8,True,False,,no,cat:862,unknown,spectacles,unknown,global,0,final_score_proxy
LVVIS,886,ovtb_v886_p001498,test,person,669,0.9131421819329262,0.9131421819329262,0.9131421819329262,8,0.875,0,19,8,9,False,6861.0,0.986955300056736,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
LVVIS,1082,ovtb_v1082_p001940,test,person,669,0.9127985909581184,0.9127985909581184,0.9127985909581184,8,0.875,0,32,8,10,False,8147.0,0.9850813572971026,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
