dataset,protocol,method,alpha1,seed,candidate_budget_M,released,unsupported,unsupported_audit_coverage,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,worst_case_cons_ftr_all_unaudited_false,passes_alpha_worst_case
OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,0,150,105,2,0.5,0.0,0.0095238095238095,0.009523809523809525,True
OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,1,150,150,4,0.25,0.0,0.02,0.02,True
OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,2,150,150,3,0.6666666666666666,0.0,0.0066666666666666,0.006666666666666667,True
OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,0,150,150,2,0.5,0.0,0.0066666666666666,0.006666666666666667,True
OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,1,150,150,4,0.25,0.0,0.02,0.02,True
OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,2,150,150,3,0.6666666666666666,0.0,0.0066666666666666,0.006666666666666667,True
OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,0,125,112,2,0.5,0.0,0.0089285714285714,0.008928571428571428,True
OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,1,250,241,7,0.14285714285714285,0.0,0.0248962655601659,0.024896265560165973,True
OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,2,250,224,6,0.8333333333333334,0.0,0.0044642857142857,0.004464285714285714,True
TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,0,150,0,0,1.0,,,0.0,True
TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,1,150,0,0,1.0,,,0.0,True
TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,2,150,0,0,1.0,,,0.0,True
TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,0,150,150,5,0.4,0.0068027210884353,0.0266666666666666,0.02666666666666667,True
TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,1,150,150,5,0.2,0.0,0.0266666666666666,0.02666666666666667,True
TAO,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,2,150,142,1,1.0,0.0,0.0,0.0,True
TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,0,100,97,1,1.0,0.0,0.0,0.0,True
TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,1,100,100,0,1.0,0.0,0.0,0.0,True
TAO,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,2,100,100,1,1.0,0.0,0.0,0.0,True
