dataset,generator,strategy,alpha1,released_mean,released_std,utr_mean,utr_std,conservative_ftr_uncertain_and_unlabeled_false_mean,conservative_ftr_uncertain_and_unlabeled_false_std,audited_ftr_on_labeled_released_mean,audited_ftr_on_labeled_released_std,best_mass_ratio_mean,best_mass_ratio_std,self_consistency_margin_mean,self_consistency_margin_std
OVT-B,GroundingDINO,PARC_certified_release,0.05,99.33333333333333,86.03100216394863,0.01567567567567568,0.014022834347105781,0.023513513513513516,0.004968858462391958,,,1.0004466833890777,0.4582543652280889,0.6318067045963698,0.2835941098308838
OVT-B,GroundingDINO,PARC_certified_release,0.1,135.0,25.98076211353316,0.02190476190476191,0.004151332327181593,0.02190476190476191,0.004151332327181593,,,2.0008933667781554,0.9165087304561778,5.480572478786656,5.004033460733726
OVT-B,GroundingDINO,PARC_certified_release,0.15,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,3.0013400501672325,1.3747630956842658,8.462807854515253,5.4968907620729315
OVT-B,GroundingDINO,PARC_certified_release,0.2,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,4.001786733556311,1.8330174609123555,10.12947452118192,5.496890762072932
OVT-B,GroundingDINO,PARC_certified_release,0.25,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,5.002233416945388,2.291271826140444,11.129474521181919,5.496890762072932
OVT-B,GroundingDINO,PARC_certified_release,0.3,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,6.002680100334465,2.7495261913685316,11.796141187848585,5.496890762072933
OVT-B,GroundingDINO,confidence_top_m_no_alpha_control,0.05,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,,,,
OVT-B,GroundingDINO,confidence_top_m_no_alpha_control,0.1,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,,,,
OVT-B,GroundingDINO,confidence_top_m_no_alpha_control,0.15,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,,,,
OVT-B,GroundingDINO,confidence_top_m_no_alpha_control,0.2,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,,,,
OVT-B,GroundingDINO,confidence_top_m_no_alpha_control,0.25,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,,,,
OVT-B,GroundingDINO,confidence_top_m_no_alpha_control,0.3,150.0,0.0,0.02,0.006666666666666667,0.02,0.006666666666666667,,,,,,
TAO,GroundingDINO,PARC_certified_release,0.05,0.0,0.0,0.0,0.0,,,,,0.4247548096465981,0.03422195051883033,,
TAO,GroundingDINO,PARC_certified_release,0.1,0.0,0.0,0.0,0.0,,,,,0.8495096192931962,0.06844390103766065,,
TAO,GroundingDINO,PARC_certified_release,0.15,114.33333333333333,19.857828011475306,0.018643437543038148,0.015463666183995672,0.009732360097323601,0.016856942166120457,0.06666666666666667,0.11547005383792516,1.2742644289397942,0.10266585155649095,0.6149514814522897,0.48627658346816316
TAO,GroundingDINO,PARC_certified_release,0.2,147.33333333333334,4.61880215351701,0.02456964006259781,0.0151791620068634,0.017777777777777778,0.015396007178390023,0.06666666666666667,0.11547005383792516,1.6990192385863925,0.1368878020753213,0.5994989182711778,0.5048828454990294
TAO,GroundingDINO,PARC_certified_release,0.25,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,2.1237740482329905,0.17110975259415168,1.5432886298186352,0.6022319041961871
TAO,GroundingDINO,PARC_certified_release,0.3,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,2.5485288578795884,0.2053317031129819,2.2099552964853015,0.6022319041961872
TAO,GroundingDINO,confidence_top_m_no_alpha_control,0.05,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,,,,
TAO,GroundingDINO,confidence_top_m_no_alpha_control,0.1,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,,,,
TAO,GroundingDINO,confidence_top_m_no_alpha_control,0.15,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,,,,
TAO,GroundingDINO,confidence_top_m_no_alpha_control,0.2,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,,,,
TAO,GroundingDINO,confidence_top_m_no_alpha_control,0.25,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,,,,
TAO,GroundingDINO,confidence_top_m_no_alpha_control,0.3,150.0,0.0,0.02666666666666667,0.011547005383792514,0.02,0.011547005383792516,0.06666666666666667,0.11547005383792516,,,,
