dataset,generator,method,alpha1,seed,candidate_budget_M,temperature,temperature_cal_nll,platt_a,platt_b,platt_cal_nll,risk_certificate,released,official_supported,unsupported,utr,audited_ftr_on_labeled_released,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,runtime_sec
OVT-B,GroundingDINO,raw_confidence_threshold,0.1,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,14,14,0,0.0,,0.0,0.09333333333333334,0.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.1,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,14,14,0,0.0,,0.0,0.09333333333333334,0.0
OVT-B,GroundingDINO,platt_threshold,0.1,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,118,116,2,0.01694915254237288,,0.01694915254237288,0.7866666666666666,0.0
OVT-B,GroundingDINO,platt_top_m_no_risk,0.1,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,raw_confidence_threshold,0.2,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.2,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,platt_threshold,0.2,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,platt_top_m_no_risk,0.2,0,150,1.0,0.6402530337489842,3.284706357202051,-0.6019523912536607,0.5350821425268659,none_confidence_baseline,150,148,2,0.013333333333333334,,0.013333333333333334,1.0,0.0
OVT-B,GroundingDINO,raw_confidence_threshold,0.1,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,18,18,0,0.0,,0.0,0.12,0.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.1,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,18,18,0,0.0,,0.0,0.12,0.0
OVT-B,GroundingDINO,platt_threshold,0.1,1,150,1.0,0.6468906257151084,3.214497735343792,-0.533406065359012,0.5332947176200281,none_confidence_baseline,150,146,4,0.02666666666666667,,0.02666666666666667,1.0,0.0
