dataset,generator,method,alpha1,released_mean,released_std,utr_mean,conservative_ftr_mean,nonempty_rate
OVT-B,GroundingDINO,platt_threshold,0.1,139.33333333333334,18.475208614068023,0.021205273069679852,0.021205273069679852,1.0
OVT-B,GroundingDINO,platt_threshold,0.2,150.0,0.0,0.02,0.02,1.0
OVT-B,GroundingDINO,platt_top_m_no_risk,0.1,150.0,0.0,0.02,0.02,1.0
OVT-B,GroundingDINO,platt_top_m_no_risk,0.2,150.0,0.0,0.02,0.02,1.0
OVT-B,GroundingDINO,raw_confidence_threshold,0.1,19.666666666666668,6.6583281184793925,0.0,0.0,1.0
OVT-B,GroundingDINO,raw_confidence_threshold,0.2,150.0,0.0,0.02,0.02,1.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.1,19.666666666666668,6.6583281184793925,0.0,0.0,1.0
OVT-B,GroundingDINO,temperature_scaled_threshold,0.2,150.0,0.0,0.02,0.02,1.0
TAO,GroundingDINO,platt_threshold,0.1,0.0,0.0,0.0,,0.0
TAO,GroundingDINO,platt_threshold,0.2,150.0,0.0,0.02666666666666667,0.02,1.0
TAO,GroundingDINO,platt_top_m_no_risk,0.1,150.0,0.0,0.02666666666666667,0.02,1.0
TAO,GroundingDINO,platt_top_m_no_risk,0.2,150.0,0.0,0.02666666666666667,0.02,1.0
TAO,GroundingDINO,raw_confidence_threshold,0.1,23.0,2.6457513110645907,0.0,0.0,1.0
TAO,GroundingDINO,raw_confidence_threshold,0.2,150.0,0.0,0.02666666666666667,0.02,1.0
TAO,GroundingDINO,temperature_scaled_threshold,0.1,55.333333333333336,53.407240457950394,0.002849002849002849,0.0,1.0
TAO,GroundingDINO,temperature_scaled_threshold,0.2,150.0,0.0,0.02666666666666667,0.02,1.0
