proposal_source,K,alpha,mean_release,raw_unstable_count_mean,PARC_unstable_count_mean,prevented_unstable_followups_mean,DFT_efficiency_mean,raw_DFT_efficiency_mean,release_status,evidence_state
alignn_ff_modern_learned_materials_model,100,0.1,100.0,8.55,8.55,0.0,0.9145,0.9145,certified_release_low_FTR,completed_evidence
alignn_ff_modern_learned_materials_model,300,0.1,115.1,75.95,11.7,64.25,0.912997505150814,0.7468333333333332,certified_release_low_FTR,completed_evidence
alignn_ff_modern_learned_materials_model,500,0.1,90.75,163.45,5.15,158.3,0.9517792331738988,0.6731,certified_release_low_FTR,completed_evidence
alignn_ff_modern_learned_materials_model,1000,0.1,60.8,391.0,0.5,390.5,0.7440275065522381,0.6090000000000001,boundary_or_partial_release,completed_evidence
alignn_ff_modern_learned_materials_model,5000,0.1,0.0,2577.4,0.0,2577.4,0.0,0.48452,certified_refusal_or_low_power,completed_evidence
alignn_ff_modern_learned_materials_model,100,0.2,100.0,8.55,8.55,0.0,0.9145,0.9145,certified_release_low_FTR,completed_evidence
alignn_ff_modern_learned_materials_model,300,0.2,275.75,75.95,67.7,8.25,0.7679839685420448,0.7468333333333332,boundary_or_partial_release,completed_evidence
alignn_ff_modern_learned_materials_model,500,0.2,158.7,163.45,27.45,136.0,0.8690188442667706,0.6731,certified_release_low_FTR,completed_evidence
alignn_ff_modern_learned_materials_model,1000,0.2,90.75,391.0,5.15,385.85,0.9517792331738988,0.6090000000000001,certified_release_low_FTR,completed_evidence
alignn_ff_modern_learned_materials_model,5000,0.2,0.0,2577.4,0.0,2577.4,0.0,0.48452,certified_refusal_or_low_power,completed_evidence
cgcnn_ensemble_learned_materials_model,100,0.1,100.0,3.0,3.0,0.0,0.97,0.97,certified_release_low_FTR,completed_evidence
cgcnn_ensemble_learned_materials_model,300,0.1,163.8,70.5,17.95,52.55,0.908443761310205,0.7649999999999999,certified_release_low_FTR,completed_evidence
cgcnn_ensemble_learned_materials_model,500,0.1,118.8,162.95,4.7,158.25,0.9681027940157184,0.6740999999999999,certified_release_low_FTR,completed_evidence
cgcnn_ensemble_learned_materials_model,1000,0.1,83.05,409.6,1.65,407.95,0.786446983513698,0.5904,boundary_or_partial_release,completed_evidence
cgcnn_ensemble_learned_materials_model,5000,0.1,0.0,2032.55,0.0,2032.55,0.0,0.5934899999999999,certified_refusal_or_low_power,completed_evidence
cgcnn_ensemble_learned_materials_model,100,0.2,100.0,3.0,3.0,0.0,0.97,0.97,certified_release_low_FTR,completed_evidence
cgcnn_ensemble_learned_materials_model,300,0.2,287.9,70.5,65.85,4.65,0.7744101949504633,0.7649999999999999,boundary_or_partial_release,completed_evidence
cgcnn_ensemble_learned_materials_model,500,0.2,198.7,162.95,32.7,130.25,0.8654638009074638,0.6740999999999999,certified_release_low_FTR,completed_evidence
cgcnn_ensemble_learned_materials_model,1000,0.2,118.8,409.6,4.7,404.9,0.9681027940157184,0.5904,certified_release_low_FTR,completed_evidence
cgcnn_ensemble_learned_materials_model,5000,0.2,0.0,2032.55,0.0,2032.55,0.0,0.5934899999999999,certified_refusal_or_low_power,completed_evidence
megnet_weak_learned_materials_model,100,0.1,100.0,4.65,4.65,0.0,0.9534999999999998,0.9534999999999998,certified_release_low_FTR,completed_evidence
megnet_weak_learned_materials_model,300,0.1,197.0,55.2,24.5,30.7,0.8865775574683175,0.8160000000000001,boundary_or_partial_release,completed_evidence
megnet_weak_learned_materials_model,500,0.1,102.75,110.45,5.05,105.4,0.9586860439666028,0.7791,certified_release_low_FTR,completed_evidence
megnet_weak_learned_materials_model,1000,0.1,68.7,291.6,0.9,290.7,0.7911903835221634,0.7083999999999999,boundary_or_partial_release,completed_evidence
megnet_weak_learned_materials_model,5000,0.1,0.0,2683.45,0.0,2683.45,0.0,0.46331,certified_refusal_or_low_power,completed_evidence
megnet_weak_learned_materials_model,100,0.2,100.0,4.65,4.65,0.0,0.9534999999999998,0.9534999999999998,certified_release_low_FTR,completed_evidence
megnet_weak_learned_materials_model,300,0.2,300.0,55.2,55.2,0.0,0.8160000000000001,0.8160000000000001,certified_release_low_FTR,completed_evidence
megnet_weak_learned_materials_model,500,0.2,404.45,110.45,84.0,26.45,0.7981464110812626,0.7791,boundary_or_partial_release,completed_evidence
megnet_weak_learned_materials_model,1000,0.2,102.75,291.6,5.05,286.55,0.9586860439666028,0.7083999999999999,certified_release_low_FTR,completed_evidence
megnet_weak_learned_materials_model,5000,0.2,0.0,2683.45,0.0,2683.45,0.0,0.46331,certified_refusal_or_low_power,completed_evidence
