domain,dataset,unit,proposal_source,model_family,verification_mode,block_definition,rho,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,PARC_FTR_mean,PARC_FTR_max,raw_topK_FTR_mean,raw_topR_FTR_mean,raw_only_tail_FTR_mean,raw_unstable_count_mean,PARC_unstable_count_mean,prevented_unstable_followups_mean,DFT_efficiency_mean,raw_DFT_efficiency_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,release_status,evidence_status
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.0854999999999999,0.22,0.0854999999999999,0.0854999999999999,0.0,8.55,8.55,0.0,0.9145,0.9145,11.846232639060664,164.64649454156125,10.0,0.9964731416169288,certified_release_low_FTR,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,300,20,20,115.1,39,211,0.0870024948491858,0.1753554502369668,0.2531666666666666,0.0870024948491858,0.3460790722220795,75.95,11.7,64.25,0.912997505150814,0.7468333333333332,3.956974570111012,164.64649454156125,10.0,0.9964731416169288,certified_release_low_FTR,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,500,20,20,90.75,37,151,0.0482207668261013,0.1222222222222222,0.3269,0.0482207668261013,0.386651838862942,163.45,5.15,158.3,0.9517792331738988,0.6731,2.3741847420666065,164.64649454156125,10.0,0.9964731416169288,certified_release_low_FTR,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,1000,20,15,60.8,0,103,0.0059724934477619,0.0689655172413793,0.3909999999999999,0.0059724934477619,0.4162710562819656,391.0,0.5,390.5,0.7440275065522381,0.6090000000000001,1.1870923710333032,164.64649454156125,10.0,0.9964731416169288,boundary_or_partial_release,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.51548,0.0,0.51548,2577.4,0.0,2577.4,0.0,0.48452,0.2374184742066606,164.64649454156125,10.0,0.9964731416169288,certified_refusal_or_low_power,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,100,20,20,100.0,100,100,0.0854999999999999,0.22,0.0854999999999999,0.0854999999999999,0.0,8.55,8.55,0.0,0.9145,0.9145,23.692465278121325,164.64649454156125,5.0,0.9964731416169288,certified_release_low_FTR,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,300,20,20,275.75,57,300,0.2320160314579552,0.35,0.2531666666666666,0.2320160314579552,0.0340322416079991,75.95,67.7,8.25,0.7679839685420448,0.7468333333333332,7.913949140222023,164.64649454156125,5.0,0.9964731416169288,boundary_or_partial_release,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,500,20,20,158.7,39,389,0.1309811557332293,0.2956298200514138,0.3269,0.1309811557332293,0.4023493778347563,163.45,27.45,136.0,0.8690188442667706,0.6731,4.748369484133213,164.64649454156125,5.0,0.9964731416169288,certified_release_low_FTR,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,1000,20,20,90.75,37,151,0.0482207668261013,0.1222222222222222,0.3909999999999999,0.0482207668261013,0.4247519982434036,391.0,5.15,385.85,0.9517792331738988,0.6090000000000001,2.3741847420666065,164.64649454156125,5.0,0.9964731416169288,certified_release_low_FTR,completed_public_DFT_label_followup
materials_discovery,Matbench Discovery WBM unique prototypes,stable_inorganic_crystal_candidate,alignn_ff_modern_learned_materials_model,ALIGNN-FF,masked_DFT_stable_positives_hidden_label_followup,composition_family_pair,0.1,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.51548,0.0,0.51548,2577.4,0.0,2577.4,0.0,0.48452,0.4748369484133213,164.64649454156125,5.0,0.9964731416169288,certified_refusal_or_low_power,completed_public_DFT_label_followup
