dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path
OVT-B,40,ovtb_v40_p002411,bee,73,0.8190702497959137,0.8190702497959137,0.8190702497959137,4,0.75,1561,0.4816575507847451,0.0,True,cat:73,unknown,bee,unknown,global,35,176,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v40_p002411.jpg
OVT-B,40,ovtb_v40_p002405,bee,73,0.8176585833231608,0.8176585833231608,0.8176585833231608,3,0.6666666666666666,1543,0.3971491862860921,0.0,True,cat:73,unknown,bee,unknown,global,0,211,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v40_p002405.jpg
OVT-B,40,ovtb_v40_p002432,bee,73,0.6873760521411896,0.6873760521411896,0.6873760521411896,2,0.5,1640,0.24269935835491918,0.0,True,cat:73,unknown,bee,unknown,global,176,246,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v40_p002432.jpg
OVT-B,37,ovtb_v37_p002226,bee,73,0.5050300173461437,0.5050300173461437,0.5050300173461437,8,0.875,1430,0.012862723176508868,0.0,True,cat:73,unknown,bee,unknown,global,0,109,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v37_p002226.jpg
OVT-B,144,ovtb_v144_p003247,pendulum,666,0.7847317308187485,0.7847317308187485,0.7847317308187485,8,0.875,2169,0.01627368098768633,0.0,True,cat:666,unknown,pendulum,unknown,global,0,24,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v144_p003247.jpg
OVT-B,130,ovtb_v130_p003147,person,669,0.766586646437645,0.766586646437645,0.766586646437645,8,0.875,2081,0.3809854001956855,0.0,True,cat:669,unknown,person,unknown,global,0,24,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v130_p003147.jpg
OVT-B,130,ovtb_v130_p003148,person,669,0.7361220195889473,0.7361220195889473,0.7361220195889473,8,0.875,2081,0.30774410356994353,0.0,True,cat:669,unknown,person,unknown,global,0,24,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v130_p003148.jpg
OVT-B,241,ovtb_v241_p003843,person,669,0.5865825499807086,0.5865825499807086,0.5865825499807086,7,0.8571428571428571,2709,0.39197105277174465,0.0,True,cat:669,unknown,person,unknown,global,0,19,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v241_p003843.jpg
OVT-B,247,ovtb_v247_p003883,person,669,0.562310703098774,0.562310703098774,0.562310703098774,8,0.875,,0.0,0.0,True,cat:669,unknown,person,unknown,global,0,9,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v247_p003883.jpg
OVT-B,168,ovtb_v168_p003363,person,669,0.4968856908380985,0.4968856908380985,0.4968856908380985,8,0.875,2281,0.47272782573076927,0.0,True,cat:669,unknown,person,unknown,global,0,19,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v168_p003363.jpg
OVT-B,168,ovtb_v168_p003362,person,669,0.4778631664812565,0.4778631664812565,0.4778631664812565,8,0.875,2281,0.47027960190538487,0.0,True,cat:669,unknown,person,unknown,global,0,19,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v168_p003362.jpg
OVT-B,159,ovtb_v159_p003322,person,669,0.4654508888721466,0.4654508888721466,0.4654508888721466,5,0.8,2231,0.35913510521197584,0.0,True,cat:669,unknown,person,unknown,global,6,14,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v159_p003322.jpg
OVT-B,219,ovtb_v219_p003670,person,669,0.4551936872303486,0.4551936872303486,0.4551936872303486,8,0.875,2540,0.3688862335961126,0.0,True,cat:669,unknown,person,unknown,global,0,23,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v219_p003670.jpg
OVT-B,169,ovtb_v169_p003368,person,669,0.44207942485809326,0.44207942485809326,0.44207942485809326,5,0.8,2283,0.4613437918622503,0.0,True,cat:669,unknown,person,unknown,global,0,34,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v169_p003368.jpg
OVT-B,159,ovtb_v159_p003320,person,669,0.4399312904902867,0.4399312904902867,0.4399312904902867,7,0.8571428571428571,2231,0.97007356337333,0.2857142857142857,True,cat:669,unknown,person,unknown,global,0,14,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v159_p003320.jpg
OVT-B,53,ovtb_v53_p002693,watercraft,1019,0.7333702445030212,0.7333702445030212,0.7333702445030212,2,0.5,1806,0.3969479086016808,0.0,True,cat:1019,unknown,watercraft,unknown,global,85,106,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v53_p002693.jpg
OVT-B,53,ovtb_v53_p002698,watercraft,1019,0.6869816780090332,0.6869816780090332,0.6869816780090332,2,0.5,1807,0.43705902603771796,0.0,True,cat:1019,unknown,watercraft,unknown,global,128,149,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v53_p002698.jpg
OVT-B,81,ovtb_v81_p002855,watercraft,1019,0.6366088092327118,0.6366088092327118,0.6366088092327118,3,0.6666666666666666,1880,0.365884815795421,0.0,True,cat:1019,unknown,watercraft,unknown,global,34,69,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v81_p002855.jpg
OVT-B,53,ovtb_v53_p002694,watercraft,1019,0.5979675352573395,0.5979675352573395,0.5979675352573395,2,0.5,1807,0.4488431341400961,0.0,True,cat:1019,unknown,watercraft,unknown,global,85,106,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v53_p002694.jpg
OVT-B,53,ovtb_v53_p002679,watercraft,1019,0.5274564474821091,0.5274564474821091,0.5274564474821091,2,0.5,1808,0.41976497960942133,0.0,True,cat:1019,unknown,watercraft,unknown,global,0,85,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v53_p002679.jpg
OVT-B,53,ovtb_v53_p002684,watercraft,1019,0.49935758113861084,0.49935758113861084,0.49935758113861084,2,0.5,1807,0.48100988109393006,0.0,True,cat:1019,unknown,watercraft,unknown,global,21,106,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v53_p002684.jpg
OVT-B,80,ovtb_v80_p002842,watercraft,1019,0.4610096663236618,0.4610096663236618,0.4610096663236618,2,0.5,,0.0,0.0,True,cat:1019,unknown,watercraft,unknown,global,99,132,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v80_p002842.jpg
OVT-B,53,ovtb_v53_p002691,watercraft,1019,0.44468016425768536,0.44468016425768536,0.44468016425768536,3,0.6666666666666666,1809,0.4472388195477683,0.0,True,cat:1019,unknown,watercraft,unknown,global,64,149,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v53_p002691.jpg
OVT-B,81,ovtb_v81_p002856,watercraft,1019,0.44260063767433167,0.44260063767433167,0.44260063767433167,4,0.75,1880,0.4074467643743865,0.0,True,cat:1019,unknown,watercraft,unknown,global,69,120,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v81_p002856.jpg
OVT-B,53,ovtb_v53_p002682,watercraft,1019,0.3564543128013611,0.3564543128013611,0.3564543128013611,2,0.5,1808,0.47120917563910014,0.0,True,cat:1019,unknown,watercraft,unknown,global,0,43,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v53_p002682.jpg
OVT-B,85,ovtb_v85_p002894,elephant,341,0.7154756784439087,0.7154756784439087,0.7154756784439087,3,0.6666666666666666,1895,0.2489682464463474,0.0,True,cat:341,unknown,elephant,unknown,global,103,144,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v85_p002894.jpg
OVT-B,85,ovtb_v85_p002883,elephant,341,0.454678013920784,0.454678013920784,0.454678013920784,2,0.5,,0.0,0.0,True,cat:341,unknown,elephant,unknown,global,0,21,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v85_p002883.jpg
OVT-B,85,ovtb_v85_p002884,elephant,341,0.42948995530605316,0.42948995530605316,0.42948995530605316,2,0.5,,0.0,0.0,True,cat:341,unknown,elephant,unknown,global,0,21,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v85_p002884.jpg
OVT-B,85,ovtb_v85_p002887,elephant,341,0.39729738235473633,0.39729738235473633,0.39729738235473633,2,0.5,,0.0,0.0,True,cat:341,unknown,elephant,unknown,global,21,41,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v85_p002887.jpg
OVT-B,83,ovtb_v83_p002871,elephant,341,0.33389127254486084,0.33389127254486084,0.33389127254486084,2,0.5,1888,0.17224739998057145,0.0,True,cat:341,unknown,elephant,unknown,global,0,54,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v83_p002871.jpg
OVT-B,61,ovtb_v61_p002740,zebra,1052,0.7069576382637024,0.7069576382637024,0.7069576382637024,8,0.875,1826,0.5537916597779867,0.125,True,cat:1052,unknown,zebra,unknown,global,0,129,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v61_p002740.jpg
OVT-B,34,ovtb_v34_p001973,balloon,39,0.6899479883057731,0.6899479883057731,0.6899479883057731,7,0.8571428571428571,1228,0.01832360177088817,0.0,True,cat:39,unknown,balloon,unknown,global,21,150,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v34_p001973.jpg
OVT-B,33,ovtb_v33_p001891,balloon,39,0.5929506123065948,0.5929506123065948,0.5929506123065948,2,0.5,1187,0.4191623841187001,0.0,True,cat:39,unknown,balloon,unknown,global,153,267,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v33_p001891.jpg
OVT-B,33,ovtb_v33_p001893,balloon,39,0.5728700459003448,0.5728700459003448,0.5728700459003448,2,0.5,1153,0.29506875179465836,0.0,True,cat:39,unknown,balloon,unknown,global,153,267,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v33_p001893.jpg
OVT-B,32,ovtb_v32_p001661,balloon,39,0.5636690557003021,0.5636690557003021,0.5636690557003021,2,0.5,1125,0.45889980826095556,0.0,True,cat:39,unknown,balloon,unknown,global,0,86,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v32_p001661.jpg
OVT-B,229,ovtb_v229_p003756,shoe,821,0.6360959013303121,0.6360959013303121,0.6360959013303121,3,0.6666666666666666,,0.0,0.0,True,cat:821,unknown,shoe,unknown,global,6,9,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v229_p003756.jpg
OVT-B,229,ovtb_v229_p003757,shoe,821,0.5508144646883011,0.5508144646883011,0.5508144646883011,4,0.75,,0.0,0.0,True,cat:821,unknown,shoe,unknown,global,6,10,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v229_p003757.jpg
OVT-B,217,ovtb_v217_p003645,shoe,821,0.5075880438089371,0.5075880438089371,0.5075880438089371,2,0.5,,0.0,0.0,True,cat:821,unknown,shoe,unknown,global,2,4,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v217_p003645.jpg
OVT-B,107,ovtb_v107_p003022,bird,93,0.6312417089939117,0.6312417089939117,0.6312417089939117,2,0.5,,0.0,0.0,True,cat:93,unknown,bird,unknown,global,394,472,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v107_p003022.jpg
OVT-B,249,ovtb_v249_p003889,die,282,0.6051020920276642,0.6051020920276642,0.6051020920276642,7,0.8571428571428571,2771,0.2219096785448336,0.0,True,cat:282,unknown,die,unknown,global,0,16,,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v249_p003889.jpg
