processed_videos,cal_ratio,grid_size,release_grid,empty_block_policy,n_rank,n_nonempty,n_empty,p_min_block,p_min_any,gamma_star_eff,emax_eff,required_emax,release_feasible,observed_nonempty_rate,projection
250,0.35,1,2.0,conservative_infinity,88,63,25,0.29213483146067415,0.29213483146067415,0.8126514674537852,1.0233554356365593,10.0,False,0.648,False
250,0.35,1,2.0,coverage_conditional,63,63,25,0.015625,0.015625,0.24044917348149392,5.661203684512458,10.0,False,0.648,False
250,0.35,2,1.0|2.0,conservative_infinity,88,63,25,0.29213483146067415,0.5842696629213483,,,10.0,False,0.648,False
250,0.35,2,1.0|2.0,coverage_conditional,63,63,25,0.015625,0.03125,0.28853900817779266,3.396722210707475,10.0,False,0.648,False
250,0.35,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,88,63,25,0.29213483146067415,1.0,,,10.0,False,0.648,False
250,0.35,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,63,63,25,0.015625,0.078125,0.39224220681590566,1.8470124012452949,10.0,False,0.648,False
250,0.5,1,2.0,conservative_infinity,125,82,43,0.3492063492063492,0.3492063492063492,0.9504869730836125,1.0013123108827415,10.0,False,0.648,False
250,0.5,1,2.0,coverage_conditional,82,82,43,0.012048192771084338,0.012048192771084338,0.22630370469475658,6.909955874705135,10.0,False,0.648,False
250,0.5,2,1.0|2.0,conservative_infinity,125,82,43,0.3492063492063492,0.6984126984126984,,,10.0,False,0.648,False
250,0.5,2,1.0|2.0,coverage_conditional,82,82,43,0.012048192771084338,0.024096385542168676,0.26840641065351967,4.097759814859053,10.0,False,0.648,False
250,0.5,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,125,82,43,0.3492063492063492,1.0,,,10.0,False,0.648,False
250,0.5,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,82,82,43,0.012048192771084338,0.060240963855421686,0.35594754772988135,2.1737000300905533,10.0,False,0.648,False
250,0.6,1,2.0,conservative_infinity,150,99,51,0.3443708609271523,0.3443708609271523,0.9380545207577733,1.0020910943383066,10.0,False,0.648,False
250,0.6,1,2.0,coverage_conditional,99,99,51,0.01,0.01,0.21714724095162594,7.988400565320466,10.0,False,0.648,False
250,0.6,2,1.0|2.0,conservative_infinity,150,99,51,0.3443708609271523,0.6887417218543046,,,10.0,False,0.648,False
250,0.6,2,1.0|2.0,coverage_conditional,99,99,51,0.01,0.02,0.25562221863533147,4.7019079471284995,10.0,False,0.648,False
250,0.6,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,150,99,51,0.3443708609271523,1.0,,,10.0,False,0.648,False
250,0.6,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,99,99,51,0.01,0.05,0.33380820069533407,2.456023486604883,10.0,False,0.648,False
500,0.35,1,2.0,conservative_infinity,175,113,62,0.35795454545454547,0.35795454545454547,0.9733788016585171,1.0003673766666406,10.0,False,0.648,True
500,0.35,1,2.0,coverage_conditional,113,113,62,0.008771929824561403,0.008771929824561403,0.21113980144539465,8.85483510678504,10.0,False,0.648,True
500,0.35,2,1.0|2.0,conservative_infinity,175,113,62,0.35795454545454547,0.7159090909090909,,,10.0,False,0.648,True
500,0.35,2,1.0|2.0,coverage_conditional,113,113,62,0.008771929824561403,0.017543859649122806,0.2473379469500514,5.186461105155176,10.0,False,0.648,True
500,0.35,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,175,113,62,0.35795454545454547,1.0,,,10.0,False,0.648,True
500,0.35,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,113,113,62,0.008771929824561403,0.043859649122807015,0.3198198226244552,2.682537137796064,10.0,False,0.648,True
500,0.5,1,2.0,conservative_infinity,250,162,88,0.3545816733067729,0.3545816733067729,0.9644907590346842,1.0006617604901533,10.0,False,0.648,True
500,0.5,1,2.0,coverage_conditional,162,162,88,0.006134969325153374,0.006134969325153374,0.19631901066558333,11.77214165340259,10.0,True,0.648,True
500,0.5,2,1.0|2.0,conservative_infinity,250,162,88,0.3545816733067729,0.7091633466135459,,,10.0,False,0.648,True
500,0.5,2,1.0|2.0,coverage_conditional,162,162,88,0.006134969325153374,0.012269938650306749,0.2272415838009203,6.813196809057077,10.0,False,0.648,True
500,0.5,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,250,162,88,0.3545816733067729,1.0,,,10.0,False,0.648,True
500,0.5,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,162,162,88,0.006134969325153374,0.03067484662576687,0.2870006811206487,3.441961796079494,10.0,False,0.648,True
500,0.6,1,2.0,conservative_infinity,300,194,106,0.3554817275747508,0.3554817275747508,0.9668548334301449,1.0005746800062907,10.0,False,0.648,True
500,0.6,1,2.0,coverage_conditional,194,194,106,0.005128205128205128,0.005128205128205128,0.18964537904728723,13.60449403260917,10.0,True,0.648,True
500,0.6,2,1.0|2.0,conservative_infinity,300,194,106,0.3554817275747508,0.7109634551495017,,,10.0,False,0.648,True
500,0.6,2,1.0|2.0,coverage_conditional,194,194,106,0.005128205128205128,0.010256410256410256,0.2183476491082591,7.831747085666842,10.0,False,0.648,True
500,0.6,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,300,194,106,0.3554817275747508,1.0,,,10.0,False,0.648,True
500,0.6,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,194,194,106,0.005128205128205128,0.02564102564102564,0.2729584204093974,3.9162158553667012,10.0,False,0.648,True
1000,0.35,1,2.0,conservative_infinity,350,227,123,0.35327635327635326,0.35327635327635326,0.9610721032771709,1.000799133596395,10.0,False,0.648,True
1000,0.35,1,2.0,coverage_conditional,227,227,123,0.0043859649122807015,0.0043859649122807015,0.18418425871932848,15.448733294815382,10.0,True,0.648,True
1000,0.35,2,1.0|2.0,conservative_infinity,350,227,123,0.35327635327635326,0.7065527065527065,,,10.0,False,0.648,True
1000,0.35,2,1.0|2.0,coverage_conditional,227,227,123,0.0043859649122807015,0.008771929824561403,0.21113980144539465,8.85483510678504,10.0,False,0.648,True
1000,0.35,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,350,227,123,0.35327635327635326,1.0,,,10.0,False,0.648,True
1000,0.35,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,227,227,123,0.0043859649122807015,0.021929824561403508,0.2617864289430865,4.391546540474769,10.0,False,0.648,True
1000,0.5,1,2.0,conservative_infinity,500,324,176,0.3532934131736527,0.3532934131736527,0.9611167082681885,1.000797253370943,10.0,False,0.648,True
1000,0.5,1,2.0,coverage_conditional,324,324,176,0.003076923076923077,0.003076923076923077,0.17289595872557093,20.67158231994823,10.0,True,0.648,True
1000,0.5,2,1.0|2.0,conservative_infinity,500,324,176,0.3532934131736527,0.7065868263473054,,,10.0,False,0.648,True
1000,0.5,2,1.0|2.0,coverage_conditional,324,324,176,0.003076923076923077,0.006153846153846154,0.19643748821912257,11.743113426065548,10.0,True,0.648,True
1000,0.5,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,500,324,176,0.3532934131736527,1.0,,,10.0,False,0.648,True
1000,0.5,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,324,324,176,0.003076923076923077,0.015384615384615385,0.23955611574701857,5.728305049363946,10.0,False,0.648,True
1000,0.6,1,2.0,conservative_infinity,600,389,211,0.3527454242928453,0.3527454242928453,0.9596849225142617,1.000858774293012,10.0,False,0.648,True
1000,0.6,1,2.0,coverage_conditional,389,389,211,0.002564102564102564,0.002564102564102564,0.16761237088628497,24.047846680676145,10.0,True,0.648,True
1000,0.6,2,1.0|2.0,conservative_infinity,600,389,211,0.3527454242928453,0.7054908485856906,,,10.0,False,0.648,True
1000,0.6,2,1.0|2.0,coverage_conditional,389,389,211,0.002564102564102564,0.005128205128205128,0.18964537904728723,13.60449403260917,10.0,True,0.648,True
1000,0.6,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,600,389,211,0.3527454242928453,1.0,,,10.0,False,0.648,True
1000,0.6,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,389,389,211,0.002564102564102564,0.01282051282051282,0.22953106112437666,6.586301162838062,10.0,False,0.648,True
1973,0.35,1,2.0,conservative_infinity,691,448,243,0.35260115606936415,0.35260115606936415,0.9593083184499706,1.0008753574054259,10.0,False,0.648,True
1973,0.35,1,2.0,coverage_conditional,448,448,243,0.0022271714922048997,0.0022271714922048997,0.16374590670147243,27.047199940500526,10.0,True,0.648,True
1973,0.35,2,1.0|2.0,conservative_infinity,691,448,243,0.35260115606936415,0.7052023121387283,,,10.0,False,0.648,True
1973,0.35,2,1.0|2.0,coverage_conditional,448,448,243,0.0022271714922048997,0.004454342984409799,0.1847105574798017,15.255048141098314,10.0,True,0.648,True
1973,0.35,5,0.5|1.0|2.0|4.0|8.0,conservative_infinity,691,448,243,0.35260115606936415,1.0,,,10.0,False,0.648,True
1973,0.35,5,0.5|1.0|2.0|4.0|8.0,coverage_conditional,448,448,243,0.0022271714922048997,0.011135857461024499,0.2223415467389773,7.345180579924913,10.0,False,0.648,True
