dataset,video_id,path_id,release_checkpoint,cell_id,score,p_block,p_any,e_value,gamma,gamma_star,empty_block_policy,p_min_block,p_min_effective,emax_effective,score_source,method,audit_policy
OVT-B,98,ovtb_v98_p002960,final,cat:70,0.951215020247868,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,179,ovtb_v179_p003418,final,cat:669,0.9143435582518578,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,211,ovtb_v211_p003574,final,cat:669,0.9099753499031068,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,100,ovtb_v100_p002971,final,cat:1025,0.9023276567459106,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,47,ovtb_v47_p002638,final,cat:180,0.9014828577637672,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,90,ovtb_v90_p002919,final,cat:966,0.9007416293025016,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,229,ovtb_v229_p003750,final,cat:669,0.8963419124484062,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,115,ovtb_v115_p003060,final,cat:669,0.8917106837034225,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,162,ovtb_v162_p003339,final,cat:669,0.8908472284674644,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,229,ovtb_v229_p003751,final,cat:669,0.8851908072829247,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,121,ovtb_v121_p003090,final,cat:669,0.8764418289065361,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,175,ovtb_v175_p003394,final,cat:669,0.8754294738173485,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,176,ovtb_v176_p003400,final,cat:669,0.8698163107037544,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,62,ovtb_v62_p002745,final,cat:1052,0.8648843765258789,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,124,ovtb_v124_p003124,final,cat:971,0.8626018092036247,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,133,ovtb_v133_p003161,final,cat:669,0.8616219013929367,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,199,ovtb_v199_p003511,final,cat:669,0.8446930199861526,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,172,ovtb_v172_p003383,final,cat:669,0.8379807397723198,0.20224719101123595,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,100,ovtb_v100_p002969,final,cat:1025,0.8359350562095642,0.21348314606741572,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,138,ovtb_v138_p003207,final,cat:669,0.8320087268948555,0.21348314606741572,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,184,ovtb_v184_p003440,final,cat:669,0.829458937048912,0.21348314606741572,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,245,ovtb_v245_p003871,final,cat:669,0.8287811040878296,0.21348314606741572,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
OVT-B,197,ovtb_v197_p003503,final,cat:1040,0.8286920289198557,0.21348314606741572,1.0,0.5,0.5,,conservative_infinity,0.20224719101123595,1.0,0.5,final_score_proxy,unmatched_as_false_block,treat_unmatched_as_false_baseline
