method,audit_policy,empty_block_policy,alpha1,score_source,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.5,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,4.344536799245705,3.7416573867739413,10.0,False,3.7416573867739413,1.4700014035726063,250,250,0,0,0,0,0,0,0.0,,0,513,,,250,10.0,-9.09251478702697,,,,no_k_satisfies_uniform_self_consistency
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.5,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,4.344536799245705,3.7416573867739413,10.0,False,3.7416573867739413,1.087080439048749,500,500,0,0,0,0,0,0,0.0,,0,513,,,500,10.0,-9.422649730810374,,,,no_k_satisfies_uniform_self_consistency
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.5,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,4.344536799245705,3.7416573867739413,10.0,False,3.7416573867739413,0.7988831673562753,1000,1000,0,0,0,0,0,0,0.0,,0,513,,,1000,10.0,-9.5,,,,no_k_satisfies_uniform_self_consistency
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.5,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,4.344536799245705,3.7416573867739413,10.0,False,3.7416573867739413,0.7739534072926446,2000,1091,909,0,0,0,0,0,0.0,,0,513,,,1091,18.33180568285976,-17.83180568285976,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.24842549839846914,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,6.406387646239807,5.117875477319688,10.0,False,5.117875477319688,1.3295114171229534,250,250,0,0,0,0,0,0,0.0,,0,513,,,250,10.0,-9.391422796736418,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.24842549839846914,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,6.406387646239807,5.117875477319688,10.0,False,5.117875477319688,0.8742129626015132,500,500,0,0,0,0,0,0,0.0,,0,513,,,500,10.0,-9.691612377730383,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.24842549839846914,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,6.406387646239807,5.117875477319688,10.0,False,5.117875477319688,0.565389504691649,1000,1000,0,0,0,0,0,0,0.0,,0,513,,,1000,10.0,-9.751574501601532,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,111,111,39,0,0.24842549839846914,0.24842549839846914,0.0132450331125827,0.008928571428571428,0.017857142857142856,6.406387646239807,5.117875477319688,10.0,False,5.117875477319688,0.5389516269898347,2000,1091,909,0,0,0,0,0,0.0,,0,513,,,1091,18.33180568285976,-18.08338018446129,,,,no_k_satisfies_uniform_self_consistency
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,97,97,53,0,0.2569491711848753,0.2569491711848753,0.0132450331125827,0.01020408163265306,0.02040816326530612,6.386416819559014,4.631789557742905,10.0,False,4.631789557742905,1.3171584667297365,250,250,0,0,0,0,0,0,0.0,,57,456,,,250,10.0,-9.409762948783015,,,,no_k_satisfies_uniform_self_consistency
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,97,97,53,0,0.2569491711848753,0.2569491711848753,0.0132450331125827,0.01020408163265306,0.02040816326530612,6.386416819559014,4.631789557742905,10.0,False,4.631789557742905,0.8722914528153908,500,500,0,0,0,0,0,0,0.0,,57,456,,,500,10.0,-9.67006546297235,,,,no_k_satisfies_uniform_self_consistency
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,97,97,53,0,0.2569491711848753,0.2569491711848753,0.0132450331125827,0.01020408163265306,0.02040816326530612,6.386416819559014,4.631789557742905,10.0,False,4.631789557742905,0.571616244911874,1000,1000,0,0,0,0,0,0,0.0,,57,456,,,1000,10.0,-9.743050828815125,,,,no_k_satisfies_uniform_self_consistency
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,97,97,53,0,0.2569491711848753,0.2569491711848753,0.0132450331125827,0.01020408163265306,0.02040816326530612,6.386416819559014,4.631789557742905,10.0,False,4.631789557742905,0.5453699537027475,2000,1091,909,0,0,0,0,0,0.0,,57,456,,,1091,18.33180568285976,-18.074856511674884,,,,no_k_satisfies_uniform_self_consistency
