method,audit_policy,empty_block_policy,alpha1,score_source,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason
unmatched_as_false_block,treat_unmatched_as_false_baseline,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,250,250,0,0,0,0,0,0,0.0,,0,305,,,250,10.0,-9.5,,,,no_k_satisfies_uniform_self_consistency
unmatched_as_false_block,treat_unmatched_as_false_baseline,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,500,500,0,0,0,0,0,0,0.0,,0,305,,,500,10.0,-9.5,,,,no_k_satisfies_uniform_self_consistency
unmatched_as_false_block,treat_unmatched_as_false_baseline,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,1000,1000,0,0,0,0,0,0,0.0,,0,305,,,1000,10.0,-9.5,,,,no_k_satisfies_uniform_self_consistency
unmatched_as_false_block,treat_unmatched_as_false_baseline,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,2000,1770,230,0,0,0,0,0,0.0,,0,305,,,1770,11.299435028248588,-10.799435028248588,,,,no_k_satisfies_uniform_self_consistency
unmatched_as_false_block,treat_unmatched_as_false_baseline,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,4000,1770,2230,0,0,0,0,0,0.0,,0,305,,,1770,22.598870056497177,-22.098870056497177,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,250,250,0,0,0,0,0,0,0.0,,0,305,,,250,10.0,-9.5,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,500,500,0,0,0,0,0,0,0.0,,0,305,,,500,10.0,-9.5,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,1000,1000,0,0,0,0,0,0,0.0,,0,305,,,1000,10.0,-9.5,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,2000,1770,230,0,0,0,0,0,0.0,,0,305,,,1770,11.299435028248588,-10.799435028248588,,,,no_k_satisfies_uniform_self_consistency
null_superset_no_audit,remove_official_gt_matches_only,conservative_infinity,0.1,final_score_proxy,88,71,17,17,0.5,,0.0561797752808988,0.20224719101123595,1.0,2.1095023109729003,0.5,10.0,False,0.5,0.5,4000,1770,2230,0,0,0,0,0,0.0,,0,305,,,1770,22.598870056497177,-22.098870056497177,,,,no_k_satisfies_uniform_self_consistency
