dataset,generator,alpha1,strategy,released_mean,nonempty_rate,utr_mean,conservative_ftr_mean
OVT-B,GroundingDINO,0.05,coverage_conditional_parc,99.33333333333333,0.6666666666666666,0.01567567567567568,0.023513513513513516
OVT-B,GroundingDINO,0.1,coverage_conditional_parc,135.0,1.0,0.02190476190476191,0.02190476190476191
OVT-B,GroundingDINO,0.15,coverage_conditional_parc,150.0,1.0,0.02,0.02
OVT-B,GroundingDINO,0.2,coverage_conditional_parc,150.0,1.0,0.02,0.02
OVT-B,GroundingDINO,0.25,coverage_conditional_parc,150.0,1.0,0.02,0.02
OVT-B,GroundingDINO,0.3,coverage_conditional_parc,150.0,1.0,0.02,0.02
OVT-B,OWLv2,0.05,coverage_conditional_parc,0.0,0.0,0.0,
OVT-B,OWLv2,0.1,coverage_conditional_parc,0.0,0.0,0.0,
OVT-B,OWLv2,0.15,coverage_conditional_parc,0.0,0.0,0.0,
OVT-B,OWLv2,0.2,coverage_conditional_parc,0.0,0.0,0.0,
OVT-B,OWLv2,0.25,coverage_conditional_parc,0.0,0.0,0.0,
OVT-B,OWLv2,0.3,coverage_conditional_parc,0.0,0.0,0.0,
TAO,GroundingDINO,0.05,coverage_conditional_parc,0.0,0.0,0.0,
TAO,GroundingDINO,0.1,coverage_conditional_parc,0.0,0.0,0.0,
TAO,GroundingDINO,0.15,coverage_conditional_parc,114.33333333333333,1.0,0.018643437543038148,0.009732360097323601
TAO,GroundingDINO,0.2,coverage_conditional_parc,147.33333333333334,1.0,0.02456964006259781,0.017777777777777778
TAO,GroundingDINO,0.25,coverage_conditional_parc,150.0,1.0,0.02666666666666667,0.02
TAO,GroundingDINO,0.3,coverage_conditional_parc,150.0,1.0,0.02666666666666667,0.02
TAO,OWLv2,0.05,coverage_conditional_parc,0.0,0.0,0.0,
TAO,OWLv2,0.1,coverage_conditional_parc,0.0,0.0,0.0,
TAO,OWLv2,0.15,coverage_conditional_parc,0.0,0.0,0.0,
TAO,OWLv2,0.2,coverage_conditional_parc,0.0,0.0,0.0,
TAO,OWLv2,0.25,coverage_conditional_parc,0.0,0.0,0.0,
TAO,OWLv2,0.3,coverage_conditional_parc,0.0,0.0,0.0,
