candidate_id,structure_hash,n_sites,chgnet_energy_per_atom,mace_energy_per_atom,chgnet_score_status,mace_score_status,chgnet_error,mace_error,structure_source,score_order
wbm-1-10046,1eee9b6278779a803476ca781c17f8f283466cab7c821ae7f879431ac8f555e0,8,-5.258484363555908,-4.8102922439575195,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,1
wbm-1-10049,41cd5adb4955e6e1fbf96256fda52df8cdc509487f704fcb46243f09d757e359,10,-2.8679888248443604,-2.3999355316162108,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,2
wbm-1-10064,f1f8400459f24d781b23b9715909679dfb5b65f52630ca72b7bbff3547d05cb0,8,-3.5836312770843506,-3.146728992462158,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,3
wbm-1-10065,284c3473b048266570cd69442ff4e8f877e3891b9104c8b97b268f9c23db5c0f,8,-3.58200740814209,-3.1443467140197754,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,4
wbm-1-10137,56e833c93cecb0d7d246fde18d6f94222ea901a63573d79676f4a8a930264458,8,-5.23306941986084,-4.793094635009766,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,5
wbm-1-10154,16682921590c18a55d3ae92852f39bc9ea432c63eecfb0d530947b6b3735012e,8,-5.066871166229248,-4.6123738288879395,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,6
wbm-1-10155,044cea08be9902b9fdfdaf8289a9196b31585c3cbb168ba508b390b4a753bf31,8,-5.092705726623535,-4.635004997253418,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,7
wbm-1-10156,0073b6c7b6d8c8ed28255268a9ef3bbe8f8042cfce10bd334dfa5f2cdb5e5e49,8,-5.073868751525879,-4.6295976638793945,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,8
wbm-1-10169,c6fa446b22d6f46e7175bef4f9b436df763d617ebfdb5f099e0bf62ba6381d42,8,-3.6358182430267334,-3.2597737312316895,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,9
wbm-1-10175,82b05f8f280fa0122a4fdf892b90d7a32feff603bf08be10f3880ead68589447,8,-3.558156967163086,-3.111516237258911,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,10
wbm-1-10281,266f5497e665556b466a6ba57ee8c31a1ceba1243e41eb8c26a394b9126cacaa,8,-3.944357395172119,-3.55326771736145,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,11
wbm-1-10310,a09573a74f561a8b1120d663fb601637e612a508e012686d1bca70c9d58b9fbe,8,-6.291399002075195,-5.8794708251953125,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,12
wbm-1-10360,59484f78e74852627bc2d2fb94520df405d327f68d454811a43301bc5cabb3f3,10,-3.470953941345215,-3.1937726974487304,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,13
wbm-1-10361,3d70285e93a8c4067241ffefb2b64f9a832743bcad0a44c7e9347c0a8720b70e,10,-3.5159432888031006,-3.24267692565918,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,14
wbm-1-10364,1e964ef70ac850f4144402d2055494989a85d091c301c59718a84ab36f23954f,10,-5.045614719390869,-4.5645099639892575,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,15
wbm-1-10365,55404c2abf036cebe41df2b0fa5ed5438b3f8f411ab40ebc9380a49f9ab9a6df,10,-5.049884796142578,-4.592742919921875,scored,scored,,,local_private_WBM_raw_structure_cache_not_distributed,16
