domain,dataset,proposal_source,rho,alpha,K,seed,raw_topK_FTR,raw_topR_FTR,raw_topR_release_size,split_conformal_release_size,split_conformal_FTR,split_conformal_threshold,post_filter_e_threshold_release_size,post_filter_e_threshold_FTR,e_BH_full_pool_release_size,e_BH_full_pool_FTR,PARC_release_size,PARC_FTR,best_mass_ratio,self_consistency_margin,required_e,max_observed_e
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,0,0.29,0.0,54,300,0.29,0.2072852000000001,121,0.15702479338842976,0,,54,0.0,1.483235169249965,53.69279658332944,20.0,164.80390769444054
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,1,0.21666666666666667,0.019736842105263157,152,300,0.21666666666666667,0.2072852000000001,194,0.07731958762886598,0,,152,0.019736842105263157,3.020683540691117,0.6159172966629782,20.0,164.76455676497005
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,2,0.20333333333333334,0.029940119760479042,167,300,0.20333333333333334,0.2072852000000001,182,0.06043956043956044,0,,167,0.029940119760479042,3.5965003028948037,4.152143193841731,20.0,164.72520471273907
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,3,0.28,0.06493506493506493,77,300,0.28,0.2072852000000001,129,0.14728682170542637,0,,77,0.06493506493506493,1.6194108734509005,11.675370755429824,20.0,164.6858515373797
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,4,0.22,0.028846153846153848,104,300,0.22,0.2072852000000001,153,0.06535947712418301,0,,104,0.028846153846153848,2.662421266520972,5.063594605935826,20.0,164.6858515373797
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,5,0.21,0.015384615384615385,130,300,0.21,0.2072852000000001,204,0.09313725490196079,0,,130,0.015384615384615385,2.9080595054125316,2.5689545115308263,20.0,164.60714181580366
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,6,0.35,0.0,40,300,0.35,0.2072852000000001,89,0.06741573033707865,0,,40,0.0,1.0976433149234932,14.646497238523978,20.0,164.64649723852398
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,7,0.24,0.013333333333333334,75,300,0.24,0.2072852000000001,118,0.0423728813559322,0,,75,0.013333333333333334,1.896149971145558,9.703238970982923,20.0,164.88260618657026
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,8,0.3233333333333333,0.0,67,300,0.3233333333333333,0.2072852000000001,127,0.14960629921259844,0,,67,0.0,1.7296146494837603,0.06636922042538629,20.0,164.72520471273907
Materials discovery,Matbench Discovery WBM unique prototypes,CGCNN ensemble learned materials model,0.05,0.05,300,9,0.19,0.01,100,300,0.19,0.2072852000000001,143,0.027972027972027972,0,,100,0.01,2.305601921523316,2.7559022982435195,20.0,164.6858515373797
