domain,dataset,proposal_source,rho,epsilon_false_verified_positive,alpha,K,seed,observed_true_positives,false_links_injected_as_verified_positive,realized_verified_positive_contamination_rate,released,actual_FTR,violates_alpha,raw_topK_actual_FTR,mass_ratio,self_consistency_margin,max_observed_e,required_e,block_coverage,n_nonempty_null_cal_blocks
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,0,4176,0,0.0,0,0.0,False,0.076,0.8314115659984095,-1.3487074720127241,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,1,4176,0,0.0,0,0.0,False,0.208,0.6371938241811811,-3.7871208331818247,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,2,4176,0,0.0,0,0.0,False,0.087,0.5799927084404904,-4.61319106216118,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,3,4176,0,0.0,0,0.0,False,0.065,0.6584779602707403,-3.4497175730228244,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,4,4176,0,0.0,0,0.0,False,0.089,0.8287510489872146,-1.3743896549982777,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,5,4176,0,0.0,0,0.0,False,0.252,0.5454059872949566,-4.70159121787568,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,6,4176,0,0.0,0,0.0,False,0.018,0.8633377701327485,-1.0528677185458513,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,7,4176,0,0.0,0,0.0,False,0.08,0.6039373615412448,-4.361923331043561,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,8,4176,0,0.0,0,0.0,False,0.054,0.6997159739442614,-2.854410894065956,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,9,4176,0,0.0,0,0.0,False,0.124,0.5866440009684777,-4.597584520642021,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,10,4176,0,0.0,0,0.0,False,0.215,0.5001771981046431,-4.634172595194055,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,11,4176,0,0.0,0,0.0,False,0.344,0.4030683271960289,-4.705636475978231,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,12,4176,0,0.0,0,0.0,False,0.198,0.5134797831606177,-4.658423777767789,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,13,4176,0,0.0,0,0.0,False,0.114,0.8194392394480323,-1.4655905888958403,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,14,4176,0,0.0,0,0.0,False,0.116,0.7875130353136935,-1.7946534179586697,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,15,4176,0,0.0,0,0.0,False,0.079,0.5826532254516854,-4.10264164310704,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,16,4176,0,0.0,0,0.0,False,0.126,0.534763919250177,-4.597584520642021,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,17,4176,0,0.0,0,0.0,False,0.018,0.7316421780786003,-2.439616562921816,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,18,4176,0,0.0,0,0.0,False,0.306,0.44430634086955,-4.709557958401115,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.0,0.2,1000,19,4176,0,0.0,0,0.0,False,0.051,0.7449447631345749,-2.277278900584153,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.01,0.2,1000,0,4176,42,0.00995732574679943,860,0.03372093023255814,False,0.076,1.1440223148138113,0.8373390396151832,6.651292527987276,5.0,1.0,78
Biomedical cell tracking,Cell Tracking Challenge structured-link high-volume stress,GT-TRA noisy geometric linker,0.1,0.01,0.2,1000,1,4176,42,0.00995732574679943,0,0.0,False,0.208,0.8659982871439434,-1.0291990234720165,6.651292527987276,5.0,1.0,78
