source,rho,observed_positive_strategy,alpha,M,seeds,nonempty_seeds,released_mean,released_min,released_max,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topM_actual_FTR_mean,max_observed_e_mean,required_e,best_mass_ratio_mean,dominant_empty_reason
CTC learned-hybrid,0.05,top_score,0.1,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.05,top_score,0.1,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.05,top_score,0.1,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.05,top_score,0.1,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.05,top_score,0.1,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.05,top_score,0.1,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.05,top_score,0.2,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.05,top_score,0.2,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.05,top_score,0.2,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.05,top_score,0.2,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,0.05,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.05,top_score,0.2,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,0.1,top_score,0.1,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.1,top_score,0.1,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.1,top_score,0.1,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.1,top_score,0.1,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.1,top_score,0.1,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.1,top_score,0.1,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.1,top_score,0.2,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.1,top_score,0.2,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.1,top_score,0.2,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.1,top_score,0.2,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,0.1,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.1,top_score,0.2,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,0.25,top_score,0.1,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.25,top_score,0.1,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.25,top_score,0.1,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.25,top_score,0.1,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.25,top_score,0.1,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.25,top_score,0.1,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.25,top_score,0.2,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.25,top_score,0.2,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.25,top_score,0.2,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.25,top_score,0.2,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,0.25,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.25,top_score,0.2,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,0.5,top_score,0.1,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.5,top_score,0.1,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.5,top_score,0.1,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.5,top_score,0.1,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.5,top_score,0.1,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.337801129860021,
CTC learned-hybrid,0.5,top_score,0.1,300,20,20,300.0,300,300,0.0,0.0,0.0,0.0,0.0,13.378011298600208,10.0,1.3378011298600212,
CTC learned-hybrid,0.5,top_score,0.2,10,20,20,10.0,10,10,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.5,top_score,0.2,25,20,20,25.0,25,25,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.5,top_score,0.2,50,20,20,50.0,50,50,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
CTC learned-hybrid,0.5,top_score,0.2,75,20,20,75.0,75,75,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200424,
CTC learned-hybrid,0.5,top_score,0.2,100,20,20,100.0,100,100,0.0,0.0,0.0,0.0,0.0,13.378011298600208,5.0,2.6756022597200415,
