domain,dataset,proposal_source,alpha,K,rho,evaluation_label,baseline,prior_sensitivity_multiplier,release_size,actual_or_human_FTR,set_level_guarantee,uses_class_prior_or_correction,threshold_or_rule
Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,300,0.1,actual_DFT_stability,PU plug-in positive-vs-unlabeled classifier,0.8,0,0.0,no,Elkan-Noto c_hat with multiplier sensitivity,0.9
Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,300,0.1,actual_DFT_stability,PU plug-in positive-vs-unlabeled classifier,1.0,300,0.39666666666666667,no,Elkan-Noto c_hat with multiplier sensitivity,0.9
Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,300,0.1,actual_DFT_stability,PU plug-in positive-vs-unlabeled classifier,1.2,300,0.39666666666666667,no,Elkan-Noto c_hat with multiplier sensitivity,0.9
Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,300,0.1,actual_DFT_stability,Naive one-sided split conformal treating unverified as negative,,300,0.10666666666666667,no,no,0.14120149999999987
Materials discovery,Matbench Discovery WBM,CGCNN ensemble,0.1,300,0.1,actual_DFT_stability,Oracle full-label conformal prefix,,290,0.1,oracle_not_deployable_under_partial_verification,no,oracle_full_label_prefix
Biomedical cell tracking,CTC learned-hybrid held-out sequence,learned-hybrid appearance linker,0.1,300,0.1,held_out_GT_link_truth,PU plug-in positive-vs-unlabeled classifier,0.8,0,0.0,no,Elkan-Noto c_hat with multiplier sensitivity,0.9
Biomedical cell tracking,CTC learned-hybrid held-out sequence,learned-hybrid appearance linker,0.1,300,0.1,held_out_GT_link_truth,PU plug-in positive-vs-unlabeled classifier,1.0,300,0.0,no,Elkan-Noto c_hat with multiplier sensitivity,0.9
Biomedical cell tracking,CTC learned-hybrid held-out sequence,learned-hybrid appearance linker,0.1,300,0.1,held_out_GT_link_truth,PU plug-in positive-vs-unlabeled classifier,1.2,300,0.0,no,Elkan-Noto c_hat with multiplier sensitivity,0.9
Biomedical cell tracking,CTC learned-hybrid held-out sequence,learned-hybrid appearance linker,0.1,300,0.1,held_out_GT_link_truth,Naive one-sided split conformal treating unverified as negative,,300,0.0,no,no,0.9999999999684666
Biomedical cell tracking,CTC learned-hybrid held-out sequence,learned-hybrid appearance linker,0.1,300,0.1,held_out_GT_link_truth,Oracle full-label conformal prefix,,300,0.0,oracle_not_deployable_under_partial_verification,no,oracle_full_label_prefix
Ecological camera traps,iWildCam animal-present audited subset,GroundingDINO-SwinT animal-present fallback,0.2,50,0.5,human_audit_animal_present,PU plug-in positive-vs-unlabeled classifier,0.8,50,0.0,no,Elkan-Noto c_hat with multiplier sensitivity,0.8
Ecological camera traps,iWildCam animal-present audited subset,GroundingDINO-SwinT animal-present fallback,0.2,50,0.5,human_audit_animal_present,PU plug-in positive-vs-unlabeled classifier,1.0,50,0.0,no,Elkan-Noto c_hat with multiplier sensitivity,0.8
Ecological camera traps,iWildCam animal-present audited subset,GroundingDINO-SwinT animal-present fallback,0.2,50,0.5,human_audit_animal_present,PU plug-in positive-vs-unlabeled classifier,1.2,50,0.0,no,Elkan-Noto c_hat with multiplier sensitivity,0.8
Ecological camera traps,iWildCam animal-present audited subset,GroundingDINO-SwinT animal-present fallback,0.2,50,0.5,human_audit_animal_present,Naive one-sided split conformal treating unverified as negative,,50,0.0,no,no,0.9359781622886658
Ecological camera traps,iWildCam animal-present audited subset,GroundingDINO-SwinT animal-present fallback,0.2,50,0.5,human_audit_animal_present,Oracle full-label conformal prefix,,50,0.0,oracle_not_deployable_under_partial_verification,no,oracle_full_label_prefix
