domain,dataset,method,alpha,K,mean_release,realized_FTR_mean,set_level_release_guarantee_reported,certificate_type,respects_compatibility,uses_null_superset,uses_SCS_denominator,deployable,main_text_comparison_role,source_artifact,source_sha256,claim_boundary
Biomedical cell tracking,CTC learned-hybrid held-out sequence,Bao-style selective conformal adaptation,0.1,100,93.6,0.0,no,different_target,False,False,False,True,different_target_baseline,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Biomedical cell tracking,CTC learned-hybrid held-out sequence,Bao-style selective conformal oracle-label diagnostic,0.1,100,93.6,0.0,oracle_not_deployable_under_partial_verification,different_target,False,False,False,True,non_deployable_diagnostic,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Biomedical cell tracking,CTC learned-hybrid held-out sequence,Raw top-K source ranking,0.1,100,100.0,0.0,no,no_certificate,False,False,False,True,same_budget_empirical_baseline_no_certificate,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Biomedical cell tracking,CTC learned-hybrid held-out sequence,nnPU classifier release,0.1,100,100.0,0.0,no,different_target,False,False,False,True,different_target_baseline,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Ecological camera traps,iWildCam animal-present audited set,Bao-style selective conformal adaptation,0.1,100,80.4,0.0,no,different_target,False,False,False,True,different_target_baseline,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Ecological camera traps,iWildCam animal-present audited set,Bao-style selective conformal oracle-label diagnostic,0.1,100,96.95,0.0,oracle_not_deployable_under_partial_verification,different_target,False,False,False,True,non_deployable_diagnostic,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Ecological camera traps,iWildCam animal-present audited set,Raw top-K source ranking,0.1,100,100.0,0.0,no,no_certificate,False,False,False,True,same_budget_empirical_baseline_no_certificate,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Ecological camera traps,iWildCam animal-present audited set,nnPU classifier release,0.1,100,95.0,0.0,no,different_target,False,False,False,True,different_target_baseline,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Materials discovery,Matbench Discovery WBM,Bao-style selective conformal adaptation,0.1,100,97.0,0.028665970933828,no,different_target,False,False,False,True,different_target_baseline,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
Materials discovery,Matbench Discovery WBM,Bao-style selective conformal oracle-label diagnostic,0.1,100,97.0,0.028665970933828,oracle_not_deployable_under_partial_verification,different_target,False,False,False,True,non_deployable_diagnostic,outputs/milestones/baseline_matrix_final/table_baseline_risk_utility_frontier.csv,372048c8ff1fc610048a4e1dd2fe15b9d8aef58f029db75967d06d8c573531bd,risk-utility comparator; target-object differences must be stated for non-PARC baselines
