method,gamma,candidate_budget_M,max_e,count_e_ge_10,count_e_ge_11,count_e_ge_12,best_k,best_tau,best_margin,best_mass_ratio,released_unconstrained
null_superset_no_audit,0.1,25,19.332878755554418,25,25,25,25,10.0,9.332878755554418,1.933287875555442,True
null_superset_no_audit,0.1,50,19.332878755554418,50,50,50,50,10.0,9.332878755554418,1.933287875555442,True
null_superset_no_audit,0.1,100,19.332878755554418,100,100,100,100,10.0,9.332878755554418,1.933287875555442,True
null_superset_no_audit,0.1,150,19.332878755554418,126,106,106,106,14.150943396226413,5.181935359328005,1.3661900987258457,True
null_superset_no_audit,0.1,200,19.332878755554418,126,106,106,106,18.867924528301884,0.46495422725253377,1.0246425740443843,True
null_superset_no_audit,0.1,250,19.332878755554418,126,106,106,106,23.584905660377355,-4.252026904822937,0.8197140592355074,False
null_superset_no_audit,0.1,500,19.332878755554418,126,106,106,106,47.16981132075471,-8.695723914948912,0.4098570296177537,False
null_superset_no_audit,0.1,1000,19.332878755554418,126,106,106,106,94.33962264150942,-9.491829842658973,0.20492851480887686,False
null_superset_no_audit,0.15,25,21.645683931658454,25,25,25,25,10.0,11.645683931658454,2.1645683931658453,True
null_superset_no_audit,0.15,50,21.645683931658454,50,50,50,50,10.0,11.645683931658454,2.1645683931658453,True
null_superset_no_audit,0.15,100,21.645683931658454,100,100,100,100,10.0,11.645683931658454,2.1645683931658453,True
null_superset_no_audit,0.15,150,21.645683931658454,126,126,126,106,14.150943396226413,7.49474053543204,1.529628331170531,True
null_superset_no_audit,0.15,200,21.645683931658454,126,126,126,106,18.867924528301884,2.777759403356569,1.1472212483778983,True
null_superset_no_audit,0.15,250,21.645683931658454,126,126,126,106,23.584905660377355,-1.939221728718902,0.9177769987023185,False
null_superset_no_audit,0.15,500,21.645683931658454,126,126,126,106,47.16981132075471,-8.303726738517787,0.4588884993511593,False
null_superset_no_audit,0.15,1000,21.645683931658454,126,126,126,106,94.33962264150942,-9.303569656147953,0.22944424967557964,False
null_superset_no_audit,0.2,25,21.54237469607837,25,25,25,25,10.0,11.542374696078369,2.154237469607837,True
null_superset_no_audit,0.2,50,21.54237469607837,50,50,50,50,10.0,11.542374696078369,2.154237469607837,True
null_superset_no_audit,0.2,100,21.54237469607837,100,100,100,100,10.0,11.542374696078369,2.154237469607837,True
null_superset_no_audit,0.2,150,21.54237469607837,126,126,126,106,14.150943396226413,7.391431299851956,1.522327811856205,True
null_superset_no_audit,0.2,200,21.54237469607837,126,126,126,106,18.867924528301884,2.6744501677764845,1.1417458588921536,True
null_superset_no_audit,0.2,250,21.54237469607837,126,126,126,106,23.584905660377355,-2.0425309642989866,0.9133966871137229,False
null_superset_no_audit,0.2,500,21.54237469607837,126,126,126,106,47.16981132075471,-8.039036189007275,0.45669834355686145,False
null_superset_no_audit,0.2,1000,21.54237469607837,126,126,126,106,94.33962264150942,-9.151613613701196,0.22834917177843073,False
null_superset_no_audit,0.25,25,20.09958612064346,25,25,25,25,10.0,10.099586120643458,2.009958612064346,True
null_superset_no_audit,0.25,50,20.09958612064346,50,50,50,50,10.0,10.099586120643458,2.009958612064346,True
null_superset_no_audit,0.25,100,20.09958612064346,100,100,100,100,10.0,10.099586120643458,2.009958612064346,True
null_superset_no_audit,0.25,150,20.09958612064346,126,126,106,106,14.150943396226413,5.948642724417045,1.4203707525254712,True
null_superset_no_audit,0.25,200,20.09958612064346,126,126,106,106,18.867924528301884,1.231661592341574,1.0652780643941033,True
null_superset_no_audit,0.25,250,20.09958612064346,126,126,106,106,23.584905660377355,-2.933883820095372,0.8522224515152828,False
null_superset_no_audit,0.25,500,20.09958612064346,126,126,106,106,47.16981132075471,-7.8747275228983105,0.4261112257576414,False
null_superset_no_audit,0.25,1000,20.09958612064346,126,126,106,106,94.33962264150942,-9.031095499879706,0.2130556128788207,False
null_superset_no_audit,0.3,25,18.003290408040247,25,25,25,25,10.0,8.003290408040247,1.8003290408040247,True
null_superset_no_audit,0.3,50,18.003290408040247,50,50,50,50,10.0,8.003290408040247,1.8003290408040247,True
null_superset_no_audit,0.3,100,18.003290408040247,100,100,100,100,10.0,8.003290408040247,1.8003290408040247,True
null_superset_no_audit,0.3,150,18.003290408040247,126,126,106,106,14.150943396226413,3.8523470118138334,1.2722325221681776,True
null_superset_no_audit,0.3,200,18.003290408040247,126,126,106,106,18.867924528301884,-0.8646341202616377,0.9541743916261332,False
null_superset_no_audit,0.3,250,18.003290408040247,126,126,106,106,23.584905660377355,-3.2181892617792753,0.7633395133009065,False
null_superset_no_audit,0.3,500,18.003290408040247,126,126,106,106,47.16981132075471,-7.788785415854368,0.3816697566504533,False
null_superset_no_audit,0.3,1000,18.003290408040247,126,126,106,106,94.33962264150942,-8.93771881810724,0.19083487832522664,False
null_superset_no_audit,0.35,25,15.677694700579334,25,25,25,25,10.0,5.677694700579334,1.5677694700579334,True
null_superset_no_audit,0.35,50,15.677694700579334,50,50,50,50,10.0,5.677694700579334,1.5677694700579334,True
null_superset_no_audit,0.35,100,15.677694700579334,100,100,100,100,10.0,5.677694700579334,1.5677694700579334,True
null_superset_no_audit,0.35,150,15.677694700579334,106,106,106,106,14.150943396226413,1.5267513043529206,1.1078904255076063,True
null_superset_no_audit,0.35,200,15.677694700579334,106,106,106,106,18.867924528301884,-3.1902298277225505,0.8309178191307047,False
null_superset_no_audit,0.35,250,15.677694700579334,106,106,106,106,23.584905660377355,-3.6730380976268417,0.6647342553045639,False
null_superset_no_audit,0.35,500,15.677694700579334,106,106,106,106,47.16981132075471,-7.763274413520795,0.33236712765228194,False
