method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.5,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,11.169153951844516,9.313968005098578,10.0,True,9.313968005098578,6.861704787489692,250,250,0,0,0,0,0,0,0.0,,0,1216,,,249,10.04016064257028,-5.383176640020991,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.5,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,11.169153951844516,9.313968005098578,10.0,True,9.313968005098578,4.764883815828181,500,500,0,0,0,0,0,0,0.0,,0,1216,,,500,10.0,-7.917333440034147,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.5,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,11.169153951844516,9.313968005098578,10.0,True,9.313968005098578,3.1778783235672874,1000,1000,0,0,0,0,0,0,0.0,,0,1216,,,1000,10.0,-8.766334800457837,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.5,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,11.169153951844516,9.313968005098578,10.0,True,9.313968005098578,2.07434651660365,2000,2000,0,0,0,0,0,0,0.0,,0,1216,,,2000,10.0,-9.20714239083818,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.17095990351369836,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,29.493601004141784,21.823743917268036,10.0,True,21.823743917268036,13.86240374102334,250,250,0,0,0,0,0,0,0.0,,0,1216,,,106,23.584905660377355,-1.7611617431093194,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.17095990351369836,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,29.493601004141784,21.823743917268036,10.0,True,21.823743917268036,8.330266591016448,500,500,0,0,0,0,0,0,0.0,,0,1216,,,500,10.0,-8.17894432437517,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.17095990351369836,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,29.493601004141784,21.823743917268036,10.0,True,21.823743917268036,4.7562952056560635,1000,1000,0,0,0,0,0,0,0.0,,0,1216,,,1000,10.0,-9.235744457163053,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,498,346,152,346,346,346,152,0,0.17095990351369836,0.17095990351369836,0.002004008016032,0.002881844380403458,0.002881844380403458,29.493601004141784,21.823743917268036,10.0,True,21.823743917268036,2.6372819040998494,2000,2000,0,0,0,0,0,0,0.0,,0,1216,,,2000,10.0,-9.632816047289358,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,498,335,163,335,335,335,163,0,0.17190663415246227,0.17190663415246227,0.002004008016032,0.002976190476190476,0.002976190476190476,29.483008615471164,21.2489479459056,10.0,True,21.2489479459056,13.502312639146679,250,250,0,0,0,0,0,0,0.0,,42,1174,,,106,23.584905660377355,-2.335957714471757,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.1,final_score_proxy,498,335,163,335,335,335,163,0,0.17190663415246227,0.17190663415246227,0.002004008016032,0.002976190476190476,0.002976190476190476,29.483008615471164,21.2489479459056,10.0,True,21.2489479459056,8.146328179365613,500,500,0,0,0,0,0,0,0.0,,42,1174,,,500,10.0,-8.1447174529559,,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
