dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source
OVT-B,98,ovtb_v98_p002960,test,bear,70,0.951215020247868,0.951215020247868,0.951215020247868,7,0.8571428571428571,0,549,7,1,False,1928.0,0.9818915719388016,0.8571428571428571,6,True,False,,no,cat:70,unknown,bear,unknown,global,0,final_score_proxy
OVT-B,800,ovtb_v800_p007871,cal,woodpecker,1043,0.9352359622716904,0.9352359622716904,0.9352359622716904,8,0.875,0,13,8,2,False,6330.0,0.94977016860633,1.0,8,True,False,,no,cat:1043,unknown,woodpecker,unknown,global,0,final_score_proxy
OVT-B,684,ovtb_v684_p007031,tune,minivan,590,0.9299633502960204,0.9299633502960204,0.9299633502960204,8,0.875,0,14,8,3,False,5611.0,0.9417778471333688,1.0,8,True,False,,no,cat:590,unknown,minivan,unknown,global,0,final_score_proxy
OVT-B,99,ovtb_v99_p002961,tune,bear,70,0.923317531744639,0.923317531744639,0.923317531744639,3,0.6666666666666666,0,471,3,4,False,1931.0,0.9629665623615132,1.0,3,True,False,,no,cat:70,unknown,bear,unknown,global,0,final_score_proxy
OVT-B,342,ovtb_v342_p004580,test,sunglasses,900,0.9201071858406068,0.9201071858406068,0.9201071858406068,1,0.0,2,2,1,5,False,3408.0,0.5745836617949662,1.0,1,True,False,,no,cat:900,unknown,sunglasses,unknown,global,0,final_score_proxy
OVT-B,353,ovtb_v353_p004658,test,person,669,0.9158942997455596,0.9158942997455596,0.9158942997455596,8,0.875,0,24,8,6,False,3494.0,0.9893936870502954,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,179,ovtb_v179_p003418,cal,person,669,0.9143435582518578,0.9143435582518578,0.9143435582518578,8,0.875,0,24,8,7,False,2326.0,0.9827760689328732,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,886,ovtb_v886_p008549,cal,person,669,0.913140244781971,0.913140244781971,0.913140244781971,8,0.875,0,19,8,8,False,6861.0,0.9869568602804348,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,342,ovtb_v342_p004579,test,sunglasses,900,0.9125274845532008,0.9125274845532008,0.9125274845532008,7,0.8571428571428571,0,15,7,9,False,3408.0,0.8304087723025503,1.0,7,True,False,,no,cat:900,unknown,sunglasses,unknown,global,0,final_score_proxy
OVT-B,741,ovtb_v741_p007377,test,person,669,0.9114936664700508,0.9114936664700508,0.9114936664700508,8,0.875,0,19,8,10,False,5936.0,0.9847376691099085,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,941,ovtb_v941_p008969,test,person,669,0.91105654835701,0.91105654835701,0.91105654835701,8,0.875,0,14,8,11,False,7210.0,0.9756581964738448,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
OVT-B,609,ovtb_v609_p006447,test,person,669,0.9103550016880037,0.9103550016880037,0.9103550016880037,8,0.875,0,18,8,12,False,5152.0,0.9904242050298384,1.0,8,True,False,,no,cat:669,unknown,person,unknown,global,0,final_score_proxy
