method,candidate_budget_M,alpha1,num_candidates,max_e,e_p99,e_p95,e_p90,count_e_ge_10,count_e_ge_11,count_e_ge_12,best_k_unconstrained,best_tau_unconstrained,best_margin_unconstrained,best_mass_ratio_unconstrained,released_unconstrained,empty_reason
null_superset_no_audit,25,0.1,25,21.82374391726804,21.82374391726804,21.82374391726804,21.82374391726804,25,25,25,25,10.0,11.82374391726804,2.182374391726804,True,
null_superset_no_audit,50,0.1,50,21.82374391726804,21.82374391726804,21.82374391726804,21.82374391726804,50,50,50,50,10.0,11.82374391726804,2.182374391726804,True,
null_superset_no_audit,100,0.1,100,21.82374391726804,21.82374391726804,21.82374391726804,21.82374391726804,100,100,100,100,10.0,11.82374391726804,2.182374391726804,True,
null_superset_no_audit,150,0.1,150,21.82374391726804,21.82374391726804,21.82374391726804,21.82374391726804,126,126,126,106,14.150943396226413,7.672800521041626,1.542211236820275,True,
null_superset_no_audit,200,0.1,200,21.82374391726804,21.82374391726804,21.82374391726804,21.82374391726804,126,126,126,106,18.867924528301884,2.9558193889661553,1.1566584276152063,True,
null_superset_no_audit,250,0.1,250,21.82374391726804,21.82374391726804,21.82374391726804,21.82374391726804,126,126,126,106,23.584905660377355,-1.7611617431093158,0.9253267420921649,False,insufficient_high_e_mass_for_uniform_scs
parc_track_gamma_tuned_uniform_scs,25,0.1,25,21.2489479459056,21.2489479459056,21.2489479459056,21.2489479459056,25,25,25,25,10.0,11.248947945905599,2.12489479459056,True,
parc_track_gamma_tuned_uniform_scs,50,0.1,50,21.2489479459056,21.2489479459056,21.2489479459056,21.2489479459056,50,50,50,50,10.0,11.248947945905599,2.12489479459056,True,
parc_track_gamma_tuned_uniform_scs,100,0.1,100,21.2489479459056,21.2489479459056,21.2489479459056,21.2489479459056,100,100,100,100,10.0,11.248947945905599,2.12489479459056,True,
parc_track_gamma_tuned_uniform_scs,150,0.1,150,21.2489479459056,21.2489479459056,21.2489479459056,21.2489479459056,126,126,106,106,14.150943396226413,7.098004549679185,1.5015923215106626,True,
parc_track_gamma_tuned_uniform_scs,200,0.1,200,21.2489479459056,21.2489479459056,21.2489479459056,21.2489479459056,126,126,106,106,18.867924528301884,2.381023417603714,1.1261942411329968,True,
parc_track_gamma_tuned_uniform_scs,250,0.1,250,21.2489479459056,21.2489479459056,21.2489479459056,21.2489479459056,126,126,106,106,23.584905660377355,-2.335957714471757,0.9009553929063975,False,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,25,0.1,25,9.313968005098578,9.313968005098578,9.313968005098578,9.313968005098578,0,0,0,25,10.0,-0.6860319949014215,0.9313968005098578,False,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,50,0.1,50,9.313968005098578,9.313968005098578,9.313968005098578,9.313968005098578,0,0,0,50,10.0,-0.6860319949014215,0.9313968005098578,False,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,100,0.1,100,9.313968005098578,9.313968005098578,9.313968005098578,9.313968005098578,0,0,0,100,10.0,-0.6860319949014215,0.9313968005098578,False,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,150,0.1,150,9.313968005098578,9.313968005098578,9.313968005098578,9.313968005098578,0,0,0,106,14.150943396226413,-4.622578065032774,0.6581870723602996,False,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,200,0.1,200,9.313968005098578,9.313968005098578,9.313968005098578,9.313968005098578,0,0,0,106,18.867924528301884,-5.343015997450711,0.4936403042702247,False,insufficient_high_e_mass_for_uniform_scs
unmatched_as_false_block,250,0.1,250,9.313968005098578,9.313968005098578,9.313968005098578,9.313968005098578,0,0,0,249,10.04016064257028,-5.383176640020991,0.4638356066539092,False,insufficient_high_e_mass_for_uniform_scs
