alpha,seed,M,released,official_GT_FTR,partial_UTR_seen_by_PARC,raw_topM_official_GT_FTR,raw_topM_partial_unsupported_rate,n_cal_blocks,n_nonempty_null_cal_blocks,p_min_effective,gamma,emax_effective,required_emax,max_observed_e,best_mass_ratio,tau_k,self_consistency_margin,empty_reason
0.1,0,25,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,0,50,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,0,75,0,0.0,0.0,0.0,0.04,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.47682516765007743,,,resolution_below_required_emax
0.1,0,100,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.3576188757375581,,,resolution_below_required_emax
0.2,0,25,25,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,0,50,50,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,0,75,0,0.0,0.0,0.0,0.04,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.9536503353001549,,,insufficient_high_e_mass_for_uniform_scs
0.2,0,100,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.7152377514751161,,,insufficient_high_e_mass_for_uniform_scs
0.1,1,25,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,1,50,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.5818883401831454,,,resolution_below_required_emax
0.1,1,75,0,0.0,0.0,0.0,0.06666666666666667,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.38792556012209695,,,resolution_below_required_emax
0.1,1,100,0,0.0,0.0,0.0,0.15,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.2909441700915727,,,resolution_below_required_emax
0.2,1,25,25,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,1,50,48,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.1637766803662908,5.208333333333332,0.8530035435744319,
0.2,1,75,0,0.0,0.0,0.0,0.06666666666666667,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.7758511202441939,,,insufficient_high_e_mass_for_uniform_scs
0.2,1,100,0,0.0,0.0,0.0,0.15,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.5818883401831454,,,insufficient_high_e_mass_for_uniform_scs
0.1,2,25,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,2,50,0,0.0,0.0,0.0,0.02,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.5576429926755143,,,resolution_below_required_emax
0.1,2,75,0,0.0,0.0,0.0,0.10666666666666667,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.3717619951170096,,,resolution_below_required_emax
0.1,2,100,0,0.0,0.0,0.01,0.15,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.27882149633775716,,,resolution_below_required_emax
0.2,2,25,25,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,2,50,46,0.0,0.0,0.0,0.02,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.1152859853510286,5.434782608695651,0.6265542682121126,
0.2,2,75,0,0.0,0.0,0.0,0.10666666666666667,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.7435239902340192,,,insufficient_high_e_mass_for_uniform_scs
0.2,2,100,0,0.0,0.0,0.01,0.15,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.5576429926755143,,,insufficient_high_e_mass_for_uniform_scs
0.1,3,25,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,3,50,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.594011013936961,,,resolution_below_required_emax
0.1,3,75,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.39600734262464066,,,resolution_below_required_emax
0.1,3,100,0,0.0,0.0,0.01,0.09,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.2970055069684805,,,resolution_below_required_emax
0.2,3,25,25,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,3,50,49,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.188022027873922,5.1020408163265305,0.9592960605812335,
0.2,3,75,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.7920146852492813,,,insufficient_high_e_mass_for_uniform_scs
0.2,3,100,0,0.0,0.0,0.01,0.09,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.594011013936961,,,insufficient_high_e_mass_for_uniform_scs
0.1,4,25,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,4,50,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,4,75,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.49298873265516485,,,resolution_below_required_emax
0.1,4,100,0,0.0,0.0,0.0,0.12,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.36974154949137367,,,resolution_below_required_emax
0.2,4,25,25,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,4,50,50,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,4,75,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.9859774653103297,,,insufficient_high_e_mass_for_uniform_scs
0.2,4,100,0,0.0,0.0,0.0,0.12,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.7394830989827473,,,insufficient_high_e_mass_for_uniform_scs
0.1,5,25,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,5,50,0,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.6061336876907764,,,resolution_below_required_emax
0.1,5,75,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.46066160264499006,,,resolution_below_required_emax
0.1,5,100,0,0.0,0.0,0.0,0.13,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,10.0,6.061336876907764,0.3454962019837426,,,resolution_below_required_emax
0.2,5,25,25,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,5,50,50,0.0,0.0,0.0,0.0,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,1.2122673753815527,5.0,1.061336876907764,
0.2,5,75,0,0.0,0.0,0.0,0.08,69,69,0.014285714285714285,0.23537745555238682,6.061336876907764,5.0,6.061336876907764,0.9213232052899801,,,insufficient_high_e_mass_for_uniform_scs
