audit_id,sample_set,aoi,video_id,source_year,source_month,target_year,target_month,source_building_id,target_building_id,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,path_id,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
REL-000001,release_audit,L15-0571E-1075N_2287_3888_13,95,2018,4,2018,7,4942,4942,1.0,1.0,1.0,1.0,SN7::L15-0571E-1075N_2287_3888_13::2018-04->2018-07::4942->4942::6b77164be3b56d62->6b77164be3b56d62,,,,,
REL-000002,release_audit,L15-0614E-0946N_2459_4406_13,130,2019,11,2020,1,16541,16541,1.0,1.0,1.0,1.0,SN7::L15-0614E-0946N_2459_4406_13::2019-11->2020-01::16541->16541::6683fa3ff167c34e->6683fa3ff167c34e,,,,,
REL-000003,release_audit,L15-0457E-1135N_1831_3648_13,60,2019,3,2019,4,4483,4483,1.0,1.0,1.0,1.0,SN7::L15-0457E-1135N_1831_3648_13::2019-03->2019-04::4483->4483::63730b339df1f250->63730b339df1f250,,,,,
REL-000004,release_audit,L15-0586E-1127N_2345_3680_13,111,2018,11,2018,12,5351,5351,1.0,1.0,1.0,1.0,SN7::L15-0586E-1127N_2345_3680_13::2018-11->2018-12::5351->5351::b565d7da6851ffe0->b565d7da6851ffe0,,,,,
REL-000005,release_audit,L15-0544E-1228N_2176_3279_13,83,2019,3,2019,4,7237,7237,1.0,1.0,1.0,1.0,SN7::L15-0544E-1228N_2176_3279_13::2019-03->2019-04::7237->7237::e27f786efc7d999a->e27f786efc7d999a,,,,,
REL-000006,release_audit,L15-0614E-0946N_2459_4406_13,126,2018,11,2018,12,452,452,1.0,1.0,1.0,1.0,SN7::L15-0614E-0946N_2459_4406_13::2018-11->2018-12::452->452::2408ebf7fb3208ce->2408ebf7fb3208ce,,,,,
REL-000007,release_audit,L15-0361E-1300N_1446_2989_13,25,2018,1,2018,2,1363,1363,1.0,1.0,1.0,1.0,SN7::L15-0361E-1300N_1446_2989_13::2018-01->2018-02::1363->1363::c07614010e11485f->c07614010e11485f,,,,,
REL-000008,release_audit,L15-0544E-1228N_2176_3279_13,79,2018,2,2018,3,7033,7033,1.0,1.0,1.0,1.0,SN7::L15-0544E-1228N_2176_3279_13::2018-02->2018-03::7033->7033::bdc3ec50d11f1965->bdc3ec50d11f1965,,,,,
REL-000009,release_audit,L15-0358E-1220N_1433_3310_13,20,2018,11,2018,12,2109,2109,1.0,1.0,1.0,1.0,SN7::L15-0358E-1220N_1433_3310_13::2018-11->2018-12::2109->2109::f290b0b04571ec40->f290b0b04571ec40,,,,,
REL-000010,release_audit,L15-0457E-1135N_1831_3648_13,60,2019,3,2019,4,10949,10949,1.0,1.0,1.0,1.0,SN7::L15-0457E-1135N_1831_3648_13::2019-03->2019-04::10949->10949::470461ba86a22a73->470461ba86a22a73,,,,,
REL-000011,release_audit,L15-0506E-1204N_2027_3374_13,75,2019,3,2019,4,105,105,1.0,1.0,1.0,1.0,SN7::L15-0506E-1204N_2027_3374_13::2019-03->2019-04::105->105::2e58a43c2010e1a3->2e58a43c2010e1a3,,,,,
REL-000012,release_audit,L15-0368E-1245N_1474_3210_13,35,2018,9,2018,10,7043,7043,1.0,1.0,1.0,1.0,SN7::L15-0368E-1245N_1474_3210_13::2018-09->2018-10::7043->7043::0bee23986d13e1d4->0bee23986d13e1d4,,,,,
REL-000013,release_audit,L15-0586E-1127N_2345_3680_13,113,2019,6,2019,7,4255,4255,1.0,1.0,1.0,1.0,SN7::L15-0586E-1127N_2345_3680_13::2019-06->2019-07::4255->4255::0dc90579beb60039->0dc90579beb60039,,,,,
REL-000014,release_audit,L15-0357E-1223N_1429_3296_13,9,2018,1,2018,2,3705,3705,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2018-01->2018-02::3705->3705::7d7cbe813077846f->7d7cbe813077846f,,,,,
REL-000015,release_audit,L15-0577E-1243N_2309_3217_13,103,2018,10,2018,11,3032,3032,1.0,1.0,1.0,1.0,SN7::L15-0577E-1243N_2309_3217_13::2018-10->2018-11::3032->3032::df130cd83c4c5afe->df130cd83c4c5afe,,,,,
REL-000016,release_audit,L15-0361E-1300N_1446_2989_13,30,2019,5,2019,6,635,635,1.0,1.0,1.0,1.0,SN7::L15-0361E-1300N_1446_2989_13::2019-05->2019-06::635->635::fd32848ce0735180->fd32848ce0735180,,,,,
REL-000017,release_audit,L15-0357E-1223N_1429_3296_13,15,2019,9,2019,10,2590,2590,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2019-09->2019-10::2590->2590::49bbe5ef23e4f531->49bbe5ef23e4f531,,,,,
REL-000018,release_audit,L15-0595E-1278N_2383_3079_13,121,2019,5,2019,6,1422,1422,1.0,1.0,1.0,1.0,SN7::L15-0595E-1278N_2383_3079_13::2019-05->2019-06::1422->1422::04451ee3c15fe07c->04451ee3c15fe07c,,,,,
