alpha,seed,M,released,official_GT_FTR,partial_UTR_seen_by_PARC,raw_topM_official_GT_FTR,raw_topM_partial_unsupported_rate,n_cal_blocks,n_nonempty_null_cal_blocks,p_min_effective,gamma,emax_effective,required_emax,max_observed_e,best_mass_ratio,tau_k,self_consistency_margin,empty_reason,failure_mode,evidence_gap,mass_ratio_gap_to_one
0.2,0,100,0,0.0,0.0,0.0,0.08,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.7152377514751161,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.28476224852488385
0.2,1,100,0,0.0,0.0,0.0,0.15,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.5818883401831454,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.4181116598168546
0.2,2,100,0,0.0,0.0,0.01,0.15,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.5576429926755143,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.4423570073244857
0.2,3,100,0,0.0,0.0,0.01,0.09,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.594011013936961,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.405988986063039
0.2,4,100,0,0.0,0.0,0.0,0.12,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.7394830989827473,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.26051690101725267
0.2,5,100,0,0.0,0.0,0.0,0.13,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.6909924039674852,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.3090075960325148
0.2,6,100,0,0.0,0.0,0.0,0.12,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.7394830989827473,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.26051690101725267
0.2,7,100,0,0.0,0.0,0.0,0.12,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.666747056459854,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.333252943540146
0.2,8,100,0,0.0,0.0,0.0,0.09,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.7637284464903783,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.2362715535096217
0.2,9,100,0,0.0,0.0,0.0,0.16,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.7637284464903783,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.2362715535096217
0.2,10,100,0,0.0,0.0,0.01,0.09,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.4242935813835434,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.5757064186164567
0.2,11,100,0,0.0,0.0,0.0,0.13,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.5455203189216988,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.45447968107830117
0.2,12,100,0,0.0,0.0,0.01,0.1,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.5455203189216988,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.45447968107830117
0.2,13,100,0,0.0,0.0,0.0,0.1,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.7152377514751161,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.28476224852488385
0.2,14,100,0,0.0,0.0,0.0,0.06,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.4727842763988056,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.5272157236011944
0.2,15,100,0,0.0,0.0,0.0,0.12,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.6546243827060385,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.3453756172939615
0.2,16,100,0,0.0,0.0,0.0,0.08,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.6909924039674852,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.3090075960325148
0.2,17,100,0,0.0,0.0,0.01,0.18,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.5576429926755143,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.4423570073244857
0.2,18,100,0,0.0,0.0,0.01,0.08,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.6546243827060385,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.3453756172939615
0.2,19,100,0,0.0,0.0,0.0,0.12,69,69,0.0142857142857142,0.2353774555523868,6.061336876907764,5.0,6.061336876907764,0.6303790351984074,,,insufficient_high_e_mass_for_uniform_scs,mass_ratio_below_one,-1.061336876907764,0.36962096480159257
