audit_id,sample_set,aoi,video_id,source_year,source_month,target_year,target_month,source_building_id,target_building_id,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,path_id,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
RAW-000001,raw_topk_audit,L15-0361E-1300N_1446_2989_13,28,2018,12,2019,1,2680,2680,1.0,1.0,1.0,1.0,SN7::L15-0361E-1300N_1446_2989_13::2018-12->2019-01::2680->2680::8ddc5e17292c87f1->8ddc5e17292c87f1,,,,,
RAW-000002,raw_topk_audit,L15-0614E-0946N_2459_4406_13,130,2019,11,2020,1,918,918,1.0,1.0,1.0,1.0,SN7::L15-0614E-0946N_2459_4406_13::2019-11->2020-01::918->918::0e75bc3f41e52bb3->0e75bc3f41e52bb3,,,,,
RAW-000003,raw_topk_audit,L15-0571E-1075N_2287_3888_13,99,2019,9,2019,11,16838,16838,1.0,1.0,1.0,1.0,SN7::L15-0571E-1075N_2287_3888_13::2019-09->2019-11::16838->16838::414353513d50d751->414353513d50d751,,,,,
RAW-000004,raw_topk_audit,L15-0571E-1075N_2287_3888_13,97,2019,2,2019,3,10691,10691,1.0,1.0,1.0,1.0,SN7::L15-0571E-1075N_2287_3888_13::2019-02->2019-03::10691->10691::975e3adfccc3b8a3->975e3adfccc3b8a3,,,,,
RAW-000005,raw_topk_audit,L15-0368E-1245N_1474_3210_13,36,2019,1,2019,2,6879,6879,1.0,1.0,1.0,1.0,SN7::L15-0368E-1245N_1474_3210_13::2019-01->2019-02::6879->6879::c9a52a9acb6f02cd->c9a52a9acb6f02cd,,,,,
RAW-000006,raw_topk_audit,L15-0368E-1245N_1474_3210_13,36,2018,12,2019,1,772,772,1.0,1.0,1.0,1.0,SN7::L15-0368E-1245N_1474_3210_13::2018-12->2019-01::772->772::3d52e529ae221360->3d52e529ae221360,,,,,
RAW-000007,raw_topk_audit,L15-0457E-1135N_1831_3648_13,56,2018,2,2018,3,6015,6015,1.0,1.0,1.0,1.0,SN7::L15-0457E-1135N_1831_3648_13::2018-02->2018-03::6015->6015::40fb1b71bda1ebcd->40fb1b71bda1ebcd,,,,,
RAW-000008,raw_topk_audit,L15-0614E-0946N_2459_4406_13,125,2018,6,2018,7,1446,1446,1.0,1.0,1.0,1.0,SN7::L15-0614E-0946N_2459_4406_13::2018-06->2018-07::1446->1446::134beef6ed0db9c7->134beef6ed0db9c7,,,,,
RAW-000009,raw_topk_audit,L15-0614E-0946N_2459_4406_13,125,2018,6,2018,7,6711,6711,1.0,1.0,1.0,1.0,SN7::L15-0614E-0946N_2459_4406_13::2018-06->2018-07::6711->6711::6599086f20d52bd4->6599086f20d52bd4,,,,,
RAW-000010,raw_topk_audit,L15-0457E-1135N_1831_3648_13,56,2018,1,2018,2,3713,3713,1.0,1.0,1.0,1.0,SN7::L15-0457E-1135N_1831_3648_13::2018-01->2018-02::3713->3713::efac1837598747d9->efac1837598747d9,,,,,
