audit_id,sample_set,aoi,video_id,source_year,source_month,target_year,target_month,source_building_id,target_building_id,bbox_iou,centroid_distance_score,area_ratio,base_geometry_score,path_id,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
CAL-000001,calibration_audit,L15-0331E-1257N_1327_3160_13,1,2018,3,2018,4,811,811,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2018-03->2018-04::811->811::2a7a5a218d51b3a6->2a7a5a218d51b3a6,,,,,
CAL-000002,calibration_audit,L15-0331E-1257N_1327_3160_13,2,2018,5,2018,6,1273,1273,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2018-05->2018-06::1273->1273::f5d9bc838143caa1->f5d9bc838143caa1,,,,,
CAL-000003,calibration_audit,L15-0331E-1257N_1327_3160_13,3,2018,8,2018,9,657,657,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2018-08->2018-09::657->657::5aa3f7f262c7ffe0->5aa3f7f262c7ffe0,,,,,
CAL-000004,calibration_audit,L15-0331E-1257N_1327_3160_13,4,2018,12,2019,1,436,436,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2018-12->2019-01::436->436::60ff7ccd2893d1c7->60ff7ccd2893d1c7,,,,,
CAL-000005,calibration_audit,L15-0331E-1257N_1327_3160_13,5,2019,2,2019,3,1596,1596,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2019-02->2019-03::1596->1596::e6261b803e85eb50->e6261b803e85eb50,,,,,
CAL-000006,calibration_audit,L15-0331E-1257N_1327_3160_13,6,2019,4,2019,5,382,382,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2019-04->2019-05::382->382::9efe729279f1bb97->9efe729279f1bb97,,,,,
CAL-000007,calibration_audit,L15-0331E-1257N_1327_3160_13,7,2019,8,2019,9,1910,1910,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2019-08->2019-09::1910->1910::7bb57b14d6189910->7bb57b14d6189910,,,,,
CAL-000008,calibration_audit,L15-0331E-1257N_1327_3160_13,8,2019,10,2019,11,1163,1163,1.0,1.0,1.0,1.0,SN7::L15-0331E-1257N_1327_3160_13::2019-10->2019-11::1163->1163::a609be0d1ba71cf9->a609be0d1ba71cf9,,,,,
CAL-000009,calibration_audit,L15-0357E-1223N_1429_3296_13,9,2018,1,2018,2,3705,3705,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2018-01->2018-02::3705->3705::7d7cbe813077846f->7d7cbe813077846f,,,,,
CAL-000010,calibration_audit,L15-0357E-1223N_1429_3296_13,10,2018,6,2018,7,2413,2413,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2018-06->2018-07::2413->2413::caff4c2e56788065->caff4c2e56788065,,,,,
CAL-000011,calibration_audit,L15-0357E-1223N_1429_3296_13,11,2018,7,2018,8,25,25,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2018-07->2018-08::25->25::ccdc08a71d7b1f9e->ccdc08a71d7b1f9e,,,,,
CAL-000012,calibration_audit,L15-0357E-1223N_1429_3296_13,12,2018,12,2019,1,3526,3526,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2018-12->2019-01::3526->3526::389a035446756e00->389a035446756e00,,,,,
CAL-000013,calibration_audit,L15-0357E-1223N_1429_3296_13,13,2019,3,2019,4,1951,1951,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2019-03->2019-04::1951->1951::5008b8d003c31682->5008b8d003c31682,,,,,
CAL-000014,calibration_audit,L15-0357E-1223N_1429_3296_13,14,2019,6,2019,7,482,482,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2019-06->2019-07::482->482::a6ee23dd02ece69c->a6ee23dd02ece69c,,,,,
CAL-000015,calibration_audit,L15-0357E-1223N_1429_3296_13,15,2019,9,2019,10,2590,2590,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2019-09->2019-10::2590->2590::49bbe5ef23e4f531->49bbe5ef23e4f531,,,,,
CAL-000016,calibration_audit,L15-0357E-1223N_1429_3296_13,16,2019,12,2020,1,660,660,1.0,1.0,1.0,1.0,SN7::L15-0357E-1223N_1429_3296_13::2019-12->2020-01::660->660::a5f9d2720f129f74->a5f9d2720f129f74,,,,,
CAL-000017,calibration_audit,L15-0358E-1220N_1433_3310_13,17,2018,3,2018,4,2995,2995,1.0,1.0,1.0,1.0,SN7::L15-0358E-1220N_1433_3310_13::2018-03->2018-04::2995->2995::de03cfb787002d27->de03cfb787002d27,,,,,
CAL-000018,calibration_audit,L15-0358E-1220N_1433_3310_13,18,2018,7,2018,8,1042,1042,1.0,1.0,1.0,1.0,SN7::L15-0358E-1220N_1433_3310_13::2018-07->2018-08::1042->1042::06b4c07c1689a61d->06b4c07c1689a61d,,,,,
CAL-000019,calibration_audit,L15-0358E-1220N_1433_3310_13,19,2018,10,2018,11,3396,3396,1.0,1.0,1.0,1.0,SN7::L15-0358E-1220N_1433_3310_13::2018-10->2018-11::3396->3396::53f7cfac00cb3138->53f7cfac00cb3138,,,,,
CAL-000020,calibration_audit,L15-0358E-1220N_1433_3310_13,20,2018,11,2018,12,2109,2109,1.0,1.0,1.0,1.0,SN7::L15-0358E-1220N_1433_3310_13::2018-11->2018-12::2109->2109::f290b0b04571ec40->f290b0b04571ec40,,,,,
CAL-000021,calibration_audit,L15-0358E-1220N_1433_3310_13,21,2019,4,2019,5,1909,1909,1.0,1.0,1.0,1.0,SN7::L15-0358E-1220N_1433_3310_13::2019-04->2019-05::1909->1909::e0e5cfb4d45b5365->e0e5cfb4d45b5365,,,,,
CAL-000022,calibration_audit,L15-0358E-1220N_1433_3310_13,22,2019,5,2019,6,2392,2392,1.0,1.0,1.0,1.0,SN7::L15-0358E-1220N_1433_3310_13::2019-05->2019-06::2392->2392::016a1cc6f11926d5->016a1cc6f11926d5,,,,,
