case_type,dataset,video_id,path_id,query,score,label,verified_positive_for_calibration,rationale,visual_asset_ref,visual_asset_status,paper_use,gallery,asset_policy
high_score_topM_parc_refusal_candidate,OVT-B,969,ovtb_v969_p022235,computer box,0.9286273941397668,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v969_p022235.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
high_score_topM_parc_refusal_candidate,TAO,594,ovtb_v594_p003280,pumpkin,0.9278195897738138,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v594_p003280.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
high_score_topM_parc_refusal_candidate,OVT-B,717,ovtb_v717_p017044,protractor,0.9237845912575722,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v717_p017044.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
high_score_topM_parc_refusal_candidate,OVT-B,1162,ovtb_v1162_p026352,oboe,0.923184260725975,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v1162_p026352.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
high_score_topM_parc_refusal_candidate,OVT-B,1392,ovtb_v1392_p030622,bird,0.917807474732399,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/OVTB_ovtb_v1392_p030622.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
high_score_topM_parc_refusal_candidate,TAO,5294,ovtb_v5294_p050739,giraffe,0.9170736968517303,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v5294_p050739.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
high_score_topM_parc_refusal_candidate,TAO,4836,ovtb_v4836_p045980,heron,0.911282166838646,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v4836_p045980.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
high_score_topM_parc_refusal_candidate,TAO,1874,ovtb_v1874_p012961,lion,0.9108800888061525,actually_true,yes,high-score stress candidate used to explain certified refusal,<PARC_ROOT>/outputs/phase4_owlv2_top_audit/montages/TAO_ovtb_v1874_p012961.jpg,public_manifest_reference,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
actually_false,OVT-B,130,ovtb_v130_p003147,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
actually_false,OVT-B,130,ovtb_v130_p003148,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
actually_false,OVT-B,61,ovtb_v61_p002740,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
actually_false,OVT-B,81,ovtb_v81_p002855,,,actually_false,no,false tracklet that should not be released,,missing_visual_asset,qualitative_candidate_pool,refusal_examples,public_manifest_reference_only_no_raw_image_packaging
