audit_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status
CTC-AUDIT-00001,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,582,606,1,1,Fluo-N2DL-HeLa/02/t020,20,582,606,1,1,,,,,
CTC-AUDIT-00002,Fluo-N2DL-HeLa,2,22,23,Fluo-N2DL-HeLa/02/t022,22,580,604,1,1,Fluo-N2DL-HeLa/02/t023,23,580,604,1,1,,,,,
CTC-AUDIT-00003,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,585,602,1,1,Fluo-N2DL-HeLa/02/t027,27,585,602,1,1,,,,,
CTC-AUDIT-00004,Fluo-N2DL-HeLa,2,28,29,Fluo-N2DL-HeLa/02/t028,28,583,603,1,1,Fluo-N2DL-HeLa/02/t029,29,583,603,1,1,,,,,
CTC-AUDIT-00005,Fluo-N2DL-HeLa,2,36,37,Fluo-N2DL-HeLa/02/t036,36,590,571,1,1,Fluo-N2DL-HeLa/02/t037,37,590,571,1,1,,,,,
CTC-AUDIT-00006,PhC-C2DH-U373,2,26,27,PhC-C2DH-U373/02/t026,26,639,323,3,3,PhC-C2DH-U373/02/t027,27,639,323,3,3,,,,,
CTC-AUDIT-00007,PhC-C2DH-U373,2,86,87,PhC-C2DH-U373/02/t086,86,635,265,3,3,PhC-C2DH-U373/02/t087,87,635,265,3,3,,,,,
CTC-AUDIT-00008,PhC-C2DH-U373,2,43,44,PhC-C2DH-U373/02/t043,43,638,296,3,3,PhC-C2DH-U373/02/t044,44,638,296,3,3,,,,,
CTC-AUDIT-00009,PhC-C2DH-U373,2,51,52,PhC-C2DH-U373/02/t051,51,634,285,3,3,PhC-C2DH-U373/02/t052,52,634,285,3,3,,,,,
CTC-AUDIT-00010,PhC-C2DH-U373,2,57,58,PhC-C2DH-U373/02/t057,57,509,457,3,3,PhC-C2DH-U373/02/t058,58,509,457,3,3,,,,,
CTC-AUDIT-00011,PhC-C2DH-U373,2,77,78,PhC-C2DH-U373/02/t077,77,638,264,3,3,PhC-C2DH-U373/02/t078,78,638,264,3,3,,,,,
CTC-AUDIT-00012,PhC-C2DH-U373,2,39,40,PhC-C2DH-U373/02/t039,39,638,296,3,3,PhC-C2DH-U373/02/t040,40,638,296,3,3,,,,,
CTC-AUDIT-00013,PhC-C2DH-U373,2,40,41,PhC-C2DH-U373/02/t040,40,638,296,3,3,PhC-C2DH-U373/02/t041,41,638,296,3,3,,,,,
CTC-AUDIT-00014,PhC-C2DH-U373,2,44,45,PhC-C2DH-U373/02/t044,44,638,296,3,3,PhC-C2DH-U373/02/t045,45,638,296,3,3,,,,,
CTC-AUDIT-00015,PhC-C2DH-U373,2,71,72,PhC-C2DH-U373/02/t071,71,480,458,3,3,PhC-C2DH-U373/02/t072,72,480,458,3,3,,,,,
CTC-AUDIT-00016,PhC-C2DH-U373,2,75,76,PhC-C2DH-U373/02/t075,75,482,453,3,3,PhC-C2DH-U373/02/t076,76,482,453,3,3,,,,,
CTC-AUDIT-00017,PhC-C2DH-U373,2,78,79,PhC-C2DH-U373/02/t078,78,638,264,3,3,PhC-C2DH-U373/02/t079,79,638,264,3,3,,,,,
CTC-AUDIT-00018,PhC-C2DH-U373,2,81,82,PhC-C2DH-U373/02/t081,81,485,441,3,3,PhC-C2DH-U373/02/t082,82,485,441,3,3,,,,,
CTC-AUDIT-00019,PhC-C2DH-U373,2,83,84,PhC-C2DH-U373/02/t083,83,635,265,3,3,PhC-C2DH-U373/02/t084,84,635,265,3,3,,,,,
CTC-AUDIT-00020,PhC-C2DH-U373,2,84,85,PhC-C2DH-U373/02/t084,84,635,265,3,3,PhC-C2DH-U373/02/t085,85,635,265,3,3,,,,,
CTC-AUDIT-00021,PhC-C2DH-U373,2,41,42,PhC-C2DH-U373/02/t041,41,638,296,3,3,PhC-C2DH-U373/02/t042,42,638,296,3,3,,,,,
CTC-AUDIT-00022,PhC-C2DH-U373,2,74,75,PhC-C2DH-U373/02/t074,74,638,266,3,3,PhC-C2DH-U373/02/t075,75,638,266,3,3,,,,,
CTC-AUDIT-00023,PhC-C2DH-U373,2,75,76,PhC-C2DH-U373/02/t075,75,638,266,3,3,PhC-C2DH-U373/02/t076,76,638,266,3,3,,,,,
CTC-AUDIT-00024,PhC-C2DH-U373,2,85,86,PhC-C2DH-U373/02/t085,85,635,265,3,3,PhC-C2DH-U373/02/t086,86,635,265,3,3,,,,,
CTC-AUDIT-00025,PhC-C2DH-U373,2,92,93,PhC-C2DH-U373/02/t092,92,456,422,3,3,PhC-C2DH-U373/02/t093,93,456,422,3,3,,,,,
CTC-AUDIT-00026,PhC-C2DH-U373,2,93,94,PhC-C2DH-U373/02/t093,93,637,291,3,3,PhC-C2DH-U373/02/t094,94,637,291,3,3,,,,,
CTC-AUDIT-00027,PhC-C2DH-U373,2,100,101,PhC-C2DH-U373/02/t100,100,636,286,3,3,PhC-C2DH-U373/02/t101,101,636,286,3,3,,,,,
CTC-AUDIT-00028,PhC-C2DH-U373,2,42,43,PhC-C2DH-U373/02/t042,42,638,296,3,3,PhC-C2DH-U373/02/t043,43,638,296,3,3,,,,,
CTC-AUDIT-00029,PhC-C2DH-U373,2,72,73,PhC-C2DH-U373/02/t072,72,640,266,3,3,PhC-C2DH-U373/02/t073,73,640,266,3,3,,,,,
CTC-AUDIT-00030,PhC-C2DH-U373,2,80,81,PhC-C2DH-U373/02/t080,80,638,264,3,3,PhC-C2DH-U373/02/t081,81,638,264,3,3,,,,,
CTC-AUDIT-00031,PhC-C2DH-U373,2,90,91,PhC-C2DH-U373/02/t090,90,461,420,3,3,PhC-C2DH-U373/02/t091,91,461,420,3,3,,,,,
CTC-AUDIT-00032,PhC-C2DH-U373,2,104,105,PhC-C2DH-U373/02/t104,104,424,431,3,3,PhC-C2DH-U373/02/t105,105,424,431,3,3,,,,,
CTC-AUDIT-00033,PhC-C2DH-U373,2,56,57,PhC-C2DH-U373/02/t056,56,509,457,3,3,PhC-C2DH-U373/02/t057,57,509,457,3,3,,,,,
CTC-AUDIT-00034,PhC-C2DH-U373,2,81,82,PhC-C2DH-U373/02/t081,81,638,264,3,3,PhC-C2DH-U373/02/t082,82,638,264,3,3,,,,,
CTC-AUDIT-00035,PhC-C2DH-U373,2,96,97,PhC-C2DH-U373/02/t096,96,637,287,3,3,PhC-C2DH-U373/02/t097,97,637,287,3,3,,,,,
CTC-AUDIT-00036,PhC-C2DH-U373,2,99,100,PhC-C2DH-U373/02/t099,99,54,300,3,3,PhC-C2DH-U373/02/t100,100,54,300,3,3,,,,,
CTC-AUDIT-00037,PhC-C2DH-U373,2,70,71,PhC-C2DH-U373/02/t070,70,480,458,3,3,PhC-C2DH-U373/02/t071,71,480,458,3,3,,,,,
CTC-AUDIT-00038,PhC-C2DH-U373,2,79,80,PhC-C2DH-U373/02/t079,79,638,264,3,3,PhC-C2DH-U373/02/t080,80,638,264,3,3,,,,,
CTC-AUDIT-00039,PhC-C2DH-U373,2,112,113,PhC-C2DH-U373/02/t112,112,634,326,3,3,PhC-C2DH-U373/02/t113,113,634,326,3,3,,,,,
CTC-AUDIT-00040,PhC-C2DH-U373,2,113,114,PhC-C2DH-U373/02/t113,113,54,342,3,3,PhC-C2DH-U373/02/t114,114,54,342,3,3,,,,,
CTC-AUDIT-00041,PhC-C2DH-U373,2,102,103,PhC-C2DH-U373/02/t102,102,57,302,3,3,PhC-C2DH-U373/02/t103,103,57,302,3,3,,,,,
CTC-AUDIT-00042,PhC-C2DH-U373,2,103,104,PhC-C2DH-U373/02/t103,103,424,431,3,3,PhC-C2DH-U373/02/t104,104,424,431,3,3,,,,,
CTC-AUDIT-00043,PhC-C2DH-U373,2,106,107,PhC-C2DH-U373/02/t106,106,424,430,3,3,PhC-C2DH-U373/02/t107,107,424,430,3,3,,,,,
CTC-AUDIT-00044,PhC-C2DH-U373,2,77,78,PhC-C2DH-U373/02/t077,77,484,446,3,3,PhC-C2DH-U373/02/t078,78,484,446,3,3,,,,,
CTC-AUDIT-00045,PhC-C2DH-U373,2,40,41,PhC-C2DH-U373/02/t040,40,60,447,5,5,PhC-C2DH-U373/02/t041,41,60,447,5,5,,,,,
CTC-AUDIT-00046,PhC-C2DH-U373,2,80,81,PhC-C2DH-U373/02/t080,80,485,441,3,3,PhC-C2DH-U373/02/t081,81,485,441,3,3,,,,,
CTC-AUDIT-00047,PhC-C2DH-U373,2,38,39,PhC-C2DH-U373/02/t038,38,59,446,5,5,PhC-C2DH-U373/02/t039,39,59,446,5,5,,,,,
CTC-AUDIT-00048,PhC-C2DH-U373,2,27,28,PhC-C2DH-U373/02/t027,27,569,458,5,5,PhC-C2DH-U373/02/t028,28,569,458,5,5,,,,,
CTC-AUDIT-00049,PhC-C2DH-U373,2,46,47,PhC-C2DH-U373/02/t046,46,57,446,5,5,PhC-C2DH-U373/02/t047,47,57,446,5,5,,,,,
