audit_id,path_id,queue_membership,queue_calibration,queue_simulated_strict_release,queue_raw_topK_reference,simulated_release_hits,simulated_release_budgets,simulated_release_seeds,ctc_dataset,sequence_id,video_id,frame_pair,candidate_rank,score,screening_label,screening_verified_positive_for_calibration,screening_confidence,source_gt_purity,target_gt_purity
CTC-AUDIT-00001,ctc_Fluo-N2DL-HeLa_02_f019_s812_to_f020_t812,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","3,6,8,9",Fluo-N2DL-HeLa,2,220019,019-020,1,1.0,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00002,ctc_Fluo-N2DL-HeLa_02_f022_s812_to_f023_t812,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","1,5,9,10,11,12,17",Fluo-N2DL-HeLa,2,220022,022-023,2,1.0,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00003,ctc_Fluo-N2DL-HeLa_02_f026_s812_to_f027_t812,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","0,7,15,17",Fluo-N2DL-HeLa,2,220026,026-027,3,1.0,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00004,ctc_Fluo-N2DL-HeLa_02_f028_s812_to_f029_t812,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","3,4,7,8,11,13,15,19",Fluo-N2DL-HeLa,2,220028,028-029,4,1.0,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00005,ctc_Fluo-N2DL-HeLa_02_f036_s812_to_f037_t812,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","3,4,9,14,15,19",Fluo-N2DL-HeLa,2,220036,036-037,5,1.0,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00006,ctc_PhC-C2DH-U373_02_f026_s7_to_f027_t7,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","1,3,15,19",PhC-C2DH-U373,2,320026,026-027,6,1.0,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00007,ctc_PhC-C2DH-U373_02_f086_s9_to_f087_t9,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","4,6,7,8,17,19",PhC-C2DH-U373,2,320086,086-087,7,1.0,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00008,ctc_PhC-C2DH-U373_02_f043_s9_to_f044_t9,"simulated_strict_release,raw_topK_reference",False,True,True,12,"100,300","0,5,6,9,10,16",PhC-C2DH-U373,2,320043,043-044,8,0.9999999999999998,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00009,ctc_PhC-C2DH-U373_02_f051_s9_to_f052_t9,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,3,4,5,6,7,15,19",PhC-C2DH-U373,2,320051,051-052,9,0.9999999999999998,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00010,ctc_PhC-C2DH-U373_02_f057_s11_to_f058_t11,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","1,6,7,10,11,13,18",PhC-C2DH-U373,2,320057,057-058,10,0.9999999999999998,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00011,ctc_PhC-C2DH-U373_02_f077_s9_to_f078_t9,"simulated_strict_release,raw_topK_reference",False,True,True,20,"100,300","0,2,7,8,9,10,13,15,17,18",PhC-C2DH-U373,2,320077,077-078,11,0.9999999999999998,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00012,ctc_PhC-C2DH-U373_02_f039_s9_to_f040_t9,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","1,3,5,11,13,14,19",PhC-C2DH-U373,2,320039,039-040,12,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00013,ctc_PhC-C2DH-U373_02_f040_s9_to_f041_t9,"simulated_strict_release,raw_topK_reference",False,True,True,16,"100,300","0,3,5,6,9,11,12,18",PhC-C2DH-U373,2,320040,040-041,13,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00014,ctc_PhC-C2DH-U373_02_f044_s9_to_f045_t9,"simulated_strict_release,raw_topK_reference",False,True,True,8,"100,300","3,5,6,9",PhC-C2DH-U373,2,320044,044-045,14,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00015,ctc_PhC-C2DH-U373_02_f071_s12_to_f072_t12,"simulated_strict_release,raw_topK_reference",False,True,True,18,"100,300","0,1,2,4,6,7,10,12,16",PhC-C2DH-U373,2,320071,071-072,15,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00016,ctc_PhC-C2DH-U373_02_f075_s12_to_f076_t12,"simulated_strict_release,raw_topK_reference",False,True,True,10,"100,300","6,11,13,14,18",PhC-C2DH-U373,2,320075,075-076,16,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00017,ctc_PhC-C2DH-U373_02_f078_s9_to_f079_t9,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","0,3,8,10,11,15,19",PhC-C2DH-U373,2,320078,078-079,17,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
CTC-AUDIT-00018,ctc_PhC-C2DH-U373_02_f081_s12_to_f082_t12,"simulated_strict_release,raw_topK_reference",False,True,True,14,"100,300","6,7,9,10,14,18,19",PhC-C2DH-U373,2,320081,081-082,18,0.9999999999999996,same_cell_link,yes,high,1.0,1.0
