blinded_item_id,source_audit_id,domain,dataset,task,candidate_unit,source_arm,asset_ref,context_ref,audit_question,support_semantics,score_recorded_in_key_only,candidate_rank_recorded_in_key_only,packet_freeze_status,external_label_status,asset_locator_status,claim_role,source_template
EXTAUD-00001,iwild-raw-000297,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l57_img3249_d001_animal,location=57 video=5701 frame=48,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9292132258415222,298,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00002,iwild-rel-000055,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l105_img5927_d001_animal,location=105 video=10503 frame=126,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9401288628578186,55,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00003,iwild-raw-000265,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l3_img358_d001_animal,location=3 video=303 frame=157,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9303364157676696,265,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00004,iwild-rel-000124,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l3_img347_d001_animal,location=3 video=303 frame=146,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.93583345413208,124,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00005,iwild-raw-000106,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l218_img2335_d001_animal,location=218 video=21803 frame=134,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9367316365242004,106,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00006,SPRAW-000166,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::6597->6597::80cc7d2a3f031851->80cc7d2a3f031851,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997464778330776,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00007,iwild-raw-000117,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l526_img4911_d001_animal,location=526 video=52602 frame=110,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9361282587051392,117,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00008,SPREL-000018,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::4565->4565::69c14e4afd8762e8->69c14e4afd8762e8,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.99974702914673,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
EXTAUD-00009,iwild-rel-000153,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l449_img4160_d001_animal,location=449 video=44903 frame=159,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9348952174186708,154,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00010,SPRAW-000052,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::6433->6433::aa5e10f5da91701e->aa5e10f5da91701e,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997467542405942,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00011,iwild-raw-000068,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l526_img4845_d001_animal,location=526 video=52601 frame=44,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9392096400260924,68,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00012,iwild-rel-000032,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l526_img4979_d001_animal,location=526 video=52604 frame=178,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9425179958343506,32,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00013,iwild-raw-000010,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l526_img4866_d001_animal,location=526 video=52601 frame=65,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9451914429664612,10,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00014,iwild-raw-000104,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l449_img4027_d001_animal,location=449 video=44900 frame=26,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.936784565448761,104,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00015,SPRAW-000068,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,raw_topK_spacenet_matched_count,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4868->4868::397f1ababaa387f5->397f1ababaa387f5,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997467013230276,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_spacenet_matched_count
EXTAUD-00016,iwild-raw-000076,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l470_img820_d001_animal,location=470 video=47000 frame=19,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.93868887424469,76,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00017,iwild-rel-000130,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l218_img2331_d001_animal,location=218 video=21803 frame=130,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9354838132858276,130,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00018,iwild-raw-000120,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,raw_topK_iwildcam_matched_count,iwildcam_l119_img5679_d001_animal,location=119 video=11901 frame=78,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9359837174415588,120,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,raw_topK_iwildcam_matched_count
EXTAUD-00019,iwild-rel-000031,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l176_img5441_d001_animal,location=176 video=17601 frame=40,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9425472021102904,31,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
EXTAUD-00020,SPREL-000011,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,PARC_release_spacenet_prospective_packet,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::7093->7093::759d989bf51c6284->759d989bf51c6284,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,visual_same_building_temporal_link_support,0.9997470394818372,,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_spacenet_prospective_packet
EXTAUD-00021,iwild-rel-000037,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,PARC_release_iwildcam_alpha0.20_K50,iwildcam_l105_img5915_d001_animal,location=105 video=10502 frame=114,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,image_level_animal_presence_support,0.9419036507606506,37,frozen_before_external_labels,pending_not_completed_evidence,requires_restricted_dataset_asset_resolver_raw_media_not_in_public_repo,external_blind_audit_packet_not_completed_audit_evidence,PARC_release_iwildcam_alpha0.20_K50
