blinded_item_id,domain,dataset,task,candidate_unit,auditor_A_label,auditor_B_label,adjudicated_label,adjudication_reason,conservative_false_release_flag,adjudicator_id,adjudication_timestamp
EXTAUD-00001,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00002,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00003,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00004,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00005,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00006,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00007,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00008,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00009,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00010,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00011,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00012,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00013,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00014,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00015,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00016,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00017,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00018,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00019,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00020,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00021,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00022,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00023,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00024,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00025,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00026,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00027,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00028,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00029,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00030,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00031,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00032,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00033,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00034,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00035,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00036,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00037,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00038,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00039,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00040,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00041,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00042,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00043,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00044,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00045,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00046,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00047,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00048,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00049,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00050,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00051,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00052,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00053,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00054,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00055,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00056,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00057,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00058,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00059,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00060,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00061,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00062,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00063,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,,,,,,,
EXTAUD-00064,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
EXTAUD-00065,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,,,,,,,
