K,policy,chemical_system,n_candidates,fraction_of_policy,n_t1_false,n_stable_to_unstable,evidence_scope
300,PARC,Br-Er,14,0.046052631578947366,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Gd-I,12,0.039473684210526314,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-N,6,0.019736842105263157,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Ge,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-H,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-K,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Si,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Sn,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ce-Cl,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Mn,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cr-F-Pa,4,0.013157894736842105,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,As-Br-Er,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-Br,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Ce,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-P,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Pb,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Rb,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Yb,3,0.009868421052631578,3,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Sm,3,0.009868421052631578,3,2,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Sr,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Fe-Pa,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Gd-H-I,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Pm-Te,3,0.009868421052631578,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ac-Pt,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Al-F-Pa,2,0.006578947368421052,2,2,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-Br-Er,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-Ca-F,2,0.006578947368421052,2,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-Cl,2,0.006578947368421052,2,1,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-Gd-I,2,0.006578947368421052,2,2,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Bi-Gd-I,2,0.006578947368421052,2,2,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Ga,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-In,2,0.006578947368421052,2,2,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-S,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Sb,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Er-Se,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Br-Mg,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ca-F,2,0.006578947368421052,2,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ca-F-Yb,2,0.006578947368421052,2,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Er,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Gd,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Lu,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Mg,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Nd,2,0.006578947368421052,2,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cl-Y,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Cs-Pa-Se,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Ga-Pa,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Li-Pa,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Mn-Pa,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Pa-Pd,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Pa-Sn,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Pa-Tl,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Sr,2,0.006578947368421052,2,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,F-Tm-Zn,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Gd-I-Sb,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Pa-Se,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Pm-Pt,2,0.006578947368421052,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ac-K-Se,1,0.003289473684210526,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ac-Li-Se,1,0.003289473684210526,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ac-Na-Se,1,0.003289473684210526,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ac-Pd-Pt,1,0.003289473684210526,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ac-Se,1,0.003289473684210526,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ac-Te,1,0.003289473684210526,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ag-Pm-Te,1,0.003289473684210526,1,1,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,As-Gd-I,1,0.003289473684210526,0,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Au-Pm-Te,1,0.003289473684210526,1,1,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-Cd-F,1,0.003289473684210526,1,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-F,1,0.003289473684210526,1,0,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-F-Hg,1,0.003289473684210526,1,1,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
300,PARC,Ba-F-Li-Pa,1,0.003289473684210526,1,1,completed_current_MP_hull_shift_utility_audit;not_strict_alpha_temporal_certificate;not_prospective_discovery;no_t1_label_used_for_selection
