chemical_system,entry_id,formula,energy,energy_per_atom,thermo_type,database_version
Ac-Al-Se,mp-1009757-GGA,Se,-6.63130265,-3.315651325,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1244953-GGA,Al,-364.98522018,-3.6498522018,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1245152-GGA,Al,-364.34942792,-3.6434942792,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-998860-GGA,Al,-3.65313185,-3.65313185,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-570481-GGA,Se,-223.73833457,-3.49591147765625,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-542605-GGA,Se,-111.68586991,-3.4901834346875,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-685120-GGA,Al2Se3,-187.64556521,-4.69113913025,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-134-GGA,Al,-3.74557583,-3.74557583,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1247838-GGA,Al2Se3,-29.06484262,-2.906484262,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-147-GGA,Se,-20.80085513,-3.466809188333333,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1239196-GGA,Al,-13.77380119,-3.4434502975,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1245067-GGA,Al,-363.12671435,-3.6312671435,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1247808-GGA,Se,-13.3590354,-3.33975885,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-11674-GGA,Al2Se3,-47.19107781,-4.719107781,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1183144-GGA,Al,-14.93651943,-3.7341298575,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-14-GGA,Se,-10.46643352,-3.4888111733333336,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1247927-GGA,Al2Se3,-46.38886535,-4.638886535,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-12771-GGA,Se,-5.96358155,-2.981790775,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1245307-GGA,Al,-363.80262889,-3.6380262889,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1183234-GGA,AcSe3,-20.21366468,-5.05341617,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1183069-GGA,Ac,-12.22825102,-4.076083673333334,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-867800-GGA,AcSe3,-40.36878411,-5.04609801375,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-862617-GGA,AcAl3,-33.52852259,-4.19106532375,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-542461-GGA,Se,-111.66501356,-3.48953167375,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-2647008-GGA,Al,-7.42699521,-3.713497605,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1245129-GGA,Al,-365.08254192,-3.6508254192,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-862690-GGA,Ac,-16.48470003,-4.1211750075,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-7755-GGA,Se,-3.31467609,-3.31467609,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1183057-GGA,Ac,-12.31676763,-4.10558921,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-1228165-GGA,Al5Se8,-60.176212320000005,-4.628939409230769,GGA_GGA+U,2025.09.25
Ac-Al-Se,mp-119-GGA,Se,-2.90028467,-2.90028467,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1238842-GGA,As,-12.74168177,-4.247227256666666,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-2646997-GGA,Pd,-10.31461765,-5.157308825,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1186427-GGA,Pd,-20.6926433,-5.173160825,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1214686-GGA,As2Pd5,-226.02972775,-5.38166018452381,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-2512-GGA,AsPd5,-64.35730597,-5.363108830833333,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-10018-GGA,Ac,-4.10076552,-4.10076552,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-2-GGA,Pd,-5.17988181,-5.17988181,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1228793-GGA,AsPd4,-26.15823277,-5.231646554,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1080831-GGA,AsPd2,-48.30599907,-5.36733323,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-20465-GGA,As2Pd,-61.86797623,-5.155664685833333,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-2646977-GGA,Pd,-5.13511674,-5.13511674,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-1182332-GGA,As,-7.13733721,-3.568668605,GGA_GGA+U,2025.09.25
Ac-As-Pd,mp-11-GGA,As,-9.31823681,-4.659118405,GGA_GGA+U,2025.09.25
